source_strategy,source_category_id,source_category_name,source_category_path,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,data_source_summary,profit_estimate_status,notes
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0FXG8J58Q,,TOOLEAGUE 3Pcs Magnetic Tool Mat with 25Lb Telescoping Magnetic Pickup Pen,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,46.99,13.16,3.76,7.77,0.15,981.0,153.0,4.6,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FXG8J58Q; brand TOOLEAGUE
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0CBD4HTHW,,"Spider Tool Holster, Self-Locking Pro Tool Holster, Includes 2 Drill Pins | Quick-Draw Multi Tool Holder, Clips to Any Tool Belt, Ambidextrous Lock, Compatible with Major Power Drill & Driver Brands",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,34.99,9.8,2.8,3.93,0.15,815.0,390.0,4.2,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CBD4HTHW; brand Spider
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0D2JDXBNS,,"Quick Draw Shoulder Holster - Belly Band Holster for Everyday Comfortable Concealed Carry for Small, Compact and Other Similar Gear",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,19.89,5.57,1.59,4.19,0.15,655.0,44.0,4.2,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0D2JDXBNS; brand LIBOSHENG
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0D8YB5RHR,,"Topstache Leather Multitool Sheath with Belt Clip - Multi Tool Holster for Belt - EDC Belt Organizer Fits Multitool, Flashlight, Pen - Leather EDC Pouch, DarkBrown",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,22.99,6.44,1.84,3.93,0.15,449.0,365.0,4.5,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0D8YB5RHR; brand topstache
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0F1FNYW11,,"Topstache Leather Multitool Sheath for Leatherman Wave & Wave+ - Multitool Holster for Belt - Belt Loop Leather Multitool Pouch - Magnetic Closure Tool Pouch Case, Darkbrown",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,17.99,5.04,1.44,3.93,0.15,435.0,285.0,4.2,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0F1FNYW11; brand topstache
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0DJ3QBCR8,,"Holstery TapeMaster | Clip-On Tape Measure Holder - Low-Profile Measuring Tape Holster for Your Belt, Tool Bags, Pockets, or Pants",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,19.99,5.6,1.6,3.93,0.15,416.0,113.0,4.6,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DJ3QBCR8; brand Holstery
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0DMV1VBN3,,"PinPal Pro | Universal Tool Holster - Gravity Locking Clip-On Tool Belt Holder for Drills, Impacts, and Other Tools",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,34.99,9.8,2.8,4.18,0.15,385.0,77.0,4.5,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DMV1VBN3; brand Holstery
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0G42J9N26,,"SEESE Strong Magnetic Tool Holder: Magnetic Belt Clip for Power Tools & Hand Tools, Anti-Fall Secure Grip for Home Improvement, Workshop, Electrician",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,15.99,4.48,1.28,4.18,0.15,349.0,70.0,4.6,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0G42J9N26; brand Seese
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0FZX2DSFD,,"Galvanox Nylon Sheath for Multi-Tools with 21 Flat End Screwdriver Bits and Holder - Case Belt Holster Pouch with Pockets and Bit Set Included, Compatible with Leatherman",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,29.99,8.4,2.4,4.08,0.15,320.0,190.0,4.2,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FZX2DSFD; brand GALVANOX
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B09C43N5HC,,"Perilogics Magnetic Tool Sheath for Leatherman – Nylon Belt Pouch Fits Wave Plus, Wingman, Charge, Surge, Super Tool 300, Signal, Free P2 & P4 (4–4.5 in)",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,14.99,4.2,1.2,4.48,0.15,317.0,1707.0,4.5,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B09C43N5HC; brand Perilogics
