category_id,name,path,depth,is_leaf,selection_score,rotation_bucket,previous_last_scanned_at,previous_scan_count,products_examined,candidate_count,scan_completed_at,scan_status,scan_error,category_total_sales,category_median_reviews,category_top10_median_reviews,category_top_brand,category_top_brand_share,category_top10_sales_share,category_low_review_high_sales_count,category_new_listing_share_12m,category_cn_hk_seller_share,category_fba_share,category_price_median,category_health_score,category_health_flags,category_health_rank
553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,3,True,48.0,never_scanned,,0,100,22,2026-09-02T22:38:06,success,,42975.0,246.0,856.0,WUBEN,0.1,0.454,5,0.152,0.48,0.98,14.34,76.6,,26
322568011,Tool Pouches,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Pouches,3,True,48.0,never_scanned,,0,100,33,2026-09-02T22:38:06,success,,41014.0,282.0,1252.0,KLEIN TOOLS,0.2,0.407,1,0.152,0.44,0.94,19.99,62.2,,80
15709201,Tool Trays,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Trays,3,True,48.0,never_scanned,,0,100,33,2026-09-02T22:38:06,success,,67333.0,270.0,922.0,SWANLAKE GARDEN TOOLS,0.2,0.581,7,0.255,0.71,1.0,19.99,83.3,,15
3563985011,Decorative Garden Stools,"Patio, Lawn & Garden > Outdoor Décor > Decorative Garden Stools",2,True,47.0,never_scanned,,0,100,2,2026-09-02T22:38:06,success,,3807.0,28.0,191.0,JONATHAN Y,0.3,0.614,1,0.202,0.17,0.46,81.62,64.6,price band outside target,73
14253971,Mop Handles,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Accessories > Mop Handles,6,True,41.0,never_scanned,,0,100,6,2026-09-02T22:38:06,success,,35351.0,102.0,242.0,Yuunaie,0.2,0.524,11,0.313,0.8,0.88,13.18,91.9,,3
695492011,Refill Sponges,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Accessories > Refill Sponges,6,True,41.0,never_scanned,,0,100,6,2026-09-02T22:38:06,success,,120426.0,126.0,2180.0,Swiffer,0.3,0.923,3,0.172,0.29,0.71,15.44,62.3,top10 review wall; sales concentration,79
695491011,Replacement Heads,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Accessories > Replacement Heads,6,True,41.0,never_scanned,,0,100,28,2026-09-02T22:38:06,success,,222042.0,602.0,5006.0,Tidy Monster,0.2,0.396,26,0.15,0.85,0.99,12.99,72.5,top10 review wall,40
23537025011,Replacement Mop Pads,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Accessories > Replacement Mop Pads,6,True,41.0,never_scanned,,0,100,29,2026-09-02T22:38:06,success,,553835.0,1264.0,6686.0,Swiffer,0.6,0.521,14,0.22,0.71,0.99,14.46,61.3,category review wall; top10 review wall; brand concentration,82
23537023011,Dust Mops,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Dust Mops,6,True,41.0,never_scanned,,0,100,16,2026-09-02T22:38:06,success,,563668.0,1268.0,19782.0,Swiffer,1.0,0.683,11,0.303,0.69,0.99,19.77,57.9,category review wall; top10 review wall; brand concentration,87
23537024011,Sponge Mops,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Sponge Mops,6,True,41.0,never_scanned,,0,100,3,2026-09-02T22:38:06,success,,43695.0,14.0,624.0,Yocada,0.3,0.881,2,0.566,0.66,0.73,14.49,71.9,sales concentration,42
23537022011,String Mops,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > String Mops,6,True,41.0,never_scanned,,0,100,4,2026-09-02T22:38:07,success,,29886.0,59.0,1513.0,O-Cedar,0.2,0.876,4,0.28,0.39,0.5,17.09,77.5,top10 review wall; sales concentration,25
14253831,Angle Brooms,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Angle Brooms,6,True,41.0,never_scanned,,0,100,11,2026-09-02T22:38:07,success,,75370.0,223.0,1506.0,O-Cedar,0.1,0.676,5,0.2,0.54,0.79,20.73,75.5,top10 review wall,28
14253841,Hand Brooms,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Hand Brooms,6,True,41.0,never_scanned,,0,100,10,2026-09-02T22:38:07,success,,119087.0,202.0,1596.0,zeawec,0.1,0.719,6,0.343,0.75,0.94,16.99,86.5,top10 review wall; sales concentration,10
14253851,Push Brooms,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Push Brooms,6,True,41.0,never_scanned,,0,100,4,2026-09-02T22:38:07,success,,108068.0,250.0,1770.0,AIR U+,0.1,0.552,16,0.384,0.7,0.9,19.98,89.7,top10 review wall,6
3278164011,Broom Handles,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Parts & Accessories > Broom Handles,6,True,41.0,never_scanned,,0,100,1,2026-09-02T22:38:07,success,,4675.0,7.0,72.0,Rubbermaid Commercial Products,0.2,0.734,1,0.222,0.27,0.38,20.92,65.3,sales concentration,68
3278165011,Broom Heads,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Parts & Accessories > Broom Heads,6,True,41.0,never_scanned,,0,100,1,2026-09-02T22:38:07,success,,4086.0,12.0,342.0,Harrison Greys,0.1,0.724,1,0.25,0.28,0.58,16.97,69.3,sales concentration,51
21588789011,Dustpans,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Parts & Accessories > Dustpans,6,True,41.0,never_scanned,,0,100,22,2026-09-02T22:38:07,success,,225302.0,685.0,3923.0,MR.SIGA,0.2,0.651,11,0.19,0.73,0.96,16.99,67.9,top10 review wall,59
3420031,Stringing Machines & Tools,Sports & Outdoors > Sports > Team Sports > Tennis & Racquet Sports > Tennis > Accessories > Stringing Machines & Tools,6,True,41.0,never_scanned,,0,100,1,2026-09-02T22:38:07,success,,1088.0,2.0,36.0,GAMMA,0.2,0.543,0,0.31,0.59,0.6,15.24,73.4,,34
203313515011,Kitchen Brushes,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Brushes > Kitchen Brushes,5,True,40.0,never_scanned,,0,100,6,2026-09-02T22:38:07,success,,266348.0,820.0,2036.0,OXO,0.2,0.406,31,0.271,0.82,0.98,8.99,75.5,top10 review wall; price band outside target,29
85975011,Toilet Brushes & Holders,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Brushes > Toilet Brushes & Holders,5,True,40.0,never_scanned,,0,100,38,2026-09-02T22:38:07,success,,367851.0,860.0,6984.0,MR.SIGA,0.2,0.454,29,0.263,0.81,0.99,15.48,75.4,top10 review wall,30
2245498011,Feather Dusters,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Dusting > Feather Dusters,5,True,40.0,never_scanned,,0,100,16,2026-09-02T22:38:07,success,,342259.0,1085.0,5546.0,Swiffer,0.5,0.453,22,0.23,0.74,0.97,14.12,65.3,category review wall; top10 review wall; brand concentration,69
2245509011,Buckets,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Buckets,5,True,40.0,never_scanned,,0,100,17,2026-09-02T22:38:07,success,,151219.0,484.0,5174.0,JOYMOOP,0.1,0.628,11,0.242,0.61,0.81,20.49,78.3,top10 review wall,23
23537016011,Mops & Bucket Sets,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Mops & Bucket Sets,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:07,success,,168698.0,66.0,682.0,O-Cedar,0.2,0.877,6,0.505,0.62,0.78,39.94,85.7,sales concentration,11
3735231,Andirons,"Home & Kitchen > Heating, Cooling & Air Quality > Parts & Accessories > Stove & Fireplace Accessories > Fireplace Tools > Andirons",5,True,40.0,never_scanned,,0,24,0,2026-09-02T22:38:07,success,,120.0,4.0,2.0,Zettfuly,0.2,0.417,0,0.083,0.042,0.375,58.47,58.4,,86
3735301,Bellows,"Home & Kitchen > Heating, Cooling & Air Quality > Parts & Accessories > Stove & Fireplace Accessories > Fireplace Tools > Bellows",5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:07,success,,1791.0,12.0,368.0,Fubeasi,0.1,0.728,0,0.18,0.55,0.56,15.24,60.1,sales concentration,84
1243382011,Pokers,"Home & Kitchen > Heating, Cooling & Air Quality > Parts & Accessories > Stove & Fireplace Accessories > Fireplace Tools > Pokers",5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:07,success,,5312.0,46.0,548.0,BsBsBest,0.2,0.879,1,0.1,0.31,0.53,13.46,52.7,sales concentration,95
