source_strategy,source_category_id,source_category_name,source_category_path,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,data_source_summary,profit_estimate_status,notes,listing_url,opportunity_score,recommendation,gross_profit_per_unit,gross_margin,monthly_gross_profit,demand_score,competition_score,profitability_score,risk_score,risk_control_score,key_flags,brand_moat_reason,hard_stop_reason,archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_best_recommendation,archive_latest_recommendation,archive_status,archive_last_run_id,research_status,archive_notes
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0FXG8J58Q,,TOOLEAGUE 3Pcs Magnetic Tool Mat with 25Lb Telescoping Magnetic Pickup Pen,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,46.99,13.16,3.76,7.77,0.15,981.0,153.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FXG8J58Q; brand TOOLEAGUE,https://www.amazon.com/dp/B0FXG8J58Q,59.4,Watch or collect more data,15.25,0.3246,14961.72,87.3,46.8,50.4,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FXG8J58Q,2026-09-01 21:42:46,2026-09-01 21:54:02,4,59.4,59.4,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Index Card Storage,12900921,Index Card Storage,Office Products > Office Supplies > Education & Crafts > Filing Products > Index Card Filing > Index Card Storage,B0H4V84RTQ,,"Card Binder 4-Pocket Trading Album, 50 Removable Sleeves, 400 Cards",Office Products > Office Supplies > Education & Crafts > Filing Products > Index Card Filing > Index Card Storage,US,14.99,4.2,1.2,4.58,0.15,684.0,9.0,4.2,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0H4V84RTQ; brand GANDATA,https://www.amazon.com/dp/B0H4V84RTQ,58.5,Watch or collect more data,2.76,0.1842,1888.87,87.3,68.3,2.5,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0H4V84RTQ,2026-09-01 21:50:14,2026-09-01 21:54:02,3,58.5,58.5,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0CBD4HTHW,,"Spider Tool Holster, Self-Locking Pro Tool Holster, Includes 2 Drill Pins | Quick-Draw Multi Tool Holder, Clips to Any Tool Belt, Ambidextrous Lock, Compatible with Major Power Drill & Driver Brands",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,34.99,9.8,2.8,3.93,0.15,815.0,390.0,4.2,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CBD4HTHW; brand Spider,https://www.amazon.com/dp/B0CBD4HTHW,57.7,Watch or collect more data,13.21,0.3776,10767.37,87.3,40.8,53.4,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0CBD4HTHW,2026-09-01 21:42:46,2026-09-01 21:54:02,4,57.7,57.7,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0DMV1VBN3,,"PinPal Pro | Universal Tool Holster - Gravity Locking Clip-On Tool Belt Holder for Drills, Impacts, and Other Tools",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,34.99,9.8,2.8,4.18,0.15,385.0,77.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DMV1VBN3; brand Holstery,https://www.amazon.com/dp/B0DMV1VBN3,57.3,Watch or collect more data,12.96,0.3704,4990.18,68.1,54.3,43.4,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0DMV1VBN3,2026-09-01 21:52:33,2026-09-01 21:54:02,2,57.3,57.3,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Feather Dusters,2245498011,Feather Dusters,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Dusting > Feather Dusters,B0G34LYYWP,,"80 Count Duster Refills Compatible with Swiffer Duster, 180° Disposable Multi-Surface Microfiber Cleaning Dusters, Unscented",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Dusting > Feather Dusters,US,26.99,7.56,2.16,8.6,0.15,1376.0,89.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0G34LYYWP; brand Swilsweep,https://www.amazon.com/dp/B0G34LYYWP,57.1,Watch or collect more data,4.62,0.1712,6359.18,87.3,58.3,15.3,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0G34LYYWP,2026-09-01 21:54:02,2026-09-01 21:54:02,1,57.1,57.1,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Storage,3397571,Storage,Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,B0GJ8HW2VB,,"QualyQualy Boat Rail Cup Holder 2 Pack, No-Drill Clamp-On Marine Cup Holders 360° Adjustable for Pontoon Boat, Bimini Top, Grab Bar, PWC, Jet Ski, Fits Round & Square Rails 15-40mm, Boat Gifts for Men",Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,US,18.99,5.32,1.52,5.77,0.15,1342.0,53.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GJ8HW2VB; brand QualyQualy,https://www.amazon.com/dp/B0GJ8HW2VB,56.2,Watch or collect more data,3.53,0.186,4739.27,87.3,58.3,10.7,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0GJ8HW2VB,2026-09-01 21:42:46,2026-09-01 21:54:02,4,56.2,56.2,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Toilet Brushes & Holders,85975011,Toilet Brushes & Holders,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Brushes > Toilet Brushes & Holders,B0GT8FVMZ4,,"LEGUO Disposable Toilet Brush System, Toilet Bowl Cleaning Wand with Lift-to-Open Refill Case, Blue Refill Heads and Freestanding Holder, 1 Wand and Holder Set with 35 Blue Refills",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Brushes > Toilet Brushes & Holders,US,22.99,6.44,1.84,6.59,0.15,1679.0,148.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GT8FVMZ4; brand LEGUO,https://www.amazon.com/dp/B0GT8FVMZ4,55.1,Watch or collect more data,4.67,0.2032,7843.45,87.3,50.8,19.6,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0GT8FVMZ4,2026-09-01 21:52:33,2026-09-01 21:54:02,2,55.1,55.1,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Digital Scales,678508011,Digital Scales,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Measuring Tools & Scales > Kitchen Scales > Digital Scales,B0FQ47F7Z7,,"BOMATA 0.01g Small Digital Gram Scale, Upgraded 1kg Jewelry Scale",Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Measuring Tools & Scales > Kitchen Scales > Digital Scales,US,18.88,5.29,1.51,4.45,0.15,1467.0,109.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FQ47F7Z7; brand BOMATA,https://www.amazon.com/dp/B0FQ47F7Z7,54.8,Watch or collect more data,4.8,0.2541,7038.67,87.3,50.8,17.8,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FQ47F7Z7,2026-09-01 21:50:14,2026-09-01 21:54:02,3,54.8,54.8,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Storage,3397571,Storage,Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,B0CZXZK1BW,,"MISSION Boat Gear Heavy Duty Outddor CASSI Tote Boat Bag, Mesh Beach Bag | Multiple Colors, Waterproof Base, Boat Cabin Storage, Mesh, Boat, Beach, Grocery, Travel, Pool, Premium Marine Gear",Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,US,49.0,13.72,3.92,8.22,0.15,475.0,290.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CZXZK1BW; brand MISSION,https://www.amazon.com/dp/B0CZXZK1BW,54.7,Watch or collect more data,15.79,0.3222,7500.25,83.1,36.8,49.8,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0CZXZK1BW,2026-09-01 21:42:46,2026-09-01 21:54:02,4,54.7,54.7,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Tool Trays,15709201,Tool Trays,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Trays,B0D3TCVJPK,,"Magnetic Socket Holder Organizer Set: 9-Piece Detachable 1/4, 3/8, 1/2 Socket Trays Socket Organizer for Tool Box Drawer Holds 120-Piece Standard Size Sockets for Automotive Garage(Blue Red Green)",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Trays,US,39.99,11.2,3.2,8.25,0.15,1412.0,265.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0D3TCVJPK; brand SEDY,https://www.amazon.com/dp/B0D3TCVJPK,54.6,Watch or collect more data,11.34,0.2836,16014.2,87.3,40.8,37.2,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0D3TCVJPK,2026-09-01 21:50:14,2026-09-01 21:54:02,3,54.6,54.6,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
