image_index,asin,listing_url,title,product_form,material,pack_count,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
1,B0CV7H2DLQ,https://www.amazon.com/dp/B0CV7H2DLQ,"MACKENZIE-CHILDS Glass Sweets Jar with Lid, Pink-and-White Rosy Check | Hand-painted design, decorative kitchen jar with enamel lid, ideal for storing treats, 5“ W x 6.5“ H, 0.5-gallon capacity",combo food storage container,plastic,1,https://m.media-amazon.com/images/I/61WHXAYZRCL.jpg,research/B0CV7H2DLQ/images/01_B0CV7H2DLQ.jpg,,,,,,
2,B07G1DLLHC,https://www.amazon.com/dp/B07G1DLLHC,"MACKENZIE-CHILDS Glass Cookie Jar with Lid, Black-and-White Courtly Check | Hand-painted design, decorative kitchen jar with enamel lid, ideal for storing treats, 6“ W x 8“ H, 1-gallon capacity",combo jar,plastic,1,https://m.media-amazon.com/images/I/81TkH1bKvqL.jpg,research/B0CV7H2DLQ/images/02_B07G1DLLHC.jpg,,,,,,
3,B01M1FBYWK,https://www.amazon.com/dp/B01M1FBYWK,"MACKENZIE-CHILDS Enamel Spoon Rest, Black-and-White Courtly Check | Hand-painted design, made from enameled steel, utensil rest and spoon holder for stovetop and kitchen counter use, 8.5“ L",combo spoon rest,plastic,1,https://m.media-amazon.com/images/I/71b6Ip-lnwL.jpg,research/B0CV7H2DLQ/images/03_B01M1FBYWK.jpg,,,,,,
4,B0D6M6NJN9,https://www.amazon.com/dp/B0D6M6NJN9,"MACKENZIE-CHILDS Enamel Tall Vase, Pink-and-White Rosy Check | Hand-painted design, decorative flower vase and bouquet holder, made from enameled steel, 6' dia. x 10' H",vase,stainless steel,1,https://m.media-amazon.com/images/I/31Wrcnb+ZqL._AC_.jpg,research/B0CV7H2DLQ/images/04_B0D6M6NJN9.jpg,,,,,,
5,B0DS1KQGDT,https://www.amazon.com/dp/B0DS1KQGDT,"MACKENZIE-CHILDS Enamel Canister, Demi, Brown-and-White Mocha Check | Hand-painted design, versatile kitchen storage container for flour and sugar, 24-ounce capacity",combo food storage container,plastic,1,https://m.media-amazon.com/images/I/41GVyMVp+VL._AC_.jpg,research/B0CV7H2DLQ/images/05_B0DS1KQGDT.jpg,,,,,,
6,B0DS1Q6G16,https://www.amazon.com/dp/B0DS1Q6G16,"MACKENZIE-CHILDS Teapot Salt & Pepper Set, Pink-and-White Rosy Check | Hand-painted design, made from ceramic, kitchen table spice shaker set, 3.25' dia. x 3.25' H (each)",combo food shaker,unknown,1,https://m.media-amazon.com/images/I/61Z8v9WnqHL._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/06_B0DS1Q6G16.jpg,,,,,,
7,B07VNGZRM2,https://www.amazon.com/dp/B07VNGZRM2,"MACKENZIE-CHILDS Enamel Canister, Small, Black-and-White Courtly Check",food storage container,cotton,1,https://m.media-amazon.com/images/I/71lUR9w5I5L._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/07_B07VNGZRM2.jpg,,,,,,
8,B0CV62THBC,https://www.amazon.com/dp/B0CV62THBC,"MACKENZIE-CHILDS Enamel Squashed Pot, Pink-and-White Rosy Check",670,unknown,1,https://m.media-amazon.com/images/I/71TVMvhUZnL.jpg,research/B0CV7H2DLQ/images/08_B0CV62THBC.jpg,,,,,,
9,B07QMTNWHV,https://www.amazon.com/dp/B07QMTNWHV,"MACKENZIE-CHILDS Enamel Utensil Holder, Blue-and-White Royal Check",item container,stainless steel,1,https://m.media-amazon.com/images/I/71iwEr-yGQL._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/09_B07QMTNWHV.jpg,,,,,,
10,B07QM72ZXL,https://www.amazon.com/dp/B07QM72ZXL,"MACKENZIE-CHILDS Enamel Canister, Large, Black-and-White Courtly Check",food storage container,cotton,1,https://m.media-amazon.com/images/I/71VALFP6gKL.jpg,research/B0CV7H2DLQ/images/10_B07QM72ZXL.jpg,,,,,,
11,B0FXY986WL,https://www.amazon.com/dp/B0FXY986WL,"MACKENZIE-CHILDS Enamel Tall Vase, Pink Wildflowers | Hand-applied design, decorative flower vase and bouquet holder, made from enameled steel, 6' dia. x 10' H",bouquet holder,unknown,1,https://m.media-amazon.com/images/I/81w2WmyjllL._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/11_B0FXY986WL.jpg,,,,,,
12,B0DSJLHJCW,https://www.amazon.com/dp/B0DSJLHJCW,"MACKENZIE-CHILDS Farmhouse Oil Cruet, Black-and-White Courtly Check | Hand-applied design, made from ceramic, oil-dispenser bottle for kitchen use, 2.25“ dia. x 9“ H, 1-cup capacity",combo bottle,unknown,1,https://m.media-amazon.com/images/I/310-dYSMkzL._AC_.jpg,research/B0CV7H2DLQ/images/12_B0DSJLHJCW.jpg,,,,,,
13,B0DS1F5Q1M,https://www.amazon.com/dp/B0DS1F5Q1M,"MACKENZIE-CHILDS Butterfly Wall Decor Set, Pink-and-White Rosy Check | Hand-applied design, small (6.25' W x 3.75' H x 0.5' D) and large (7' W x 4' H x 0.5' D) butterflies, set of 2",combo hanging ornament,unknown,2,https://m.media-amazon.com/images/I/61b+jHPZj0L._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/13_B0DS1F5Q1M.jpg,,,,,,
14,B09YX96P5Z,https://www.amazon.com/dp/B09YX96P5Z,"MACKENZIE-CHILDS Enamel Canister, Medium, Gray-and-White Sterling Check | Hand-painted design, made from enameled steel, versatile kitchen storage container for flour and sugar, 48-ounce capacity",combo food storage container,cotton,1,https://m.media-amazon.com/images/I/71wylx9Dn0L.jpg,research/B0CV7H2DLQ/images/14_B09YX96P5Z.jpg,,,,,,
15,B00FEFDNTQ,https://www.amazon.com/dp/B00FEFDNTQ,"MACKENZIE-CHILDS Everyday Bowl, Large, Black-and-White Courtly Check | Hand-painted design, made from enameled steel, decorative serving bowl, 11“ dia. x 4.75“ H, 16-cup capacity",dishware bowl,stainless steel,1,https://m.media-amazon.com/images/I/61j2+N+tR9L.jpg,,,,,,,
16,B0DF7TXQ7V,https://www.amazon.com/dp/B0DF7TXQ7V,"MACKENZIE-CHILDS Ceramic Cookie Jar with Lid, Courtly Bear | Hand-painted design, made from dolomite ceramic, decorative jar for kitchen or dining room, 9' W x 12' H, 48-ounce capacity",combo food storage container,unknown,1,https://m.media-amazon.com/images/I/71oeo0DhZnL._AC_SL1500_.jpg,,,,,,,
17,B004HICOPA,https://www.amazon.com/dp/B004HICOPA,"MACKENZIE-CHILDS Tea Kettle, 2 Quarts, Black-and-White Courtly Check | Hand-painted design, made from enameled steel with a wooden handle, ideal for serving coffee, tea, and other hot beverages",stovetop kettle,wood/bamboo,1,https://m.media-amazon.com/images/I/71aukFrhT5L.jpg,,,,,,,
18,B0G2YFD1GM,https://www.amazon.com/dp/B0G2YFD1GM,"MACKENZIE-CHILDS Cutting Boards Set, Brown-and-White Mocha Check | Decorative cutting boards, made from tempered glass, includes small (10“ x 8“) and large (15.75“ x 12“) sizes, set of 2",combo cutting board,plastic,2,https://m.media-amazon.com/images/I/71jvLqJ7FWL.jpg,research/B0CV7H2DLQ/images/18_B0G2YFD1GM.jpg,,,,,,
19,B0F5SNL928,https://www.amazon.com/dp/B0F5SNL928,"MACKENZIE-CHILDS Glass Soap Pump, Black-and-White Courtly Check | Hand-applied design, liquid soap dispenser for bathroom or kitchen, 3' W x 3' L x 8.5' H",combo soap dish,plastic,1,https://m.media-amazon.com/images/I/41RDYrOP58L._AC_.jpg,research/B0CV7H2DLQ/images/19_B0F5SNL928.jpg,,,,,,
20,B0DPJBW4CJ,https://www.amazon.com/dp/B0DPJBW4CJ,"MACKENZIE-CHILDS Utensil Caddy Set with Kitchen Utensils, Brown-and-White Mocha Check",combo caddy,silicone,1,https://m.media-amazon.com/images/I/71bsFsF7ayL.jpg,research/B0CV7H2DLQ/images/20_B0DPJBW4CJ.jpg,,,,,,
21,B0DS1NRY83,https://www.amazon.com/dp/B0DS1NRY83,"MACKENZIE-CHILDS Enamel Curiosity Pot, Decorative Container for Home Decor, Pink-and-White Rosy Check",jar,plastic,1,https://m.media-amazon.com/images/I/61zy31o4JpL._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/21_B0DS1NRY83.jpg,,,,,,
22,B0DS1QNNR1,https://www.amazon.com/dp/B0DS1QNNR1,"MACKENZIE-CHILDS Ceramic Tray, Eternity Trinket | Hand-painted design, unique tray for bathroom or kitchen decor, 5.25' W x 9' L x 1.25' H",combo tray,unknown,1,https://m.media-amazon.com/images/I/61cyGW-S8AL._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/22_B0DS1QNNR1.jpg,,,,,,
