keyword,search_volume,rank,show_share,clicks_90d,top3_asins,image_asin_count
mackenzie childs,137896.0,11714.0,73.29,-1.0,B0G2YFD1GM; B004HICOPA; B0BZ9KR1CZ,10
mckenzie childs,21454.0,167238.0,10.47,-1.0,B0DS1L5TZP; B004HICOPA; B0DS1Q89Y6,10
mackenzie childs outlet sale,8901.0,351835.0,6.5,-1.0,B0DS1QH1VF; B07G1DLLHC; B08ZSKKPXB,10
mackenzie childs utensil holder,13985.0,258225.0,5.21,-1.0,B0DS1L5TZP; B09YX3WRS7; B07QMTNWHV,10
mckenzie-childs,9163.0,263097.0,0.9,-1.0,B0DS1L5TZP; B004HICOPA; B07G1DLLHC,10
mackenzie-childs enamel canisters,1065.0,656055.0,0.68,-1.0,B07VNGZRM2; B0CGVHHQ11; B0CGYHXH7P,10
mackenzie childs vase,7515.0,410681.0,0.57,-1.0,B0D6M6NJN9; B0DS1DV67P; B0D9KFG27T,10
mackenzie childs canister,2179.0,589766.0,0.49,-1.0,B0DS1KQGDT; B07QM72ZXL; B09YX96P5Z,10
mackenzie childs cookie jar,606.0,1146420.0,0.41,-1.0,B07G1DLLHC; B0CDZJ3B92; B0CV7P7ZY4,10
mackenzie childs sale,847.0,778291.0,0.34,-1.0,B01M66VG78; B01BGUKH6E; B08ZSKKPXB,10
pink ginger jar,578.0,642629.0,0.24,936.0,B0FYDD1WZR; B0CKWNMFQN; B0H1822XS3,10
mckenzie child,427.0,811074.0,0.23,-1.0,B004HICOPA; B01M1FBYWK; B01BGUKH6E,10
mckenzie childs vase,277.0,1244030.0,0.11,-1.0,B0D6M6NJN9; B0DS1DV67P; B07QMTNWHV,10
mackenzie childs dupe,346.0,958468.0,0.09,-1.0,B0DXZWYB6Z; B0H25S49FJ; B0FY2TCN63,10
mackenzie childs rosy check,265.0,1808902.0,0.07,-1.0,B0DS1F5Q1M; B0D6MRB4S6; B0DM8CFYBT,10
mackenzie -childs,142.0,1193300.0,0.06,-1.0,B004HICOPA; B01M1FBYWK; B0BZ9KR1CZ,10
pink cookie jar,80.0,1127287.0,0.05,-1.0,B0DX5HH17Q; B0B2QSBFTK; B0CWLF6SPJ,10
mckenzie childs canister,71.0,1757109.0,0.05,-1.0,B09YWMGZWQ; B0DS1KQGDT; B0CQMVYDB8,10
mackenzie childs sale clearance,115.0,1573298.0,0.05,-1.0,B004HICOPA; B07G1DLLHC; B0BZ9NPYJJ,10
mackenzie childs pink,163.0,1124358.0,0.04,-1.0,B0DSJRTDX2; B0D6M6NJN9; B0DS1Q6G16,10
