image_index,asin,listing_url,title,product_form,material,pack_count,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
1,B0DRN24XD6,https://www.amazon.com/dp/B0DRN24XD6,1Pcs Wall-Mounted Storage Box Space-Saving Wall Organizer for Phone Remote Small Items Creative Hanging Storage Easy Install No Electricity Needed(White),electric item container,plastic,1,https://m.media-amazon.com/images/I/51z3kYiCXEL.jpg,research/B0DRN24XD6/images/01_B0DRN24XD6.jpg,,,,,,
2,B0DDPQNDWR,https://www.amazon.com/dp/B0DDPQNDWR,"3 Slot Adjustable Remote Control Holder Wall Mount, TV Remote Box Hollow Bottom Slot Easy Phone Charging, Self Adhesive Remote Holder,Wall Pen Holder Storage Accessories for Home Office School (Black)",caddy,wood/bamboo,1,https://m.media-amazon.com/images/I/61yaf-0WJbL.jpg,research/B0DRN24XD6/images/02_B0DDPQNDWR.jpg,,,,,,
3,B0CGJJJC4M,https://www.amazon.com/dp/B0CGJJJC4M,"Upgraded Closet Organizers and Storage, Stackable Closet Organizer Basket | 5 Pack Foldable Closet Storage Bins for Bathroom Laundry Room Wardrobe Storage, Space-Saving Clothes Drawer Organizer",combo storage drawer,plastic,5,https://m.media-amazon.com/images/I/71qU0gkBTYL.jpg,research/B0DRN24XD6/images/03_B0CGJJJC4M.jpg,,,,,,
4,B0DCNHB5FT,https://www.amazon.com/dp/B0DCNHB5FT,"XYOFUN Magnetic Remote Control Holder Wall Mount - 4 Pcs Multicolor | No Drill Self-Adhesive Organizer, For Air Conditioner & TV Remotes, Storage Caddy for Televisions Backside",caddy,silicone,4,https://m.media-amazon.com/images/I/61leMQm6-9L.jpg,research/B0DRN24XD6/images/04_B0DCNHB5FT.jpg,,,,,,
5,B0D97JXLB2,https://www.amazon.com/dp/B0D97JXLB2,"Aecsze 2 PCS Remote Control Holders Wall Mount, Self Adhesive TV Air Conditioner Remote Control Holder, Wall Mount Storage Box Organizer Wall Pen Holder Storage for Home Office School (Black, 2)",caddy,plastic,2,https://m.media-amazon.com/images/I/61im77Q+7dL.jpg,research/B0DRN24XD6/images/05_B0D97JXLB2.jpg,,,,,,
6,B0BJZP3LH4,https://www.amazon.com/dp/B0BJZP3LH4,"RICHER HOUSE 5-Set Floating Shelves with Lip, Black Wall Mounted Wood Shelf | Display Picture Ledge Shelf, Anti-drop lip Shelf for Room Wall Decor, Bedroom Bathroom Storage Nursery Books, Easy Setup 16in",wall-mounted shelf,wood/bamboo,1,https://m.media-amazon.com/images/I/61WfdJX1pLL.jpg,research/B0DRN24XD6/images/06_B0BJZP3LH4.jpg,,,,,,
7,B0CBDF4SMK,https://www.amazon.com/dp/B0CBDF4SMK,"Sevenblue 3-Pack 2-Tier Under Sink Organizers with Sliding Drawers | Multi-use kitchen & bathroom storage, 12.8 inch black cabinet organizer, space-saving sliding drawer design.",combo storage drawer,plastic,3,https://m.media-amazon.com/images/I/81RYYEs+bZL.jpg,,,,,,,
8,B0CB8B1M41,https://www.amazon.com/dp/B0CB8B1M41,"Pants Hangers with Clips,Space Saving Hanging Closet Organizer-6 Tiers Skirt Hangers with 360° Swivel Hook,Closet Organizer-Clothes Hangers- College Dorm Essentials Apartment Essentials-2 Pack",combo clothes hanger,plastic,2,https://m.media-amazon.com/images/I/71-3UVrsGhL.jpg,research/B0DRN24XD6/images/08_B0CB8B1M41.jpg,,,,,,
9,B0BZCBJ7RL,https://www.amazon.com/dp/B0BZCBJ7RL,"Volnamal Legging Organizer for Closet,2 Pack Metal Yoga Pants Hangers w/10 Clips Hold 20 Leggings,Space Saving Hanging Closet Organizer Clothes Hanger College Dorm Essentials Apartment Essential,Black",combo clothes hanger,metal,2,https://m.media-amazon.com/images/I/71aytsbjg7L.jpg,research/B0DRN24XD6/images/09_B0BZCBJ7RL.jpg,,,,,,
10,B0CJ56M8D4,https://www.amazon.com/dp/B0CJ56M8D4,"Veken Shower Caddy 6-Pack, Bathroom Organizers and Storage Shelves, Black | Advanced Rustproof Design, Large Capacity, No Drilling, Adhesive Rack with Soap Holder, Wall-Mounted Kitchen & Home Decor",wall-mounted caddy,paper,6,https://m.media-amazon.com/images/I/717q1v8CBDL.jpg,research/B0DRN24XD6/images/10_B0CJ56M8D4.jpg,,,,,,
11,B0BRKHCLGZ,https://www.amazon.com/dp/B0BRKHCLGZ,"Closet Organizers and Storage, 3 Pack Pants Hangers Space Saving | Organization and Storage, Velvet Hanger for Dorm Room for College Students Girls Boys Guys Hanging Jean Scarf",combo clothes hanger,unknown,3,https://m.media-amazon.com/images/I/71apXFP2ReL.jpg,research/B0DRN24XD6/images/11_B0BRKHCLGZ.jpg,,,,,,
12,B0C89STMFK,https://www.amazon.com/dp/B0C89STMFK,"JARLINK Over the Door Organizer for Bedroom, Pantry, Bathroom, 5 Shelf Grey | Anti-Tilt Design, 44 lb Load Capacity, Hanging Door Organizer with 5 Large Capacity Pockets, Behind Door Storage for Nursery",caddy,metal,1,https://m.media-amazon.com/images/I/81NZjP5qAuL.jpg,research/B0DRN24XD6/images/12_B0C89STMFK.jpg,,,,,,
13,B09YV7B6YW,https://www.amazon.com/dp/B09YV7B6YW,"upsimples 4 Pcs 15“ Acrylic Shelves for Wall Storage and Organizer, Clear | Transparent Design Highlights Skincare, Perfume, Easy-to-Find Versatile Floating Shelves for Bathroom, Bedroom and Playroom",shelf,plastic,4,https://m.media-amazon.com/images/I/71e0nHvKXuL.jpg,research/B0DRN24XD6/images/13_B09YV7B6YW.jpg,,,,,,
14,B01G1Y42H0,https://www.amazon.com/dp/B01G1Y42H0,"Command Large White Broom Grippers, 2 Broom Grippers, 4 Strips | Damage-Free Hanging Wall Mount Broom and Mop Holder, No Tools Holiday Cleaning Organizer, Holds up to 4 lb",storage hook,plastic,1,https://m.media-amazon.com/images/I/71wyqZY2CKL.jpg,research/B0DRN24XD6/images/14_B01G1Y42H0.jpg,,,,,,
15,B0FB931GXG,https://www.amazon.com/dp/B0FB931GXG,"Upgraded 9.5‘‘ Large Acrylic Straw Holder for Cabinet Door, Adjustable Space-Saving Straw Organizer Storage Dispenser for Cabinet with Ultra Sticky Adhesive Strips, 2-Part Rack, Drainage Holes",drinking straw,silicone,1,https://m.media-amazon.com/images/I/81xeZUjZ0SL.jpg,,,,,,,
16,B0D22LPM7P,https://www.amazon.com/dp/B0D22LPM7P,"Heavy Duty Over The Door Organizer 5 Tiers, Extra Large Behind Door Storage of 10 Big Front & 10 Mesh Pockets, 80lb Weight Capacity, Hanging Doors Storage Organizer for Closet Bedroom Nursery, Grey",combo caddy,unknown,1,https://m.media-amazon.com/images/I/71vp8Zp7HmL.jpg,research/B0DRN24XD6/images/16_B0D22LPM7P.jpg,,,,,,
17,B0D46GXKYF,https://www.amazon.com/dp/B0D46GXKYF,"Lifewit 1 Pack Over the Door Organizer 5 Section Hanging Storage, Dark Gray | Clear Window Behind Door Store with 4 Side Pockets, Sturdy Anti Tilt 40 lbs Load for Closet, Bedroom, Bathroom, Nursery, Dorm",combo caddy,plastic,1,https://m.media-amazon.com/images/I/61WNE1SejUL.jpg,research/B0DRN24XD6/images/17_B0D46GXKYF.jpg,,,,,,
18,B07VSJY4LP,https://www.amazon.com/dp/B07VSJY4LP,TotalMount Drop-Free Remote Holder – Removable Adhesive Strips – Black | Designed in the USA – Simply Put the Remotes In – No Tricky Magnet Alignment Needed (Holds 2 or 3 Remote Controls),remote control,unknown,1,https://m.media-amazon.com/images/I/71LBWa2eF4L.jpg,research/B0DRN24XD6/images/18_B07VSJY4LP.jpg,,,,,,
19,B0CN11479K,https://www.amazon.com/dp/B0CN11479K,"CHENYAOAI Bedside Shelf Accessories Organizer, Wall Mount Self Stick On, Cute Room Decor Aesthetic, Girls Room Decor, Cool Stuff for Bedroom Storage and Organization",shelf,paper,1,https://m.media-amazon.com/images/I/61zOjOur97L.jpg,research/B0DRN24XD6/images/19_B0CN11479K.jpg,,,,,,
20,B0CN1FFNSH,https://www.amazon.com/dp/B0CN1FFNSH,"Hat Rack for Hat Storage (4-Pack), Multi-Purpose Hat Organizer, Strong Adhesive Hat Hooks for Wall Organizer for Baseball Caps, Two Mounting Options Hook, Black",clothes rack,plastic,4,https://m.media-amazon.com/images/I/41IAFwA4WkL.jpg,research/B0DRN24XD6/images/20_B0CN1FFNSH.jpg,,,,,,
21,B082WNQNVD,https://www.amazon.com/dp/B082WNQNVD,TotalMount Drop-Free Remote Holder – Removable Adhesive Strips – White | Designed in the USA – Simply Put the Remote In – No Tricky Magnet Alignment Needed,item container,unknown,1,https://m.media-amazon.com/images/I/71N0L98e6zL.jpg,research/B0DRN24XD6/images/21_B082WNQNVD.jpg,,,,,,
22,B0C5XDNKPX,https://www.amazon.com/dp/B0C5XDNKPX,"SIBRANT 2 Pcs Remote Control Holder Wall Mount, TV Controller Holder, Self Adhesive Remote Holder, Wall Pen Holder Storage Accessories for Home Office School (White)",caddy,wood/bamboo,2,https://m.media-amazon.com/images/I/41nXEZqfj2L.jpg,research/B0DRN24XD6/images/22_B0C5XDNKPX.jpg,,,,,,
23,B0D3LSTZHV,https://www.amazon.com/dp/B0D3LSTZHV,"Lifewit 6 Tier Over the Door Shoe Organizer with 11 Large Deep Pockets, Fabric Hanging Shoes Shelf for Closet, Dorm Storage, Fit Up to 12 Pair Shoe Rack Holder for Sneakers, Boots, Gray",combo caddy,unknown,1,https://m.media-amazon.com/images/I/71qFiMUyXAL.jpg,research/B0DRN24XD6/images/23_B0D3LSTZHV.jpg,,,,,,
24,B09DX34YB6,https://www.amazon.com/dp/B09DX34YB6,"AWTATOS 12 Cube Storage Organizer, Closet Organizer Storage Shelves, White",combo shelf,plastic,1,https://m.media-amazon.com/images/I/61gWx+++SwL.jpg,research/B0DRN24XD6/images/24_B09DX34YB6.jpg,,,,,,
25,B0BFG36DXH,https://www.amazon.com/dp/B0BFG36DXH,"Cube Storage Organizer with Storage Bins Included - The Perfect Closet Organizers and Storage Solution. Includes 9 Storage Cubes, Great For Toy Storage, Closet Storage, Clothes Storage (Grey)",combo storage drawer,plastic,1,https://m.media-amazon.com/images/I/A16iLGdzxuL.jpg,research/B0DRN24XD6/images/25_B0BFG36DXH.jpg,,,,,,
