source_asin,source,listing_url,product_type,relevance_score,competitor_type,product_form,material,material_evidence,detail_material,detail_evidence,pack_count,closure,style,use_case,feature_tags,asin,parent_asin,title,brand,price,monthly_sales,reviews,rating,seller_address,is_fba,variation_count,bsr_category,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
B0FHBMG2B3,seed,https://www.amazon.com/dp/B0FHBMG2B3,FAUCET,100,seed,unknown,stainless steel,detail:stainless steel,stainless steel,detail:stainless steel,1,unknown,unknown,unknown,,B0FHBMG2B3,B0GW62RXHF,"3 Way Hose Splitter, Heavy Duty Full Flow Garden Water Hose Bib Spigot Splitter, Brass Rust and Freeze Resistant Outdoor Faucet Splitter, T Adapter Connector with 3/4 - Inch GHT Thread （Red）",LNEZCDB,31.99,100.0,151.0,4.7,CN,True,4.0,Garden Hose Splitters / 17384647011 / 22,https://m.media-amazon.com/images/I/81fMQb-lqyL._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B0FHBMS2G2,VALVE,91.1,direct,unknown,stainless steel,detail:stainless steel,stainless steel,detail:stainless steel,1,unknown,unknown,unknown,,B0FHBMS2G2,B0GW6DWL7D,"Hose Splitter 2 Way Heavy Duty, Full Flow Garden Hose Splitter with 2 Long Metal Handles, Brass Rust and Freeze Resistant Water Hose Bib Splitter, T Adapter Connector with 3/4 - Inch GHT Thread（Black）",LNEZCDB,25.19,1000.0,286.0,4.6,CN,True,4.0,Garden Hose Splitters / 17384647011 / 15,https://m.media-amazon.com/images/I/71sbGDMERgL.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0FHBSLX9Y,HOSE PIPE FITTING,81.7,direct,unknown,stainless steel,detail:stainless steel,stainless steel,detail:stainless steel,1,unknown,unknown,unknown,,B0FHBSLX9Y,B0GXRXBMVB,"3 Way Hose Splitter Heavy Duty, Garden Hose Splitter with 3 Long Handle, Full Flow Brass Nickel Plated Water Hose T Spigot Splitter Adapter Connector, 3/4 - Inch GHT Thread (Blue)",LNEZCDB,32.79,100.0,54.0,4.7,CN,True,4.0,Garden Hose Splitters / 17384647011 / 87,https://m.media-amazon.com/images/I/81AaaUu6gTL._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B0G8YR6G32,HOSE PIPE FITTING,80.9,direct,unknown,unknown,,unknown,,1,unknown,unknown,unknown,,B0G8YR6G32,B0H2CTH1LH,"ZaakWang Garden Hose Splitter, 3 Way Hose Splitter, Heavy Duty Water Hose Bib Spigot Splitter, Outdoor Faucet Splitter with Shutoff Valve, T Adapter Connector with 3/4 - Inch GHT Thread (Green)",ZaakWang,18.97,500.0,265.0,4.0,CN,True,7.0,Garden Hose Splitters / 17384647011 / 34,https://m.media-amazon.com/images/I/71cz05162CL._AC_SL1500_.jpg,research/B0FHBMG2B3/images/04_B0G8YR6G32.jpg,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B0DSZ691QN,HOSE PIPE FITTING,79.5,direct,unknown,stainless steel,title:stainless steel; detail:stainless steel,plastic,detail:opp,1,unknown,unknown,unknown,,B0DSZ691QN,B0GYNS6GLS,"Hose Splitter 2 Way Heavy Duty Brass Garden Hose Splitter with 304 Stainless Steel Long Handle Outdoor Full Flow Hose Splitter Connector,Y Valve 3/4 Inch GHT Thread",NOTDIS,27.99,4000.0,1232.0,4.2,CN,True,5.0,Garden Hose Splitters / 17384647011 / 13,https://m.media-amazon.com/images/I/71uxkA+WgAL._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B0GGBC9C94,HOSE PIPE FITTING,77.1,direct,unknown,stainless steel,title:stainless steel; detail:stainless steel,stainless steel,title:stainless steel; detail:stainless steel,1,unknown,unknown,unknown,,B0GGBC9C94,B0GSV74QCC,"Garden Hose Splitter 3 Way, Heavy Duty 304 Stainless Steel Hose Splitter with Shut-off Valves, Full Flow Garden Water Hose Bib Spigot Splitter, 3/4’’ GHT Thread Outdoor Faucet Splitter",Vtenyeo,25.99,600.0,30.0,4.8,CN,True,4.0,Garden Hose Splitters / 17384647011 / 26,https://m.media-amazon.com/images/I/61qUDCi-TDL._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0FHJNW2CH,,76.9,direct,unknown,unknown,,unknown,,1,lid,unknown,unknown,,B0FHJNW2CH,B0GHLC3W2Q,"Garden Hose Splitter, 3 Way Hose Splitter Heavy Duty Full Flow Solid Brass Nickel Plated Spigot Splitter Valve with Metal Handle, Outdoor Faucet Splitter, 3/4 - Inch Frost Resistant Hose Adapter",LNEZCDB,32.79,0.0,0.0,0.0,CN,True,4.0,Garden Hose Splitters / 17384647011 / 96,https://m.media-amazon.com/images/I/81ziuRO8AlL._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B0GS8XQY4K,HOSE PIPE FITTING,75.5,direct,unknown,stainless steel,title:stainless steel; detail:stainless steel,stainless steel,title:stainless steel; detail:stainless steel,1,unknown,unknown,unknown,,B0GS8XQY4K,B0GS8XV9N7,"304 Stainless Steel Garden Hose Splitter 3 Way Heavy Duty, Full Flow T Valve Water Hose Splitter With 2.1' Extra Long Handle, Lead-free，3/4' GHT Thread Connector For Outdoor Spigot Faucet",SNUTUYA,26.59,0.0,6.0,5.0,CN,True,3.0,Garden Hose Splitters / 17384647011 / 42,https://m.media-amazon.com/images/I/718TVWq76wL._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B0GL2PPSWX,HOSE PIPE FITTING,75.1,direct,unknown,plastic,detail:opp,plastic,detail:opp,1,unknown,unknown,unknown,extra large,B0GL2PPSWX,B0GL2PPSWX,"Hose Splitter 2 Way Heavy Duty, Full Flow Garden Hose Splitter with Large Easy-Turn Handle, 3/4 Inch GHT Brass Water Hose Splitter for Outdoor Faucet, Y Valve Hose Bib Splitter",lawngame,13.99,4000.0,98.0,4.8,HK,True,1.0,Garden Hose Splitters / 17384647011 / 10,https://m.media-amazon.com/images/I/71W78CM42YL.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B0GGN99JP2,HOSE PIPE FITTING,74.1,direct,unknown,plastic,detail:plastic,plastic,detail:plastic,1,unknown,unknown,unknown,,B0GGN99JP2,B0GT3Y1FWY,"RAINPOINT 3 Way Hose Splitter, 100% Metal Heavy Duty Garden Hose Splitter With 1.9“ Extra Long Handle & Individual Shut Off, 3/4 Inch GHT Thread Water Hose Connector For Outdoor Spigot Faucet (Green)",RAINPOINT,40.99,2000.0,215.0,4.7,CN,True,6.0,Garden Hose Splitters / 17384647011 / 23,https://m.media-amazon.com/images/I/61zL-4UhmbL._AC_SL1500_.jpg,research/B0FHBMG2B3/images/10_B0GGN99JP2.jpg,,,,,,
