image_index,asin,listing_url,title,product_form,material,pack_count,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
1,B0FHBMG2B3,https://www.amazon.com/dp/B0FHBMG2B3,"3 Way Hose Splitter, Heavy Duty Full Flow Garden Water Hose Bib Spigot Splitter, Brass Rust and Freeze Resistant Outdoor Faucet Splitter, T Adapter Connector with 3/4 - Inch GHT Thread （Red）",unknown,stainless steel,1,https://m.media-amazon.com/images/I/81fMQb-lqyL._AC_SL1500_.jpg,,,,,,,
2,B0FHBMS2G2,https://www.amazon.com/dp/B0FHBMS2G2,"Hose Splitter 2 Way Heavy Duty, Full Flow Garden Hose Splitter with 2 Long Metal Handles, Brass Rust and Freeze Resistant Water Hose Bib Splitter, T Adapter Connector with 3/4 - Inch GHT Thread（Black）",unknown,stainless steel,1,https://m.media-amazon.com/images/I/71sbGDMERgL.jpg,,,,,,,
3,B0FHBSLX9Y,https://www.amazon.com/dp/B0FHBSLX9Y,"3 Way Hose Splitter Heavy Duty, Garden Hose Splitter with 3 Long Handle, Full Flow Brass Nickel Plated Water Hose T Spigot Splitter Adapter Connector, 3/4 - Inch GHT Thread (Blue)",unknown,stainless steel,1,https://m.media-amazon.com/images/I/81AaaUu6gTL._AC_SL1500_.jpg,,,,,,,
4,B0G8YR6G32,https://www.amazon.com/dp/B0G8YR6G32,"ZaakWang Garden Hose Splitter, 3 Way Hose Splitter, Heavy Duty Water Hose Bib Spigot Splitter, Outdoor Faucet Splitter with Shutoff Valve, T Adapter Connector with 3/4 - Inch GHT Thread (Green)",unknown,unknown,1,https://m.media-amazon.com/images/I/71cz05162CL._AC_SL1500_.jpg,research/B0FHBMG2B3/images/04_B0G8YR6G32.jpg,,,,,,
5,B0DSZ691QN,https://www.amazon.com/dp/B0DSZ691QN,"Hose Splitter 2 Way Heavy Duty Brass Garden Hose Splitter with 304 Stainless Steel Long Handle Outdoor Full Flow Hose Splitter Connector,Y Valve 3/4 Inch GHT Thread",unknown,stainless steel,1,https://m.media-amazon.com/images/I/71uxkA+WgAL._AC_SL1500_.jpg,,,,,,,
6,B0GGBC9C94,https://www.amazon.com/dp/B0GGBC9C94,"Garden Hose Splitter 3 Way, Heavy Duty 304 Stainless Steel Hose Splitter with Shut-off Valves, Full Flow Garden Water Hose Bib Spigot Splitter, 3/4’’ GHT Thread Outdoor Faucet Splitter",unknown,stainless steel,1,https://m.media-amazon.com/images/I/61qUDCi-TDL._AC_SL1500_.jpg,,,,,,,
7,B0FHJNW2CH,https://www.amazon.com/dp/B0FHJNW2CH,"Garden Hose Splitter, 3 Way Hose Splitter Heavy Duty Full Flow Solid Brass Nickel Plated Spigot Splitter Valve with Metal Handle, Outdoor Faucet Splitter, 3/4 - Inch Frost Resistant Hose Adapter",unknown,unknown,1,https://m.media-amazon.com/images/I/81ziuRO8AlL._AC_SL1500_.jpg,,,,,,,
8,B0GS8XQY4K,https://www.amazon.com/dp/B0GS8XQY4K,"304 Stainless Steel Garden Hose Splitter 3 Way Heavy Duty, Full Flow T Valve Water Hose Splitter With 2.1' Extra Long Handle, Lead-free，3/4' GHT Thread Connector For Outdoor Spigot Faucet",unknown,stainless steel,1,https://m.media-amazon.com/images/I/718TVWq76wL._AC_SL1500_.jpg,,,,,,,
9,B0GL2PPSWX,https://www.amazon.com/dp/B0GL2PPSWX,"Hose Splitter 2 Way Heavy Duty, Full Flow Garden Hose Splitter with Large Easy-Turn Handle, 3/4 Inch GHT Brass Water Hose Splitter for Outdoor Faucet, Y Valve Hose Bib Splitter",unknown,plastic,1,https://m.media-amazon.com/images/I/71W78CM42YL.jpg,,,,,,,
10,B0GGN99JP2,https://www.amazon.com/dp/B0GGN99JP2,"RAINPOINT 3 Way Hose Splitter, 100% Metal Heavy Duty Garden Hose Splitter With 1.9“ Extra Long Handle & Individual Shut Off, 3/4 Inch GHT Thread Water Hose Connector For Outdoor Spigot Faucet (Green)",unknown,plastic,1,https://m.media-amazon.com/images/I/61zL-4UhmbL._AC_SL1500_.jpg,research/B0FHBMG2B3/images/10_B0GGN99JP2.jpg,,,,,,
11,B0F2MJHDSS,https://www.amazon.com/dp/B0F2MJHDSS,"LIME 2 Way Hose Splitter Heavy Duty - Metal Y Garden Hose Splitter with Shutoff Valves, Brass Outdoor Faucet Adapter for Spigot, 3/4 Inch GHT Water Hose Connector",unknown,stainless steel,1,https://m.media-amazon.com/images/I/71Cp8FZ6WnL._AC_SL1500_.jpg,research/B0FHBMG2B3/images/11_B0F2MJHDSS.jpg,,,,,,
12,B0DT6VR1MG,https://www.amazon.com/dp/B0DT6VR1MG,"Yayamz Garden Hose Splitter, 3/4” Rust and Freeze Resistant Outdoor Hose Manifold with 3 green Extra Long Handles Faucet Adapter-Heavy Duty Brass 3-Way Valve",unknown,unknown,1,https://m.media-amazon.com/images/I/71GihLzU7VL.jpg,research/B0FHBMG2B3/images/12_B0DT6VR1MG.jpg,,,,,,
13,B0DZNG5GLH,https://www.amazon.com/dp/B0DZNG5GLH,"Garden Hose Splitter 3 Way, Heavy Duty 3-Way Brass Valve Garden Hose Splitter With Stainless Steel Long Handle, Full Flow Hose Splitter Connector, Valve 3/4 Inch GHT Thread",unknown,stainless steel,1,https://m.media-amazon.com/images/I/71hohweyDIL.jpg,research/B0FHBMG2B3/images/13_B0DZNG5GLH.jpg,,,,,,
14,B0GGNF3TF3,https://www.amazon.com/dp/B0GGNF3TF3,"RAINPOINT Garden Hose Splitter 2 Way, All Metal Heavy Duty Water Hose Y Splitter With 2.05“ Extra Long Side Handle & Shut Off Valves, 3/4 Inch GHT Thread Connector For Outdoor Spigot Faucet (Green)",unknown,plastic,1,https://m.media-amazon.com/images/I/71udtAQ1iyL.jpg,research/B0FHBMG2B3/images/14_B0GGNF3TF3.jpg,,,,,,
15,B0F59SJNWW,https://www.amazon.com/dp/B0F59SJNWW,"Hose Splitter 2 Way Heavy Duty, 3/4 Inch GHT Thread Y Valve Connector with Stainless Steel Long Handle, Full Flow Garden Brass Hose Splitter for Outdoor Watering, Irrigation, Washing",unknown,stainless steel,1,https://m.media-amazon.com/images/I/71itdMrmJBL._AC_SL1500_.jpg,research/B0FHBMG2B3/images/15_B0F59SJNWW.jpg,,,,,,
16,B0GRZTRQYK,https://www.amazon.com/dp/B0GRZTRQYK,"2 Way Heavy Duty Brass Garden Hose Splitter, 360° Rotatable Y Valve, Full Flow Large Ball Valve, Long Handle, Thickened Solid Brass, 3/4' GHT Thread for Outdoor Faucet, Lawn Irrigation, Car Wash",unknown,unknown,1,https://m.media-amazon.com/images/I/51K5gSkBwOL._AC_SL1500_.jpg,research/B0FHBMG2B3/images/16_B0GRZTRQYK.jpg,,,,,,
17,B0FB93GQWD,https://www.amazon.com/dp/B0FB93GQWD,"3 way Hose Splitter，Garden Hose Connector and Outdoor Faucet Splitter,with Shutoff Valves Hoses Adapter -T Water Spigot Splitter Water Pipe Connector，3/4“ GHT Thread For Home Outdoor Garden（red blue）",unknown,unknown,1,https://m.media-amazon.com/images/I/713yV9dpUPL._AC_SL1500_.jpg,research/B0FHBMG2B3/images/17_B0FB93GQWD.jpg,,,,,,
