asin,listing_url,title,competitor_type,product_form,monthly_sales,reviews,rating,review_rows_collected
B0FN8HSZHC,https://www.amazon.com/dp/B0FN8HSZHC,"CNEIESD 2 Count 160 Quart Wheeled Stacker, Extra Large Durable Clear Bin, Box with Latch Lid and Pull Handle | Extra Large, Durable Clear Bin, Latch Lid, Pull Handle",seed,extra-large storage box,600.0,45.0,4.1,4
B0FDWLX8QP,https://www.amazon.com/dp/B0FDWLX8QP,"8 Pack Extra Large Clothes Storage Bins with Lids, Moving Bags, Clear",keyword,extra-large storage bag,20000.0,4094.0,4.7,100
B001RCUNJ8,https://www.amazon.com/dp/B001RCUNJ8,"Sterilite 70 Qt Ultra™ Latch Box, Durable Clear Storage Bin w/ Lid, 6 Pack",direct,combo storage box,4000.0,13069.0,4.5,0
B0GH9325VG,https://www.amazon.com/dp/B0GH9325VG,"Sterilite Industrial Storage Tote with Lids for Garage, 27 Gallon, 4-Pack | Heavy-Duty and Stackable Utility Box Containers for Home, Office, and Basement Organization, Black/Yellow",keyword,storage box,3000.0,257.0,4.6,0
B0D6W4QPZP,https://www.amazon.com/dp/B0D6W4QPZP,"Vtopmart 4 Pack Extra Large Clear Storage Bins, 11x11 Cube Organizer | Acrylic Cube Storage Bins, Plastic Containers with Handle for Pantry, Kitchen, Closet, Laundry Room, Bathroom, Under Sink",keyword,combo item container,3000.0,1110.0,4.7,0
B0H9QRQZ7X,https://www.amazon.com/dp/B0H9QRQZ7X,"160 Quart Extra-Large Wheeled Storage Bin, Clear Storage Container with Latch Lid and Pull Handle, Durable, Dark Gray",direct,extra-large laundry hamper,0.0,0.0,0.0,0
B0H5CG5KC2,https://www.amazon.com/dp/B0H5CG5KC2,"Gisafai 100 Pcs Bead Storage Containers Small Clear Plastic Hinged Lid Box | Square Craft Supplies Organizer Case for Jewelry Screws Hardware Cards, Tiny Clear Boxes Bulk, 4.13 x 2.95 x 1.26 Inch",keyword,lid box,0.0,0.0,0.0,0
B0H9XP5GJY,https://www.amazon.com/dp/B0H9XP5GJY,Large Storage Bin 18 Gallon Plastic Container with Lid Pink,keyword,plastic container,0.0,0.0,0.0,0
B0FPRFFNH6,https://www.amazon.com/dp/B0FPRFFNH6,"COKELARIA Extra Large Storage Bin, 40 Gallon Wheeled Plastic Storage Container with Handle, Green, Pack of 2 (GREEN)",direct,extra-large storage box,500.0,96.0,4.6,0
B0GPS742LV,https://www.amazon.com/dp/B0GPS742LV,"IRIS USA 6-Pack 32.5 Quart Clip Box with Latching Lid | Latching lid secures office and household supplies. Stackable, nestable design maximizes storage space",keyword,storage box,2000.0,26282.0,4.4,0
