keyword,search_volume,rank,show_share,clicks_90d,top3_asins,image_asin_count
bread box,311382.0,1695.0,15.71,504607.0,B0DKC1HCQQ; B0DZWR9SN4; B0CGZPR3X9,10
beeswax bread bag,159527.0,5889.0,8.71,139209.0,B0F1CQLJS5; B0F3V3S7WG; B00GK3QTCE,10
bread bags,167100.0,4818.0,7.15,173032.0,B0FXMF5CHN; B0CW1ZBP6P; B0F3P1TCHG,10
bread bags for homemade bread,104025.0,10572.0,5.33,112091.0,B0CW1ZBP6P; B0FXMF5CHN; B0F1CQLJS5,10
sourdough bread bags,98580.0,11969.0,4.9,95756.0,B0CW1ZBP6P; B0FXMF5CHN; B0G2S1B7GR,10
beeswax,162942.0,4142.0,4.04,108039.0,B0D3VMF4BK; B01LWX2IO1; B0C9QSG3CY,10
bread bag,75942.0,25282.0,3.93,41988.0,B0CW1ZBP6P; B0F1CQLJS5; B0F3V3S7WG,10
beeswax bread bags for sourdough,61887.0,35650.0,3.37,37196.0,B0F1CQLJS5; B0FLXGT34C; B00GK3QTCE,10
bag,214471.0,2343.0,2.82,617160.0,B0CJFN2HJK; B0DDKKLHWF; B0CP7ZYPQ8,10
beeswax wraps for food,47672.0,54635.0,1.93,24909.0,B0F3QLYWLS; B08BWVXP6Y; B09WRHLCFG,10
organic bread,72701.0,26800.0,1.55,39778.0,B0DPXLPQJF; B09CFYR6CT; B0DPXKXV31,10
bees wax bread bag,26986.0,84433.0,1.53,14338.0,B0F1CQLJS5; B00GK3QTCE; B0FHH693Z4,10
sourdough kit,64957.0,32828.0,1.52,42916.0,B0FQV6G5JB; B0DPJSTLH5; B0D3D3339P,10
beeswax bread bags,25746.0,98360.0,1.5,14647.0,B0F1CQLJS5; B0F3V3S7WG; B00GK3QTCE,10
bee bread,25799.0,140306.0,1.3,9442.0,B0DNBMXWNH; B0BGT5FYZR; B0CKDNBQLB,10
bread storage,41167.0,51038.0,1.16,26610.0,B0DKC1HCQQ; B0CN95MYH5; B0DZWR9SN4,10
lorine beeswax bread bag,23314.0,102793.0,1.14,11193.0,B0GDFK7NQT; B0F3HKCFZS; B0GDFFBBGD,10
bread bags for homemade bread sourdough,22993.0,99843.0,1.12,12513.0,B0CW1ZBP6P; B0FXMF5CHN; B0G2S1B7GR,10
bags,165735.0,4332.0,1.09,306386.0,B07ZHLM8GF; B0CP7ZYPQ8; B0CJFN2HJK,10
banana bread pan,20643.0,117110.0,1.08,8905.0,B073P52PPR; B0B9J1NLLW; B08VWC65NH,10
