asin,listing_url,title,competitor_type,product_form,monthly_sales,reviews,rating,review_rows_collected
B0FS1YH17C,https://www.amazon.com/dp/B0FS1YH17C,"Premium Beeswax Bread Bags for Sourdough - 2 Packs XL Reusable Organic Beeswax Linen Cotton Sourdough Bag, Homesteading Essentials Sourdough Bags with Zip to Keep Fresh Bread Bags for Homemade Bread",seed,beeswax bread bag,1000.0,159.0,4.5,58
B0CW1ZBP6P,https://www.amazon.com/dp/B0CW1ZBP6P,"50 Pcs Bread Bags for Homemade Bread, Sourdough Paper With Window, 50% Thicker 13.7x8.2x3.7in A Large Bakery Bags Used for Storage Cookies & Snacks, 60 Cute Sealing Stickers With Ties",keyword,disposable bakery bread bag,10000.0,3965.0,4.6,100
B0FQV6G5JB,https://www.amazon.com/dp/B0FQV6G5JB,"Sourdough Starter Kit, Sourdough Bread Baking Supplies, Round & Oval Banneton Bread Proofing Basket, Bread Sling, Starter Jar, Dough Whisk, Scrapers, Stencils & Bag, Complete Sourdough Kit Gifts",keyword,banneton/proofing,3000.0,285.0,4.6,33
B00GK3QTCE,https://www.amazon.com/dp/B00GK3QTCE,Bee‘s Wrap Beeswax Wraps for Bread - Beeswax Bread Wrap for Sourdough & Bread Storage - Plastic Free Made in USA Reusable Natural Food Wrap - Honeycomb,keyword,beeswax wrap,2000.0,3150.0,4.6,100
B0GDFK7NQT,https://www.amazon.com/dp/B0GDFK7NQT,"Lorine Beeswax Lining Bread Bags, Reusable Bread Bags for Homemade & Sourdough Bread, Large capacity 13 * 17’’, Moisture Lock with Zip for Bread Freshness with Sealing (2 PCS)",keyword,linen/cotton bread bag,600.0,66.0,4.1,36
B0F3HKCFZS,https://www.amazon.com/dp/B0F3HKCFZS,"Oerdoh Bread Bags for Homemade Bread - 2 Packs XL Reusable Organic Beeswax Linen Cotton Sourdough Bag, Homesteading Essentials Sourdough Bags with Sealing Zip to Keep Fresh",direct,beeswax bread bag,1000.0,225.0,4.3,100
B0GRV4C1SL,https://www.amazon.com/dp/B0GRV4C1SL,"Beeswax Bread Bags, XL Reusable Linen Cotton Sourdough Bread Bag with Sealing Zip for Homemade Bread to Keep Fresh, 2 Pack",direct,beeswax bread bag,0.0,17.0,4.9,8
B0GBX8GD6Q,https://www.amazon.com/dp/B0GBX8GD6Q,"2 Pack XL Reusable Beeswax Bread Bags for Sourdough Baking, Organic Waxed Lined, Cotton Bread Bags for Homemade Bread, Food-Storage Bag to Keep Fresh",direct,beeswax bread bag,900.0,281.0,4.4,32
B0GL9LJCL7,https://www.amazon.com/dp/B0GL9LJCL7,"2 Pack Reusable Beeswax Bread Bags for Homemade Sourdough, XL 17'x13' Natural Cotton Beeswax Linen Food Storage Bags, Freezer Safe to Keep Loaves Fresh Longer, Ideal Gift for Bakers",direct,beeswax bread bag,50.0,2.0,4.5,2
B0F3V3S7WG,https://www.amazon.com/dp/B0F3V3S7WG,"2 Pack Beeswax Bread Bags for Sourdough Homemade Bread, XL Cotton Lining Sourdough Reusable Natural Beeswax Bread Storage Bag, Keep Fresh and Upgraded Large Capacity Portable",direct,beeswax bread bag,5000.0,739.0,4.4,100
