source_asin,source,listing_url,product_type,relevance_score,competitor_type,product_form,material,material_evidence,detail_material,detail_evidence,pack_count,closure,style,use_case,feature_tags,asin,parent_asin,title,brand,price,monthly_sales,reviews,rating,seller_address,is_fba,variation_count,bsr_category,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
B0FS1YH17C,seed,https://www.amazon.com/dp/B0FS1YH17C,FOOD STORAGE BAG,100,seed,beeswax bread bag,beeswax,title:beeswax; detail:beeswax,beeswax,title:beeswax; detail:beeswax,2,zipper,farmhouse/natural,sourdough,reusable; organic; keeps fresh; extra large,B0FS1YH17C,B0GT76P4NT,"Premium Beeswax Bread Bags for Sourdough - 2 Packs XL Reusable Organic Beeswax Linen Cotton Sourdough Bag, Homesteading Essentials Sourdough Bags with Zip to Keep Fresh Bread Bags for Homemade Bread",WiNDANCE,27.95,1000.0,159.0,4.5,CN,True,3.0,Reusable Produce Bags / 21579239011 / 9,https://m.media-amazon.com/images/I/61lkCChsuGL._AC_SL1305_.jpg,research/B0FS1YH17C/images/01_B0FS1YH17C.jpg,beeswax bread bag,fabric/waxed-looking,2,zipper,illustrated natural,two pouches; bee/floral graphics
B0FS1YH17C,keyword,https://www.amazon.com/dp/B0F3HKCFZS,FOOD STORAGE CONTAINER,88.9,direct,beeswax bread bag,beeswax,title:beeswax; detail:beeswax,beeswax,title:beeswax; detail:beeswax,2,zipper,farmhouse/natural,sourdough,reusable; organic; keeps fresh; extra large,B0F3HKCFZS,B0FDPWF94K,"Oerdoh Bread Bags for Homemade Bread - 2 Packs XL Reusable Organic Beeswax Linen Cotton Sourdough Bag, Homesteading Essentials Sourdough Bags with Sealing Zip to Keep Fresh",Oerdoh,25.99,1000.0,225.0,4.3,CN,True,1.0,Reusable Produce Bags / 21579239011 / 13,https://m.media-amazon.com/images/I/71jkciwD4JL.jpg,research/B0FS1YH17C/images/02_B0F3HKCFZS.jpg,beeswax bread bag,fabric/waxed-looking,1,zipper,natural/minimal,one pouch plus retail box
B0FS1YH17C,keyword,https://www.amazon.com/dp/B0GRV4C1SL,FOOD STORAGE BAG,86.1,direct,beeswax bread bag,beeswax,title:beeswax; detail:beeswax,beeswax,title:beeswax; detail:beeswax,2,zipper,farmhouse/natural,sourdough,reusable; keeps fresh; extra large,B0GRV4C1SL,B0GRV4C1SL,"Beeswax Bread Bags, XL Reusable Linen Cotton Sourdough Bread Bag with Sealing Zip for Homemade Bread to Keep Fresh, 2 Pack",gulisot,28.96,0.0,17.0,4.9,CN,True,1.0,Reusable Produce Bags / 21579239011 / 123,https://m.media-amazon.com/images/I/71LeLylDcQL._AC_SL1500_.jpg,research/B0FS1YH17C/images/03_B0GRV4C1SL.jpg,beeswax bread bag,fabric/waxed-looking,2,zipper,illustrated bee,two pouches; yellow bee/wheat graphic
B0FS1YH17C,keyword,https://www.amazon.com/dp/B0GBX8GD6Q,FOOD STORAGE BAG,71.7,direct,beeswax bread bag,beeswax,title:beeswax; detail:beeswax; title:waxed,beeswax,title:beeswax; detail:beeswax; title:waxed,2,none stated,unknown,sourdough,reusable; organic; keeps fresh; extra large,B0GBX8GD6Q,B0GWDHNXF9,"2 Pack XL Reusable Beeswax Bread Bags for Sourdough Baking, Organic Waxed Lined, Cotton Bread Bags for Homemade Bread, Food-Storage Bag to Keep Fresh",LDJRCP,20.09,900.0,281.0,4.4,CN,True,6.0,Reusable Produce Bags / 21579239011 / 27,https://m.media-amazon.com/images/I/71z+6qndEJL._AC_SL1500_.jpg,research/B0FS1YH17C/images/04_B0GBX8GD6Q.jpg,beeswax bread bag,fabric/waxed-looking,2,zipper/roll top,illustrated bread,two upright pouches with bread graphics
B0FS1YH17C,keyword,https://www.amazon.com/dp/B0GL9LJCL7,FOOD STORAGE BAG,70.0,direct,beeswax bread bag,beeswax,title:beeswax; detail:beeswax,beeswax,title:beeswax; detail:beeswax,2,none stated,farmhouse/natural,sourdough,reusable; keeps fresh; freezer; extra large,B0GL9LJCL7,B0GL9LJCL7,"2 Pack Reusable Beeswax Bread Bags for Homemade Sourdough, XL 17'x13' Natural Cotton Beeswax Linen Food Storage Bags, Freezer Safe to Keep Loaves Fresh Longer, Ideal Gift for Bakers",AUXFM,29.99,50.0,2.0,4.5,CN,True,0.0,Reusable Produce Bags / 21579239011 / 418,https://m.media-amazon.com/images/I/81-mi-ESSbL._AC_SL1500_.jpg,research/B0FS1YH17C/images/05_B0GL9LJCL7.jpg,beeswax bread bag,fabric/waxed-looking,2,zipper/clip,floral/patterned,two floral bags
B0FS1YH17C,keyword,https://www.amazon.com/dp/B0F3V3S7WG,FOOD STORAGE BAG,67.0,direct,beeswax bread bag,beeswax,title:beeswax; detail:beeswax,beeswax,title:beeswax; detail:beeswax,2,none stated,farmhouse/natural,sourdough,reusable; keeps fresh; extra large,B0F3V3S7WG,B0FH96SC1Z,"2 Pack Beeswax Bread Bags for Sourdough Homemade Bread, XL Cotton Lining Sourdough Reusable Natural Beeswax Bread Storage Bag, Keep Fresh and Upgraded Large Capacity Portable",Jasiboona,15.89,5000.0,739.0,4.4,CN,True,2.0,Reusable Produce Bags / 21579239011 / 3,https://m.media-amazon.com/images/I/81znlApS4tL.jpg,research/B0FS1YH17C/images/06_B0F3V3S7WG.jpg,beeswax bread bag,fabric/waxed-looking,1 visible,zipper,orange illustrated,one bag plus packaging box
B0FS1YH17C,keyword,https://www.amazon.com/dp/B0FB84KH2X,FOOD STORAGE BAG,66.7,direct,beeswax bread bag,beeswax,title:beeswax; detail:beeswax; title:waxed,beeswax,title:beeswax; detail:beeswax; title:waxed,2,none stated,farmhouse/natural,sourdough,reusable; keeps fresh,B0FB84KH2X,B0FB3VYJV3,"2 PACK Beeswax Sourdough Bread Bags for Homemade Bread, Reusable Cotton Beeswax Bread Bag Portable Waxed Storage All Natural Bees Wax Linen Bag Keep Fresh,13‘‘×17‘‘, 02",PICcircuit,19.99,1000.0,81.0,4.7,CN,True,3.0,Reusable Produce Bags / 21579239011 / 7,https://m.media-amazon.com/images/I/81CEqh5NNQL.jpg,research/B0FS1YH17C/images/07_B0FB84KH2X.jpg,beeswax bread bag,fabric/waxed-looking,1 visible,rod/drawstring,patterned,single patterned hanging bag visible
B0FS1YH17C,keyword,https://www.amazon.com/dp/B0FS6W6SMD,FOOD STORAGE BAG,65.3,direct,beeswax bread bag,beeswax,title:beeswax; detail:beeswax,beeswax,title:beeswax; detail:beeswax,2,none stated,farmhouse/natural,sourdough,reusable; keeps fresh; extra large,B0FS6W6SMD,B0FS6W6SMD,"Beeswax Bread Bags for Homemade Sourdough, 2 Pack Reusable Natural Cotton Large Bees Wax Bag Food Storage Bags to Keep Fresh",Ronxzas,29.88,500.0,45.0,4.9,CN,True,1.0,Reusable Produce Bags / 21579239011 / 39,https://m.media-amazon.com/images/I/81urE1Ly1UL._AC_SL1500_.jpg,research/B0FS1YH17C/images/08_B0FS6W6SMD.jpg,beeswax bread bag,fabric/waxed-looking,2,drawstring/zipper,bee/honeycomb,two bags with bee and honeycomb motif
B0FS1YH17C,keyword,https://www.amazon.com/dp/B0FMFPS8QF,FOOD STORAGE BAG,64.1,direct,beeswax bread bag,beeswax,title:beeswax; detail:beeswax; detail:waxed,beeswax,title:beeswax; detail:beeswax; detail:waxed,2,zipper,unknown,sourdough,reusable; keeps fresh; extra large; eco,B0FMFPS8QF,B0FMFPS8QF,"Reusable Beeswax Bread Bags for Homemade Bread,Sourdough Bread Bag with Zipper,Eco-Friendly Cotton Large Food Storage Bags to Keep Fresh,Bakery Essentials(2 Pack)",Vrykiin,19.99,100.0,18.0,4.8,CN,True,1.0,Reusable Produce Bags / 21579239011 / 194,https://m.media-amazon.com/images/I/81j4aMseyqL._AC_SL1500_.jpg,research/B0FS1YH17C/images/09_B0FMFPS8QF.jpg,beeswax bread bag,fabric/waxed-looking,2,zipper/clip,botanical pattern,pine/leaf pattern bags
B0FS1YH17C,keyword,https://www.amazon.com/dp/B0FHH693Z4,FOOD STORAGE BAG,64.0,direct,beeswax bread bag,beeswax,title:beeswax; detail:beeswax,beeswax,title:beeswax; detail:beeswax,2,zipper,unknown,sourdough,keeps fresh; freezer; extra large,B0FHH693Z4,B0GLNLBLPP,"2 Pack Beeswax Bread Bags with Zipper, XL(13x17in) Sourdough Bread Storage for Homemade, Freezer Storage Bag to Keep Fresh, Cotton Beeswax Container, Baguette Bag with Liner Kitchen Baking (Off-White)",honiitaa,29.99,1000.0,203.0,4.5,CN,True,3.0,Food Storage / 9768326011 / 539,https://m.media-amazon.com/images/I/71HlDpQUT+L._AC_SL1500_.jpg,research/B0FS1YH17C/images/10_B0FHH693Z4.jpg,beeswax bread bag,fabric/waxed-looking,2,zipper/clip,natural line art,two bags with bread line art
