image_index,asin,listing_url,title,product_form,material,pack_count,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
1,B0FS1YH17C,https://www.amazon.com/dp/B0FS1YH17C,"Premium Beeswax Bread Bags for Sourdough - 2 Packs XL Reusable Organic Beeswax Linen Cotton Sourdough Bag, Homesteading Essentials Sourdough Bags with Zip to Keep Fresh Bread Bags for Homemade Bread",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/61lkCChsuGL._AC_SL1305_.jpg,research/B0FS1YH17C/images/01_B0FS1YH17C.jpg,beeswax bread bag,fabric/waxed-looking,2,zipper,illustrated natural,two pouches; bee/floral graphics
2,B0F3HKCFZS,https://www.amazon.com/dp/B0F3HKCFZS,"Oerdoh Bread Bags for Homemade Bread - 2 Packs XL Reusable Organic Beeswax Linen Cotton Sourdough Bag, Homesteading Essentials Sourdough Bags with Sealing Zip to Keep Fresh",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/71jkciwD4JL.jpg,research/B0FS1YH17C/images/02_B0F3HKCFZS.jpg,beeswax bread bag,fabric/waxed-looking,1,zipper,natural/minimal,one pouch plus retail box
3,B0GRV4C1SL,https://www.amazon.com/dp/B0GRV4C1SL,"Beeswax Bread Bags, XL Reusable Linen Cotton Sourdough Bread Bag with Sealing Zip for Homemade Bread to Keep Fresh, 2 Pack",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/71LeLylDcQL._AC_SL1500_.jpg,research/B0FS1YH17C/images/03_B0GRV4C1SL.jpg,beeswax bread bag,fabric/waxed-looking,2,zipper,illustrated bee,two pouches; yellow bee/wheat graphic
4,B0GBX8GD6Q,https://www.amazon.com/dp/B0GBX8GD6Q,"2 Pack XL Reusable Beeswax Bread Bags for Sourdough Baking, Organic Waxed Lined, Cotton Bread Bags for Homemade Bread, Food-Storage Bag to Keep Fresh",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/71z+6qndEJL._AC_SL1500_.jpg,research/B0FS1YH17C/images/04_B0GBX8GD6Q.jpg,beeswax bread bag,fabric/waxed-looking,2,zipper/roll top,illustrated bread,two upright pouches with bread graphics
5,B0GL9LJCL7,https://www.amazon.com/dp/B0GL9LJCL7,"2 Pack Reusable Beeswax Bread Bags for Homemade Sourdough, XL 17'x13' Natural Cotton Beeswax Linen Food Storage Bags, Freezer Safe to Keep Loaves Fresh Longer, Ideal Gift for Bakers",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/81-mi-ESSbL._AC_SL1500_.jpg,research/B0FS1YH17C/images/05_B0GL9LJCL7.jpg,beeswax bread bag,fabric/waxed-looking,2,zipper/clip,floral/patterned,two floral bags
6,B0F3V3S7WG,https://www.amazon.com/dp/B0F3V3S7WG,"2 Pack Beeswax Bread Bags for Sourdough Homemade Bread, XL Cotton Lining Sourdough Reusable Natural Beeswax Bread Storage Bag, Keep Fresh and Upgraded Large Capacity Portable",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/81znlApS4tL.jpg,research/B0FS1YH17C/images/06_B0F3V3S7WG.jpg,beeswax bread bag,fabric/waxed-looking,1 visible,zipper,orange illustrated,one bag plus packaging box
7,B0FB84KH2X,https://www.amazon.com/dp/B0FB84KH2X,"2 PACK Beeswax Sourdough Bread Bags for Homemade Bread, Reusable Cotton Beeswax Bread Bag Portable Waxed Storage All Natural Bees Wax Linen Bag Keep Fresh,13‘‘×17‘‘, 02",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/81CEqh5NNQL.jpg,research/B0FS1YH17C/images/07_B0FB84KH2X.jpg,beeswax bread bag,fabric/waxed-looking,1 visible,rod/drawstring,patterned,single patterned hanging bag visible
8,B0FS6W6SMD,https://www.amazon.com/dp/B0FS6W6SMD,"Beeswax Bread Bags for Homemade Sourdough, 2 Pack Reusable Natural Cotton Large Bees Wax Bag Food Storage Bags to Keep Fresh",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/81urE1Ly1UL._AC_SL1500_.jpg,research/B0FS1YH17C/images/08_B0FS6W6SMD.jpg,beeswax bread bag,fabric/waxed-looking,2,drawstring/zipper,bee/honeycomb,two bags with bee and honeycomb motif
9,B0FMFPS8QF,https://www.amazon.com/dp/B0FMFPS8QF,"Reusable Beeswax Bread Bags for Homemade Bread,Sourdough Bread Bag with Zipper,Eco-Friendly Cotton Large Food Storage Bags to Keep Fresh,Bakery Essentials(2 Pack)",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/81j4aMseyqL._AC_SL1500_.jpg,research/B0FS1YH17C/images/09_B0FMFPS8QF.jpg,beeswax bread bag,fabric/waxed-looking,2,zipper/clip,botanical pattern,pine/leaf pattern bags
10,B0FHH693Z4,https://www.amazon.com/dp/B0FHH693Z4,"2 Pack Beeswax Bread Bags with Zipper, XL(13x17in) Sourdough Bread Storage for Homemade, Freezer Storage Bag to Keep Fresh, Cotton Beeswax Container, Baguette Bag with Liner Kitchen Baking (Off-White)",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/71HlDpQUT+L._AC_SL1500_.jpg,research/B0FS1YH17C/images/10_B0FHH693Z4.jpg,beeswax bread bag,fabric/waxed-looking,2,zipper/clip,natural line art,two bags with bread line art
