image_index,asin,listing_url,title,product_form,material,pack_count,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
1,B0FS1YH17C,https://www.amazon.com/dp/B0FS1YH17C,"Premium Beeswax Bread Bags for Sourdough - 2 Packs XL Reusable Organic Beeswax Linen Cotton Sourdough Bag, Homesteading Essentials Sourdough Bags with Zip to Keep Fresh Bread Bags for Homemade Bread",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/61lkCChsuGL.jpg,research/B0FS1YH17C/images/01_B0FS1YH17C.jpg,beeswax bread bag,fabric/waxed-looking,2,zipper,illustrated natural,two pouches; bee/floral graphics
2,B0F3HKCFZS,https://www.amazon.com/dp/B0F3HKCFZS,"Bread Bags for Homemade Bread - 2 Packs XL Reusable Organic Beeswax Linen Cotton Sourdough Bag, Homesteading Essentials Sourdough Bags with Sealing Zip to Keep Fresh",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/71jkciwD4JL.jpg,research/B0FS1YH17C/images/02_B0F3HKCFZS.jpg,beeswax bread bag,fabric/waxed-looking,1,zipper,natural/minimal,one pouch plus retail box
3,B0FHWFDZ39,https://www.amazon.com/dp/B0FHWFDZ39,"Beeswax Sourdough Bread Bags for Homemade Bread, 2 Packs XL Reusable Organic Beeswax Linen Cotton Sourdough Bag, Keep Loaves Fresh Longer, Homesteading Essentials",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/71REXA1mA1L.jpg,research/B0FS1YH17C/images/03_B0FHWFDZ39.jpg,,,,,,
4,B0FB84KH2X,https://www.amazon.com/dp/B0FB84KH2X,"2 PACK Beeswax Sourdough Bread Bags for Homemade Bread, Reusable Cotton Beeswax Bread Bag Portable Waxed Storage All Natural Bees Wax Linen Bag Keep Fresh,13’’×17’’, 02",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/81CEqh5NNQL.jpg,research/B0FS1YH17C/images/04_B0FB84KH2X.jpg,beeswax bread bag,fabric/waxed-looking,1 visible,rod/drawstring,patterned,single patterned hanging bag visible
5,B0FHH693Z4,https://www.amazon.com/dp/B0FHH693Z4,"2 Pack Beeswax Bread Bags with Zipper, XL(13x17in) Sourdough Bread Storage for Homemade, Freezer Storage Bag to Keep Fresh, Cotton Beeswax Container, Baguette Bag with Liner Kitchen Baking (Off-White)",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/71HlDpQUT+L.jpg,research/B0FS1YH17C/images/05_B0FHH693Z4.jpg,beeswax bread bag,fabric/waxed-looking,2,zipper/clip,natural line art,two bags with bread line art
6,B0F3V3S7WG,https://www.amazon.com/dp/B0F3V3S7WG,"2 Pack Beeswax Bread Bags for Sourdough Homemade Bread, XL Cotton Lining Sourdough Reusable Natural Beeswax Bread Storage Bag, Keep Fresh and Upgraded Large Capacity Portable-17 x 12.6 Inches",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/81nNh3ulIvL._AC_SL1500_.jpg,research/B0FS1YH17C/images/06_B0F3V3S7WG.jpg,beeswax bread bag,fabric/waxed-looking,1 visible,zipper,orange illustrated,one bag plus packaging box
7,B0DF4XW71Q,https://www.amazon.com/dp/B0DF4XW71Q,"2 Pack Beeswax Bread Bags for Homemade, Reusable Bread Bag for Sourdough, XL-Reusable Waxed Linen Food Storage Bag to Keep Sourdough Fresh, Freezer-Safe, Eco-Friendly (Orange&Grey)",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/71R9vJhw3VL.jpg,research/B0FS1YH17C/images/07_B0DF4XW71Q.jpg,beeswax bread bag,fabric/waxed-looking,2,zipper/clip,solid color printed,gray and orange pair
8,B0GBX8GD6Q,https://www.amazon.com/dp/B0GBX8GD6Q,"2 Pack Beeswax Bread Bags for Sourdough Homemade Bread, XL Reusable Bread Storage Bag, Organic Waxed Line and Linen Fabric Bread Bag for Home Bakers, Picnics Work or Gift-Giving",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/71z+6qndEJL.jpg,research/B0FS1YH17C/images/08_B0GBX8GD6Q.jpg,beeswax bread bag,fabric/waxed-looking,2,zipper/roll top,illustrated bread,two upright pouches with bread graphics
9,B0GXFSW65C,https://www.amazon.com/dp/B0GXFSW65C,"Bread Bag, Beeswax Infused Cotton Bread Bag for Homemade Sourdough, Organic Beeswax Linen, Large Capacity, Keep Fresh, Environmentally Friendly and Reusable, L-Shaped Zipper (2pcs)",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/51nW+X1rXkL._AC_SL1500_.jpg,research/B0FS1YH17C/images/09_B0GXFSW65C.jpg,,,,,,
10,B0GJ31CVMH,https://www.amazon.com/dp/B0GJ31CVMH,"jomddems 2 Pack beeswax bread bag,sourdough bread bags for homemade bread,reusable Extra Large Organic Cotton Bread Storage Bag Keeps Fresh Longer (Bread print color)",beeswax bread bag,beeswax,2,https://m.media-amazon.com/images/I/81X-xQn7udL._AC_SL1500_.jpg,research/B0FS1YH17C/images/10_B0GJ31CVMH.jpg,,,,,,
