keyword,search_volume,rank,show_share,clicks_90d,top3_asins,image_asin_count
magnetic pen holder,92711,0,0,0,,0
tools,214327,0,0,0,,0
tool,85605,0,0,0,,0
magnetic tool holder,40563,0,0,0,,0
tools on sale and clearance,93898,0,0,0,,0
magnetic tool mat,30329,0,0,0,,0
tool cube,31028,0,0,0,,0
magnetic socket organizer,37509,0,0,0,,0
magnetic mat,17834,0,0,0,,0
magnetic tray,32707,0,0,0,,0
tools for mechanics,31108,0,0,0,,0
magnetic parts tray,18737,0,0,0,,0
picky pad,79721,0,0,0,,0
screw organizer,34824,0,0,0,,0
magnetic pickup tool,24847,0,0,0,,0
magnetic pen,20277,0,0,0,,0
magnetic screw holder,20755,0,0,0,,0
small parts organizer,35250,0,0,0,,0
tool grid,14365,0,0,0,,0
magnetic,29867,0,0,0,,0
