source_asin,source,listing_url,product_type,relevance_score,competitor_type,product_form,material,material_evidence,detail_material,detail_evidence,pack_count,closure,style,use_case,feature_tags,asin,parent_asin,title,brand,price,monthly_sales,reviews,rating,seller_address,is_fba,variation_count,listing_date,bsr_category,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
B0FXG8J58Q,seed,https://www.amazon.com/dp/B0FXG8J58Q,HOME ORGANIZERS AND STORAGE,100,seed,flexible magnetic tool mat set,PVC leather + embedded magnets,product title/description,PVC leather + embedded magnets,Sorftime MCP product detail,3,none,workshop utility,mechanic parts/tool retention,strong magnet; flexible; surface protection,B0FXG8J58Q,B0FXG9WKVM,TOOLEAGUE 3Pcs Magnetic Tool Mat with 25Lb Telescoping Magnetic Pickup Pen,TOOLEAGUE,46.99,981,153,4.6,TOOLEAGUE,True,2,2025-12-17,Tool Holsters (Rank: 4),https://m.media-amazon.com/images/I/81Pmff+ruQL.jpg,https://m.media-amazon.com/images/I/81Pmff+ruQL.jpg,flexible magnetic tool mat set,PVC leather + embedded magnets,3,none,workshop utility,0.0; 1628g
B0FXG8J58Q,same-form search,https://www.amazon.com/dp/B0CN1PC564,,88,direct,flexible magnetic tool mat set,PVC leather + embedded magnets,product title/description,PVC leather + embedded magnets,title,1,none,workshop utility,mechanic parts/tool retention,strong magnet; flexible; surface protection,B0CN1PC564,B0CN1WSP5Z,Magnetic Tool Mat Set Flexible Heavy Duty Non Slip Magnet Pad Auto Repair | Holds metallic parts & fasteners secure on curved surfaces. Anti-scratch rubberized backing protects mechanics work space.,Railer,23.99,357,164,4.6,US,True,0,2023-11-18,Tool Trays / 15709201 / 71 / 20260902,"https://images-na.ssl-images-amazon.com/images/I/616HxHtN0HL._AC_UL600_SR600,400_.jpg","https://images-na.ssl-images-amazon.com/images/I/616HxHtN0HL._AC_UL600_SR600,400_.jpg",flexible magnetic tool mat set,PVC leather + embedded magnets,1,none,workshop utility,0.0; 91g
B0FXG8J58Q,same-form search,https://www.amazon.com/dp/B0H87DHF7J,,88,direct,flexible magnetic tool mat set,PVC leather + embedded magnets,product title/description,PVC leather + embedded magnets,title,1,none,workshop utility,mechanic parts/tool retention,strong magnet; flexible; surface protection,B0H87DHF7J,B0H87DHF7J,"Foldable Magnetic Tool Mat, Non-Slip Flexible Magnetic Pad with PVC | Scratchproof & Waterproof Surface, Holds Up To 44 Lbs Tools & Metal Parts, 11.02’’X9.25’’ For Garage, Workshop & Auto Repair",UpTool,18.99,221,24,4.6,HK,True,0,2026-07-12,Tool Holders / 401549011 / 26 / 20260831,"https://images-na.ssl-images-amazon.com/images/I/71dh5wx+bzL._AC_UL300_SR300,200_.jpg","https://images-na.ssl-images-amazon.com/images/I/71dh5wx+bzL._AC_UL300_SR300,200_.jpg",flexible magnetic tool mat set,PVC leather + embedded magnets,1,none,workshop utility,0.0; 739g
B0FXG8J58Q,same-form search,https://www.amazon.com/dp/B0GY9FP2H8,,88,direct,flexible magnetic tool mat set,PVC leather + embedded magnets,product title/description,PVC leather + embedded magnets,title,1,none,workshop utility,mechanic parts/tool retention,strong magnet; flexible; surface protection,B0GY9FP2H8,B0H3ZYHLZF,"Magnetic Tool Mat, 40 LBS Flexible Magnetic Mat, Magnetic Tool Holder",Reihazon,18.89,203,21,4.8,CN,True,0,2026-05-05,Tool Trays / 15709201 / 25 / 20260901,https://m.media-amazon.com/images/I/41kR2BTFoIL.jpg,https://m.media-amazon.com/images/I/41kR2BTFoIL.jpg,flexible magnetic tool mat set,PVC leather + embedded magnets,1,none,workshop utility,0.0; 1061g
B0FXG8J58Q,same-form search,https://www.amazon.com/dp/B0GX5HLSF1,,88,direct,flexible magnetic tool mat set,PVC leather + embedded magnets,product title/description,PVC leather + embedded magnets,title,4,none,workshop utility,mechanic parts/tool retention,strong magnet; flexible; surface protection,B0GX5HLSF1,B0H748G9P4,"Magnetic Tool Mat Set,40LB Flexible Magnetic Mat, 4 Size Magnetic Tool Pads",Tzuoen,29.99,192,44,4.5,CN,True,0,2026-05-20,Tool Holders / 401549011 / 36 / 20260901,https://m.media-amazon.com/images/I/71Ii1eP56cL.jpg,https://m.media-amazon.com/images/I/71Ii1eP56cL.jpg,flexible magnetic tool mat set,PVC leather + embedded magnets,4,none,workshop utility,0.0; 1488g
B0FXG8J58Q,same-form search,https://www.amazon.com/dp/B0GQZLVQ2D,,88,direct,flexible magnetic tool mat set,PVC leather + embedded magnets,product title/description,PVC leather + embedded magnets,title,1,none,workshop utility,mechanic parts/tool retention,strong magnet; flexible; surface protection,B0GQZLVQ2D,B0GQZVVC9J,"Magnetic Tool Mat&Holder,40 LBS Heavy Duty Magnetic Parts Holder with PVC Protection Layer,Flexible Magnetic Pads,Non-Slip Tool Organizer for Garage, Workshop & Auto Repair,12.6' x 9.76'",pvqKing,19.99,186,19,4.9,CN,True,0,2026-04-22,Tool Trays / 15709201 / 57 / 20260902,https://m.media-amazon.com/images/I/51SQRe6zRML.jpg,https://m.media-amazon.com/images/I/51SQRe6zRML.jpg,flexible magnetic tool mat set,PVC leather + embedded magnets,1,none,workshop utility,0.0; 1021g
B0FXG8J58Q,same-form search,https://www.amazon.com/dp/B0FZBKYDX9,,88,direct,flexible magnetic tool mat set,PVC leather + embedded magnets,product title/description,PVC leather + embedded magnets,title,2,none,workshop utility,mechanic parts/tool retention,strong magnet; flexible; surface protection,B0FZBKYDX9,B0H6RPHDJS,"GRENPRO Magnetic Tool Mat, 2-Pack, Telescoping Pickup Tool, Parts Organizer",GRENPRO,22.99,159,86,4.7,CN,True,0,2026-01-08,Garage & Shop Floor & Parking Mats / 15707811 / 77 / 20260901,https://m.media-amazon.com/images/I/71QJ8abgMRL.jpg,https://m.media-amazon.com/images/I/71QJ8abgMRL.jpg,flexible magnetic tool mat set,PVC leather + embedded magnets,2,none,workshop utility,0.0; 1184g
B0FXG8J58Q,same-form search,https://www.amazon.com/dp/B0FX3TBKLG,,88,direct,flexible magnetic tool mat set,PVC leather + embedded magnets,product title/description,PVC leather + embedded magnets,title,1,none,workshop utility,mechanic parts/tool retention,strong magnet; flexible; surface protection,B0FX3TBKLG,B0H2J1WB6Y,"Magnetic Tool Mat, 40 lbs Magnetic Tool Holder",deepredcoast,25.99,151,59,5.0,CN,True,0,2025-12-17,Tool Trays / 15709201 / 89 / 20260902,https://m.media-amazon.com/images/I/41ELTjdB5vL.jpg,https://m.media-amazon.com/images/I/41ELTjdB5vL.jpg,flexible magnetic tool mat set,PVC leather + embedded magnets,1,none,workshop utility,0.0; 1048g
B0FXG8J58Q,same-form search,https://www.amazon.com/dp/B0GHC496ZY,,88,direct,flexible magnetic tool mat set,PVC leather + embedded magnets,product title/description,PVC leather + embedded magnets,title,4,none,workshop utility,mechanic parts/tool retention,strong magnet; flexible; surface protection,B0GHC496ZY,B0GHC496ZY,"C&T Magnetic Tool Mat Set, 4 Sizes Magnetic Mats, 25LB Magnetic Pickup Tool",C&T,28.79,146,27,4.5,CN,True,0,2026-03-24,Tool Trays / 15709201 / 40 / 20260902,https://m.media-amazon.com/images/I/51RO9xlG8QL.jpg,https://m.media-amazon.com/images/I/51RO9xlG8QL.jpg,flexible magnetic tool mat set,PVC leather + embedded magnets,4,none,workshop utility,0.0; 1792g
B0FXG8J58Q,same-form search,https://www.amazon.com/dp/B0GV53CLK9,,88,direct,flexible magnetic tool mat set,PVC leather + embedded magnets,product title/description,PVC leather + embedded magnets,title,3,none,workshop utility,mechanic parts/tool retention,strong magnet; flexible; surface protection,B0GV53CLK9,B0H291D8YL,"Vnkesno 3 Pcs Flexible Magnetic Tool Mat, 40LB Strong Magnetic Mat for Tool",vnkesno,33.99,145,68,4.6,CN,True,0,2026-05-02,Tool Trays / 15709201 / 77 / 20260901,https://m.media-amazon.com/images/I/81V8qfCS6vL.jpg,https://m.media-amazon.com/images/I/81V8qfCS6vL.jpg,flexible magnetic tool mat set,PVC leather + embedded magnets,3,none,workshop utility,0.0; 1429g
