image_index,asin,listing_url,title,product_form,material,pack_count,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
,B0FXG8J58Q,https://www.amazon.com/dp/B0FXG8J58Q,TOOLEAGUE 3Pcs Magnetic Tool Mat with 25Lb Telescoping Magnetic Pickup Pen,flexible magnetic tool mat set,PVC leather + embedded magnets,3,https://m.media-amazon.com/images/I/81Pmff+ruQL.jpg,https://m.media-amazon.com/images/I/81Pmff+ruQL.jpg,flexible magnetic tool mat set,PVC leather + embedded magnets,3,none,workshop utility,0.0; 1628g
,B0CN1PC564,https://www.amazon.com/dp/B0CN1PC564,Magnetic Tool Mat Set Flexible Heavy Duty Non Slip Magnet Pad Auto Repair | Holds metallic parts & fasteners secure on curved surfaces. Anti-scratch rubberized backing protects mechanics work space.,flexible magnetic tool mat set,PVC leather + embedded magnets,1,"https://images-na.ssl-images-amazon.com/images/I/616HxHtN0HL._AC_UL600_SR600,400_.jpg","https://images-na.ssl-images-amazon.com/images/I/616HxHtN0HL._AC_UL600_SR600,400_.jpg",flexible magnetic tool mat set,PVC leather + embedded magnets,1,none,workshop utility,0.0; 91g
,B0H87DHF7J,https://www.amazon.com/dp/B0H87DHF7J,"Foldable Magnetic Tool Mat, Non-Slip Flexible Magnetic Pad with PVC | Scratchproof & Waterproof Surface, Holds Up To 44 Lbs Tools & Metal Parts, 11.02’’X9.25’’ For Garage, Workshop & Auto Repair",flexible magnetic tool mat set,PVC leather + embedded magnets,1,"https://images-na.ssl-images-amazon.com/images/I/71dh5wx+bzL._AC_UL300_SR300,200_.jpg","https://images-na.ssl-images-amazon.com/images/I/71dh5wx+bzL._AC_UL300_SR300,200_.jpg",flexible magnetic tool mat set,PVC leather + embedded magnets,1,none,workshop utility,0.0; 739g
,B0GY9FP2H8,https://www.amazon.com/dp/B0GY9FP2H8,"Magnetic Tool Mat, 40 LBS Flexible Magnetic Mat, Magnetic Tool Holder",flexible magnetic tool mat set,PVC leather + embedded magnets,1,https://m.media-amazon.com/images/I/41kR2BTFoIL.jpg,https://m.media-amazon.com/images/I/41kR2BTFoIL.jpg,flexible magnetic tool mat set,PVC leather + embedded magnets,1,none,workshop utility,0.0; 1061g
,B0GX5HLSF1,https://www.amazon.com/dp/B0GX5HLSF1,"Magnetic Tool Mat Set,40LB Flexible Magnetic Mat, 4 Size Magnetic Tool Pads",flexible magnetic tool mat set,PVC leather + embedded magnets,4,https://m.media-amazon.com/images/I/71Ii1eP56cL.jpg,https://m.media-amazon.com/images/I/71Ii1eP56cL.jpg,flexible magnetic tool mat set,PVC leather + embedded magnets,4,none,workshop utility,0.0; 1488g
,B0GQZLVQ2D,https://www.amazon.com/dp/B0GQZLVQ2D,"Magnetic Tool Mat&Holder,40 LBS Heavy Duty Magnetic Parts Holder with PVC Protection Layer,Flexible Magnetic Pads,Non-Slip Tool Organizer for Garage, Workshop & Auto Repair,12.6' x 9.76'",flexible magnetic tool mat set,PVC leather + embedded magnets,1,https://m.media-amazon.com/images/I/51SQRe6zRML.jpg,https://m.media-amazon.com/images/I/51SQRe6zRML.jpg,flexible magnetic tool mat set,PVC leather + embedded magnets,1,none,workshop utility,0.0; 1021g
,B0FZBKYDX9,https://www.amazon.com/dp/B0FZBKYDX9,"GRENPRO Magnetic Tool Mat, 2-Pack, Telescoping Pickup Tool, Parts Organizer",flexible magnetic tool mat set,PVC leather + embedded magnets,2,https://m.media-amazon.com/images/I/71QJ8abgMRL.jpg,https://m.media-amazon.com/images/I/71QJ8abgMRL.jpg,flexible magnetic tool mat set,PVC leather + embedded magnets,2,none,workshop utility,0.0; 1184g
,B0FX3TBKLG,https://www.amazon.com/dp/B0FX3TBKLG,"Magnetic Tool Mat, 40 lbs Magnetic Tool Holder",flexible magnetic tool mat set,PVC leather + embedded magnets,1,https://m.media-amazon.com/images/I/41ELTjdB5vL.jpg,https://m.media-amazon.com/images/I/41ELTjdB5vL.jpg,flexible magnetic tool mat set,PVC leather + embedded magnets,1,none,workshop utility,0.0; 1048g
,B0GHC496ZY,https://www.amazon.com/dp/B0GHC496ZY,"C&T Magnetic Tool Mat Set, 4 Sizes Magnetic Mats, 25LB Magnetic Pickup Tool",flexible magnetic tool mat set,PVC leather + embedded magnets,4,https://m.media-amazon.com/images/I/51RO9xlG8QL.jpg,https://m.media-amazon.com/images/I/51RO9xlG8QL.jpg,flexible magnetic tool mat set,PVC leather + embedded magnets,4,none,workshop utility,0.0; 1792g
,B0GV53CLK9,https://www.amazon.com/dp/B0GV53CLK9,"Vnkesno 3 Pcs Flexible Magnetic Tool Mat, 40LB Strong Magnetic Mat for Tool",flexible magnetic tool mat set,PVC leather + embedded magnets,3,https://m.media-amazon.com/images/I/81V8qfCS6vL.jpg,https://m.media-amazon.com/images/I/81V8qfCS6vL.jpg,flexible magnetic tool mat set,PVC leather + embedded magnets,3,none,workshop utility,0.0; 1429g
