keyword,search_volume,rank,show_share,clicks_90d,top3_asins,image_asin_count
swiffer duster refills,429314,1,"Ad,Organic",,"Page 1, Pos 9/50",1.09
swiffer duster,262788,2,"Ad,Organic",,"Page 1, Pos 31/48",1.82
swiffer,552884,3,"Ad,Organic",,"Page 3, Pos 39/48",1.06
duster,280332,4,"Ad,Organic",,"Page 3, Pos 28/48",1.67
duster refills,99857,5,"Ad,Organic",,"Page 1, Pos 11/50",2.04
swiffer dusters,77384,6,"Ad,Organic",,"Page 1, Pos 16/50",1.73
swee,95423,7,Ad,,,0.57
swiffer duster kit,80693,8,"Ad,Organic",,"Page 2, Pos 44/48",2.61
swiffer refills,54645,9,Organic,,"Page 2, Pos 44/48",1.52
swiffer duster refill,26835,10,"Ad,Organic",,"Page 1, Pos 17/48",2.42
dusters,45339,11,"Ad,Organic",,"Page 1, Pos 38/48",1.67
swiffer dusters refills,24081,12,"Ad,Organic",,"Page 1, Pos 15/48",1.80
plumeros para limpieza de polvo,26102,13,Organic,,"Page 1, Pos 29/48",0.62
swiffer heavy duty duster refills,34572,14,"Ad,Organic",,"Page 2, Pos 31/48",0.71
swiffer duster refills only,21714,15,"Ad,Organic",,"Page 1, Pos 4/48",1.80
dry swiffer pads refills,25737,16,Ad,,,0.42
swiffer refill,30651,17,"Ad,Organic",,"Page 3, Pos 8/48",1.52
swifter duster,19584,18,"Ad,Organic",,"Page 1, Pos 22/48",1.69
swi,26000,19,Ad,,,0.74
swiffer hair magnet refills,24378,20,Organic,,"Page 2, Pos 35/50",0.71
