image_index,asin,listing_url,title,product_form,material,pack_count,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
1,B076DDVRPG,https://www.amazon.com/dp/B076DDVRPG,"Swiffer Dusters Heavy Duty Multi-Surface Duster Refills for Cleaning, Unscented, 11 Count",brand duster refill,unknown,11,https://m.media-amazon.com/images/I/915XTLclR4L.jpg,/Users/y33/项目/Codex/2026-05-06/amz-listing/research/B0G34LYYWP/images/01_B076DDVRPG.jpg,,,,,,
2,B07DBCDCTX,https://www.amazon.com/dp/B07DBCDCTX,"Swiffer Duster Kit with 3 ft Extendable Handle, Dusters for Cleaning, Set Includes 1 Extension Pole and 12 Heavy Duty Dusting Refills Dust Cleaner, Long Extended Wand for Ceiling Fans and Walls",dust removal tool,unknown,1,,,,,,,,
3,B00IOW7NGK,https://www.amazon.com/dp/B00IOW7NGK,"Swiffer Dusters Starter Kit, Kit Includes 1 Handle and 5 Dusters",dust removal tool,unknown,1,,,,,,,,
4,B001TQ6IHS,https://www.amazon.com/dp/B001TQ6IHS,"Swiffer Duster Kit with 3 ft Extendable Handle | Includes 1 Duster Extendable Handle (3 ft). 3 Heavy Duty Duster Refills. For Ceiling Fans, Vents, and Hard to Reach Places",duster refill kit,unknown,1,https://m.media-amazon.com/images/I/81oU2sYYfmL.jpg,/Users/y33/项目/Codex/2026-05-06/amz-listing/research/B0G34LYYWP/images/04_B001TQ6IHS.jpg,,,,,,
5,B08SW8LFJQ,https://www.amazon.com/dp/B08SW8LFJQ,"Cobweb Duster with ExtensionPole,Dusters for Cleaning with 2 DusterHeads | Washable duster,Cobweb Duster,Corner Brush,Telescoping Pole for Ceiling Fan(Blue)",dust removal tool,unknown,1,,,,,,,,
6,B0C6DQS74L,https://www.amazon.com/dp/B0C6DQS74L,"IVYROLL Cobweb Duster with Extension Pole | Spider Web Brush & Ceiling Cleaning Kit, 100“ Microfiber Feather Duster Cleaner with Washable Head for Fan, Furniture, Home",dust removal tool,microfiber,1,,,,,,,,
7,B0C68WLNKW,https://www.amazon.com/dp/B0C68WLNKW,"Duster Refills for Swiffer Duster, 30 Count with 1 Secure-Grip Handle",duster refill kit,unknown,30,,,,,,,,
8,B0DKGZMQPR,https://www.amazon.com/dp/B0DKGZMQPR,"DRQ Ceiling Fan Cleaner Duster with 13-48 in Extension Pole, Blue | Detachable, Washable Microfiber Brush Head Is Reusable for Ceiling Fan Blades, Walls, Bookshelves, Door Tops and Window Tops",dust removal tool,microfiber,1,,,,,,,,
9,B0FCRFQPT7,https://www.amazon.com/dp/B0FCRFQPT7,Amazon Basics 360° Heavy Duty Duster Kit with Extendable Handle and 6 Microfiber Plumes Refills for Pet Hair,dust removal tool,microfiber,1,,,,,,,,
10,B01HK7N23M,https://www.amazon.com/dp/B01HK7N23M,"Swiffer Dusters Multi-Surface Duster Refills, Lavender Scent, 10 ct",brand duster refill,unknown,10,,,,,,,,
11,B0D2DBWVGJ,https://www.amazon.com/dp/B0D2DBWVGJ,"REKOPI Heavy Duty Duster Refills Compatible with Swiffer Duster, 20 Count",compatible disposable refill,unknown,20,https://m.media-amazon.com/images/I/51vepqwEPZL.jpg,/Users/y33/项目/Codex/2026-05-06/amz-listing/research/B0G34LYYWP/images/11_B0D2DBWVGJ.jpg,,,,,,
12,B0GN3W1RFF,https://www.amazon.com/dp/B0GN3W1RFF,"Swiffer Duster Kit with 6 ft Super Extendable Handle, Heavy Duty Starter Kit with 8 Refills, Lemon Scent",dust removal tool,unknown,1,,,,,,,,
13,B098NRZL3Z,https://www.amazon.com/dp/B098NRZL3Z,"SetSail Extra-Long Dusters with Extension Pole 100-inch for Cleaning, Gray",dust removal tool,unknown,1,,,,,,,,
14,B0B6G147W6,https://www.amazon.com/dp/B0B6G147W6,"Tiumso Microfiber Feather Duster 5-in-1 Kit, Dusters for Cleaning, Duster with Extension Pole 100 Inches, Cobweb Duster, Microfiber Dusters for High Ceilings and Fans, Blinds, Cars and Furniture",dust removal tool,microfiber,1,,,,,,,,
15,B0DKFGYJ2Z,https://www.amazon.com/dp/B0DKFGYJ2Z,"Heavy Duty Duster Refills, Unscented Disposable Dusters Kit for Cleaning Dusting Furniture Blind Ceiling Fan, Multi Surface 360 Feather Duster(25) (Pack of 2)",compatible disposable refill,unknown,1,https://m.media-amazon.com/images/I/71HJLVQz5BL.jpg,/Users/y33/项目/Codex/2026-05-06/amz-listing/research/B0G34LYYWP/images/15_B0DKFGYJ2Z.jpg,,,,,,
16,B01LRMN9ZM,https://www.amazon.com/dp/B01LRMN9ZM,"HARRIS Diatomaceous Earth Powder Duster with 6 Inch Extension Nozzle, for Easier Application of DE in Home & Outdoor Lawn and Garden Use",cleaning agent,unknown,1,,,,,,,,
17,B0CC1GQZ6Y,https://www.amazon.com/dp/B0CC1GQZ6Y,"Duster Refills,Static Dust Removal Compatible with Swiffer for Dusting 18ct",compatible disposable refill,unknown,18,https://m.media-amazon.com/images/I/61DTu3W-zYL.jpg,/Users/y33/项目/Codex/2026-05-06/amz-listing/research/B0G34LYYWP/images/17_B0CC1GQZ6Y.jpg,,,,,,
18,B0GY1PXQKP,https://www.amazon.com/dp/B0GY1PXQKP,"Dusters Refill for Cleaning, Feather & Microfiber Duster Disposable Alternative, for Dusting Furniture, Blinds, Ceiling Fans, Walls, Helps Remove Allergens, New Lemon Scent, 18ct",dust removal tool,microfiber,18,,,,,,,,
19,B0DFGRZC2V,https://www.amazon.com/dp/B0DFGRZC2V,AIR U+ 6ft Extendable Duster with 20 Refills for Swiffer Dusters,dust removal tool,unknown,1,,,,,,,,
20,B0BGL8QGQ4,https://www.amazon.com/dp/B0BGL8QGQ4,Retractable Gap Dust Cleaner Cleaning Tools with 2 Microfiber Dusting Cloths Long Handle 60inches Washable and Retractable Duster Brush for Cleaning Under Appliances Furniture Couch Fridge,dust removal tool,microfiber,1,,,,,,,,
21,B07XGJQPLJ,https://www.amazon.com/dp/B07XGJQPLJ,"DELUX Microfiber Feather Duster Extendable Duster with 100 inches Extra Long Pole, Bendable Head & Long Handle Dusters for Cleaning Ceiling Fan, High Ceiling, Blinds, Furniture & Cars Gray",dust removal tool,microfiber,1,,,,,,,,
22,B0DKFDHHGD,https://www.amazon.com/dp/B0DKFDHHGD,"Heavy Duty Duster Refills, Disposable Dusters Kit for Cleaning Dusting Furniture Blind Ceiling Fan, Multi Surface 360 Feather Duster(60)+3FT Extended Handle +1 Handle",duster refill kit,unknown,1,,,,,,,,
23,B08R2NR6XB,https://www.amazon.com/dp/B08R2NR6XB,"Duster for Cleaning, 10-29“ Extension Pole, 2 Washable Heads, Yellow | Microfiber Heads, Wet Or Dry, Detachable, Hand Washable, Easy Storage, For Cars, Offices, Windows, Furniture And Ceiling Fans",dust removal tool,microfiber,1,,,,,,,,
24,B0DXDRLQLF,https://www.amazon.com/dp/B0DXDRLQLF,"JOYMOOP Disposable Electrostatic Duster for Cleaning, with 2 Handles & 24 Ct Yellow Heavy Duty Refills for Swiffer Feather Duster, Household Cleaning Tool for Electronics, Dusting Furniture, Blinds",dust removal tool,unknown,24,,,,,,,,
25,B0BP1GM5DH,https://www.amazon.com/dp/B0BP1GM5DH,"VITEVER Twist-On Cobweb Duster Head Brush, Fits Standard 3/4 inch Threaded Poles, Attachment Spider Web Duster Brush for Outdoor & Indoor Cleaning",dust removal tool,unknown,1,,,,,,,,
26,B0D3DN4CKK,https://www.amazon.com/dp/B0D3DN4CKK,"3 Pcs Fan Cleaning Brush Bendable Cobweb Duster - Microfiber Head, Washable - Ideal for Ceiling Fan Blades, Air Vents, Curtains, Cars - Reusable Dust Remover",dust removal tool,microfiber,3,,,,,,,,
27,B0FVLXFM75,https://www.amazon.com/dp/B0FVLXFM75,"SetSail Cobweb Duster with Extension Pole, for Cobweb Cleaning,Blue | Retractable Dusters,90-inch Long Handle,Ceiling Fan Spider Web Brush,for Outdoor Indoor High Ceilings",dust removal tool,unknown,1,,,,,,,,
28,B0F17JYBJ3,https://www.amazon.com/dp/B0F17JYBJ3,"Cobweb Duster with Extension Pole, Washable Cleaning Duster Set with 2 Duster Heads, Corner Brush, 15-110-Inch Telescoping Pole for high Ceiling Fans, Long Duster for high Ceilings，Spider Web Brush",dust removal tool,unknown,1,,,,,,,,
29,B07Z7TXPLQ,https://www.amazon.com/dp/B07Z7TXPLQ,"Cobweb Duster with Extension Pole - 6 FT Lightweight Stainless Steel Extendable Duster Ceiling Fan Duster for High Ceilings, Medium Stiff PET Bristle Spider Web Brush for Indoor/Outdoor Cleaning",dust removal tool,stainless steel,1,,,,,,,,
