source_asin,source,listing_url,product_type,relevance_score,competitor_type,product_form,material,material_evidence,detail_material,detail_evidence,pack_count,closure,style,use_case,feature_tags,asin,parent_asin,title,brand,price,monthly_sales,reviews,rating,seller_address,is_fba,variation_count,listing_date,bsr_category,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
B0G34LYYWP,keyword search,https://www.amazon.com/dp/B0FXG8J58Q,,88,direct,flexible magnetic tool mat set,PVC leather + embedded magnets,product title/description,PVC leather + embedded magnets,title,3,none,workshop utility,mechanic parts/tool retention,strong magnet; flexible; surface protection,B0FXG8J58Q,,TOOLEAGUE 3Pcs Magnetic Tool Mat with 25Lb Telescoping Magnetic Pickup Pen,TOOLEAGUE,46.99,981,153,4.6,TOOLEAGUE,False,0,,,,,flexible magnetic tool mat set,PVC leather + embedded magnets,3,none,workshop utility,
B0G34LYYWP,keyword search,https://www.amazon.com/dp/B07BC6T5XR,,35,keyword,rigid magnetic parts tray,mixed,title,mixed,title,1,none,workshop utility,mechanic parts/tool retention,magnetic organization,B07BC6T5XR,,HORUSDY Magnetic Tray | 3-Piece | Round Magnetic Parts Tray | 3 Inch 4 Inch 6 Inch Magnetic Tray for Mechanic‘s | Stainless Steel,HORUSDY,9.99,3197,2283,4.8,HORUSDY,False,0,,,,,rigid magnetic parts tray,mixed,1,none,workshop utility,
B0G34LYYWP,keyword search,https://www.amazon.com/dp/B01HRCU3SW,,35,keyword,magnetic wristband,mixed,title,mixed,title,1,none,workshop utility,mechanic parts/tool retention,magnetic organization,B01HRCU3SW,,"RAK Magnetic Wristband for Tools - Premium Tool Belt for Holding Screws Nails with Powerful Magnets, Birthday Gifts for Men, Cool Gadgets Stuff Gifts for Dad, Husband, Grandpa, Handyman, Him",RAK,19.99,2163,21565,4.7,RAK Pro Tools,False,0,,,,,magnetic wristband,mixed,1,none,workshop utility,
B0G34LYYWP,keyword search,https://www.amazon.com/dp/B0DHWMD745,,35,keyword,magnetic tool holder/organizer,mixed,title,mixed,title,3,none,workshop utility,mechanic parts/tool retention,magnetic organization,B0DHWMD745,,"WORKPRO Magnetic Screwdriver and Wrench Organizer Set, 36-Slot Tool Holders | 3-Pack Aluminum Rails, Magnetic Force, Flexible High-Tension Tool Clips, For Tool Box Drawer & Wall-Mount Storage",WORKPRO,25.49,1886,831,4.7,GreatStar Tools,False,0,,,,,magnetic tool holder/organizer,mixed,3,none,workshop utility,
B0G34LYYWP,keyword search,https://www.amazon.com/dp/B073RFKHD6,,35,keyword,electronics repair magnetic mat,mixed,title,mixed,title,1,none,workshop utility,mechanic parts/tool retention,magnetic organization,B073RFKHD6,,Kaisi S160 Soldering Mat Insulation Silicone Magnetic Repair Work Mat,Kaisi,12.89,1746,4906,4.8,Kaisi® Tools,False,0,,,,,electronics repair magnetic mat,mixed,1,none,workshop utility,
B0G34LYYWP,keyword search,https://www.amazon.com/dp/B09YV4Z91B,,35,keyword,electronics repair magnetic mat,mixed,title,mixed,title,1,none,workshop utility,mechanic parts/tool retention,magnetic organization,B09YV4Z91B,,"PAFOWO Silicone Soldering Mat for Electronic Repair, 17.7 X 11.8 in",PAFOWO,9.99,1471,1567,4.7,PAFOWO,False,0,,,,,electronics repair magnetic mat,mixed,1,none,workshop utility,
B0G34LYYWP,keyword search,https://www.amazon.com/dp/B0C2C28CVL,,35,keyword,magnetic pickup tool,mixed,title,mixed,title,1,none,workshop utility,mechanic parts/tool retention,magnetic organization,B0C2C28CVL,,"Telescoping Magnetic Pickup Tool Set, Inspection Mirror Telescoping, LED Flashlight, Cool Gadgets for Men, Stocking Stuffers, Gifts for Dad, Husband, Kids, Boyfriend, Magnet Stick(Red)",KOOPOOL,29.99,1443,3846,4.7,KOOPOOL US,False,0,,,,,magnetic pickup tool,mixed,1,none,workshop utility,
B0G34LYYWP,keyword search,https://www.amazon.com/dp/B0FR7PFBK8,,35,keyword,electronics repair magnetic mat,mixed,title,mixed,title,1,none,workshop utility,mechanic parts/tool retention,magnetic organization,B0FR7PFBK8,,"STREBITO Soldering Mat Large, Solder Mat 932°F Heat Resistant 21.7'x15.8’’",STREBITO,22.79,1276,756,4.8,Strebito shop,False,0,,,,,electronics repair magnetic mat,mixed,1,none,workshop utility,
B0G34LYYWP,keyword search,https://www.amazon.com/dp/B0D8T21VSN,,35,keyword,electronics repair magnetic mat,mixed,title,mixed,title,1,none,workshop utility,mechanic parts/tool retention,magnetic organization,B0D8T21VSN,,"Premium Heat Resistant 932°F Magnetic Soldering Mat, 17.3’’ x 11.8’’ Electronics Repair Work Mat for Soldering, Electronics Computer Cellphone Repair, BGA Soldering Gun Iron Workbench Protection",HPFIX,15.99,1175,4615,4.7,U.S CAYEDA DIRECT,False,0,,,,,electronics repair magnetic mat,mixed,1,none,workshop utility,
B0G34LYYWP,keyword search,https://www.amazon.com/dp/B00061SL0Y,,35,keyword,rigid magnetic parts tray,mixed,title,mixed,title,1,none,workshop utility,mechanic parts/tool retention,magnetic organization,B00061SL0Y,,"GRIP 6' Stainless Steel Magnetic Parts Tray - Secure Nuts, Bolts, Screws, Sockets, Fasteners, Tools - Solid Steel - Garage, Workshop, Office, Tool Shed",Grip-On,7.99,776,1482,4.8,METAL & FIRE TOOLS,False,0,,,,,rigid magnetic parts tray,mixed,1,none,workshop utility,
