source_strategy,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,notes,listing_url,opportunity_score,recommendation,gross_profit_per_unit,gross_margin,monthly_gross_profit,demand_score,competition_score,profitability_score,risk_score,risk_control_score,key_flags,brand_moat_reason,hard_stop_reason,archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_best_recommendation,archive_latest_recommendation,archive_status,archive_last_run_id,research_status,archive_notes
higher_ticket_lightweight,B0BXFSKDC4,B09WLX2SQY,Alexander Home The Original Greek Salt Mill 9 Inch Tall | European Salt Mill Grinder with Crank Handle | Manual Salt Grinder | Salt Refillable - Copper,"['Kitchen & Dining', 'kitchen']",US,79.8,22.34,6.38,5.41,0.15,1494.0,615.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0BXFSKDC4; parent B09WLX2SQY; brand Alexander Home,https://www.amazon.com/dp/B0BXFSKDC4,63.4,Reject,33.7,0.4223,50347.8,87.3,28.3,83.0,22.0,78.0,review count above 600,,,,,,,,,,,,,,
consumable_replacement,B0GSQS8W26,B0CDGGT2M4,"Vittanly 4x6 Picture Frames Set of 9, Display 3.5x5 Pictures with Mat or 4x6 without Mat, Photo Frames for Wall or Tabletop with Plexiglass, Engineered Wood, Rustic Blue","['Home & Kitchen', 'home-garden']",US,22.99,6.44,1.84,4.14,0.15,4984.0,0.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0GSQS8W26; parent B0CDGGT2M4; brand Vittanly,https://www.amazon.com/dp/B0GSQS8W26,56.5,Reject,7.12,0.3098,35493.56,87.3,64.3,32.2,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
newer_low_review,B0FMZSRP6R,B0GW1C9QHK,"Silver Toilet Brush and Holder Set Stainless Steel – Square Design Toilet Bowl Brush and Holder, Rust, Corrosion & Scratch Resistant with Splash Protection, for Efficient Cleaning and Neat Storage","['Home & Kitchen', 'home-garden']",US,29.99,8.4,2.4,5.4,0.15,1800.0,28.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0FMZSRP6R; parent B0GW1C9QHK; brand Novsix,https://www.amazon.com/dp/B0FMZSRP6R,56.5,Watch or collect more data,9.29,0.3098,16724.7,87.3,59.3,36.6,22.0,78.0,gross margin below 35%,,,,,,,,,,,,,,
newer_low_review,B0FQ4ZPD8Y,B0G6YWRZYG,"ETENWOLF Mini Bike Pump,20s Fast Inflate Bicycle Pump with Guage,150PSI Portable Electric Bike Air Pump with Presta and Schrader Valve for Mountain Bike,Road Bike,Motorcycle,Car,Sport Ball","['Sports & Outdoors', 'sporting-goods']",US,28.49,7.98,2.28,4.44,0.15,1796.0,127.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0FQ4ZPD8Y; parent B0G6YWRZYG; brand ETENWOLF,https://www.amazon.com/dp/B0FQ4ZPD8Y,54.0,Reject,9.52,0.334,17091.63,87.3,46.8,40.2,22.0,78.0,gross margin below 35%,,,,,,,,,,,,,,
light_small_general,B0CP471CVN,B0CP4DC9CD,"Bambaw Metal Water Bottle 750 ml, Light Blue Sports Bottle, Non-Insulated Water Bottle, Stainless Steel Bottle 750 ml, Stainless Steel Bottle – Nordic Blue","['Sports & Outdoors', 'sporting-goods']",US,15.99,4.48,1.28,3.68,0.15,2991.0,0.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0CP471CVN; parent B0CP4DC9CD; brand Bambaw,https://www.amazon.com/dp/B0CP471CVN,53.8,Reject,4.15,0.2596,12417.14,87.3,68.3,21.3,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
light_small_general,B0FQJ1DJ9Q,B0FW52G2X2,"Official Tomxcute Cat Water Fountain Replacement Filters - 16 Pack Cat Fountain Filter for 3.2L/108oz & 4L/135oz Pet Water Fountain, Three-Layer Filtration Replacement Filters(8+8 Pack), 4 Month Set","['Pet Supplies', 'pet-supplies']",US,16.65,4.66,1.33,4.19,0.15,2999.0,6.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0FQJ1DJ9Q; parent B0FW52G2X2; brand tomxcute,https://www.amazon.com/dp/B0FQJ1DJ9Q,53.4,Reject,3.97,0.2386,11913.53,87.3,68.3,20.0,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
light_small_general,B0GGCBC1VJ,B0GKG8Q176,"Klein Tools 33808M Grab-And-Go Impact Socket Set, Metric, 7-Piece Set with Sleeve, Carabiner, 3/8-Inch Drive, Color-Coded 8 mm, 10 mm, 12 mm, 13 mm, 14 mm, 15 mm Sockets","['Tools & Home Improvement', 'hi']",US,19.98,5.59,1.6,4.87,0.15,2987.0,8.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0GGCBC1VJ; parent B0GKG8Q176; brand KLEIN TOOLS,https://www.amazon.com/dp/B0GGCBC1VJ,53.4,Reject,4.92,0.2464,14705.0,87.3,68.3,20.0,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
newer_low_review,B0FJ8CCZW2,B0GYCXFYYC,"OllyDog Goodie Treat Bag, Dog Treat Pouch, Waist Belt Clip for Hands-Free Training, Magnetic Closure, Dog Training and Behavior Aids, Three Ways to Wear (Palm)","['Pet Supplies', 'pet-supplies']",US,19.95,5.59,1.6,4.9,0.15,1797.0,5.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0FJ8CCZW2; parent B0GYCXFYYC; brand OllyDog,https://www.amazon.com/dp/B0FJ8CCZW2,53.4,Reject,4.87,0.244,8746.9,87.3,68.3,20.0,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
newer_low_review,B0FHBMG2B3,B0GW62RXHF,"3 Way Hose Splitter, Heavy Duty Full Flow Garden Water Hose Bib Spigot Splitter, Brass Rust and Freeze Resistant Outdoor Faucet Splitter, T Adapter Connector with 3/4 - Inch GHT Thread （Red）","['Patio, Lawn & Garden', 'lawn-garden']",US,31.99,8.96,2.56,5.87,0.15,1795.0,128.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0FHBMG2B3; parent B0GW62RXHF; brand LNEZCDB,https://www.amazon.com/dp/B0FHBMG2B3,52.9,Reject,9.8,0.3064,17593.69,87.3,46.8,37.1,22.0,78.0,gross margin below 35%,,,,,,,,,,,,,,
newer_low_review,B0FS1YH17C,B0GT76P4NT,"Premium Beeswax Bread Bags for Sourdough - 2 Packs XL Reusable Organic Beeswax Linen Cotton Sourdough Bag, Homesteading Essentials Sourdough Bags with Zip to Keep Fresh Bread Bags for Homemade Bread","['Kitchen & Dining', 'kitchen']",US,27.99,7.84,2.24,4.88,0.15,1799.0,157.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0FS1YH17C; parent B0GT76P4NT; brand WiNDANCE,https://www.amazon.com/dp/B0FS1YH17C,52.7,Reject,8.83,0.3155,15887.87,87.3,46.8,36.4,22.0,78.0,gross margin below 35%,,,,,,,,,,,,,,
light_small_general,B0GF1WZVS3,B0GV2BG8PB,"HICC PET Dog Toothbrush, Anti-Slip Dog Tooth Brushing Kit, Dog Finger Toothbrush for Plaque and Tartar Cleaning, Dog Teeth Cleaning for Small & Large Pets, Safer & Softer Liquid Silicone, 4-Pack","['Pet Supplies', 'pet-supplies']",US,19.99,5.6,1.6,4.11,0.15,2994.0,51.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0GF1WZVS3; parent B0GV2BG8PB; brand HICC PET,https://www.amazon.com/dp/B0GF1WZVS3,52.5,Reject,5.68,0.2842,17010.41,87.3,58.3,25.9,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
consumable_replacement,B0G6DB75D7,B0DZXFD21S,"CamelBak Podium Chill Bike Squeeze Water Bottle Mercury Fog, 21oz","['Sports & Outdoors', 'sporting-goods']",US,18.0,5.04,1.44,4.23,0.15,4987.0,0.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0G6DB75D7; parent B0DZXFD21S; brand CamelBak,https://www.amazon.com/dp/B0G6DB75D7,52.4,Reject,4.59,0.255,22890.33,87.3,64.3,20.7,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
consumable_replacement,B0F6L6BW27,B0F4QWL9GF,"Artificial Fake Flowers for Outdoor Spring Decoration, 2PCS Faux Silk Petunias No Fade UV Resistant Flowers for Outside Garden Porch Yard Balcony Patio Realistic Indoor Decor(Orange)","['Home & Kitchen', 'home-garden']",US,32.99,9.24,2.64,7.21,0.15,4978.0,188.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0F6L6BW27; parent B0F4QWL9GF; brand VGNQA,https://www.amazon.com/dp/B0F6L6BW27,51.9,Reject,8.95,0.2713,44560.57,87.3,50.8,30.7,22.0,78.0,gross margin below 35%,,,,,,,,,,,,,,
newer_low_review,B0DWW22BG6,B0FQCBXRH4,"24-Pack LED Flameless Candles with Remote Control - Perfect for Home, Parties, and Special Occasions - Create a Magical Ambiance Effortlessly(Three Sizes).","['Tools & Home Improvement', 'hi']",US,27.98,7.83,2.24,8.32,0.15,1799.0,40.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0DWW22BG6; parent B0FQCBXRH4; brand CAKETYCG,https://www.amazon.com/dp/B0DWW22BG6,50.5,Reject,5.39,0.1927,9702.01,87.3,59.3,20.8,27.0,73.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
rating_gap,B0FC5T7DR3,B0DZCMRFF9,"Kiss Core Upgrade Bread Slicer for Homemade Bread, Bread Slicer Guide Adjustable Width and Thickness, Foldable and Compact Cutting Guide with Crumb Tray, Suitability for Homemade Bread, Bagels, Cakes","['Kitchen & Dining', 'kitchen']",US,21.99,6.16,1.76,6.21,0.15,4905.0,110.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0FC5T7DR3; parent B0DZCMRFF9; brand Kiss Core,https://www.amazon.com/dp/B0FC5T7DR3,48.7,Reject,4.56,0.2074,22374.16,87.3,52.8,20.0,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
