source_strategy,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,notes,listing_url,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,profit_estimate_status,opportunity_score,recommendation,gross_profit_per_unit,gross_margin,monthly_gross_profit,demand_score,competition_score,profitability_score,risk_score,risk_control_score,key_flags,brand_moat_reason,hard_stop_reason,archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_best_recommendation,archive_latest_recommendation,archive_status,archive_last_run_id,research_status,archive_notes
category:Cooling Bins,B0H6CB1LS7,B0GKQFHX5H,"Martha by Martha Stewart Hachiman Extra Large Bucket | Hands-Free Filling, Easy to Stack and Store, Indoor Outdoor Use","['Patio, Lawn & Garden', 'lawn-garden']",US,65.0,18.2,5.2,17.91,0.15,395.0,62.0,3.9,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0H6CB1LS7; parent B0GKQFHX5H; brand Hachiman,https://www.amazon.com/dp/B0H6CB1LS7,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,13.94,0.2145,5506.3,69.8,60.3,30.8,27.0,73.0,gross margin below 35%; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Letter & File Organizers,B0GHYMYDD4,B0GWVFHZBX,"Fireproof Document Organizer with Lock, Rigid EVA File Box with 13-Pocket Accordion Folder for Important Documents & Tablets under 11“, Lightweight Safe Storage for Home, Office & Travel (Small Size)","['Office Products', 'office-products']",US,26.99,7.56,2.16,6.94,0.15,964.0,174.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0GHYMYDD4; parent B0GWVFHZBX; brand IPYIPY,https://www.amazon.com/dp/B0GHYMYDD4,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,6.28,0.2327,6055.37,87.3,50.8,17.0,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Wastebaskets,B0F8V2GC7D,B0F882YWKD,"Small Bathroom Trash Can with Lid, 2.1 Gallon Slim Step Trash Can, Black | Mini Garbage Can with Handle for Bedroom, Office, Dorm, Narrow Plastic Wastebasket with Soft Close Pedal for Small Spaces","['Home & Kitchen', 'home-garden']",US,20.99,5.88,1.68,8.41,0.15,4965.0,371.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0F8V2GC7D; parent B0F882YWKD; brand rejomiik,https://www.amazon.com/dp/B0F8V2GC7D,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,1.87,0.0892,9292.0,87.3,42.8,20.0,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Wastebaskets,B0D4Z4VGG1,B0GBWPSW5W,"CEROELDA 3 Pack Bathroom Trash Can with Lid, 10L/2.6 Gal Small Garbage Can with Press Top Lid, Slim Plastic Waste Basket for Toilet, Office, Bedroom (Grey)","['Home & Kitchen', 'home-garden']",US,24.99,7.0,2.0,10.56,0.15,4722.0,105.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0D4Z4VGG1; parent B0GBWPSW5W; brand CEROELDA,https://www.amazon.com/dp/B0D4Z4VGG1,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,1.68,0.0673,7940.04,87.3,46.8,19.8,27.0,73.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Wastebaskets,B0FBW5S4Z5,B0DTNX3G11,"Small Bathroom Trash Can with Lid, 3.2 Gallon Garbage Can with Pop-Up Lid | Press Top Lid, Dog Proof, Slim for Small Space, Premium Plastic, Easy to Use Waste Basket for Room, Office, Toilet, Rv, White","['Home & Kitchen', 'home-garden']",US,24.99,7.0,2.0,8.98,0.15,4319.0,121.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0FBW5S4Z5; parent B0DTNX3G11; brand MOPALL,https://www.amazon.com/dp/B0FBW5S4Z5,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,3.26,0.1305,14086.42,87.3,52.8,20.0,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Outdoor Trash Cans,B0DNPTGDGX,B0DRW1TTQZ,"Dog Poop Trash Can Outside - 5L/1.3Gal Small Trash Can with Lid, Black | Outdoor Dog Poop Trash Can with 40 Bags, Pedal, Removable Inner Bin, Metal Dog Waste Trash Can with Soft Close, Odor Control","['Home & Kitchen', 'home-garden']",US,32.99,9.24,2.64,9.56,0.15,1233.0,399.0,4.2,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0DNPTGDGX; parent B0DRW1TTQZ; brand Kopuncare,https://www.amazon.com/dp/B0DNPTGDGX,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,6.6,0.2001,8139.65,87.3,40.8,23.2,27.0,73.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Covers,B0CRZ31ZRH,B0HC2LRMD9,"Porch Shield Zero Turn Mower Cover - Waterproof Heavy Duty Riding Lawn Tractor Cover (Up to 62 inches Decks, Black)","['Patio, Lawn & Garden', 'lawn-garden']",US,33.59,9.41,2.69,7.45,0.15,669.0,156.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0CRZ31ZRH; parent B0HC2LRMD9; brand Porch Shield,https://www.amazon.com/dp/B0CRZ31ZRH,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,9.0,0.268,6022.0,87.3,46.8,24.7,27.0,73.0,gross margin below 35%; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Tune-Up Kits,B0FBL7BHTD,B0FBL7BHTD,Wzytshun 20339 carburetor for 163cc Toro 22“ Recycler Mower Model | with Air Filter for Toro 21465 and toro 7.25 163cc carburetor Compatible with B&S Engine 799584 594058 594057,"['Patio, Lawn & Garden', 'lawn-garden']",US,22.7,6.36,1.82,4.9,0.15,559.0,55.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0FBL7BHTD; parent B0FBL7BHTD; brand Wzytshun,https://www.amazon.com/dp/B0FBL7BHTD,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,6.21,0.2738,3474.18,87.3,58.3,12.7,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Belts,B0GBWK568M,B0G2LS727X,GX20072 Kevlar Mower Deck Belt Fit for John Deere 42 Inch D100 D105 D110 D120 D125 D130 E100 E110 E120 E130 LA100 LA105 LA110 LA115 LA120 LA125 LA135 Replace# GY20570 (1/2“ X 104“),"['Patio, Lawn & Garden', 'lawn-garden']",US,18.99,5.32,1.52,4.47,0.15,4640.0,311.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0GBWK568M; parent B0G2LS727X; brand GEATaaT,https://www.amazon.com/dp/B0GBWK568M,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,4.83,0.2544,22418.16,87.3,40.8,20.6,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Belts,B0126MRCCS,B0CNGLYM67,Maxpower 347502 Premium Belt Reinforced with Kevlar Fiber Cords 1/2“ x 59“,"['Patio, Lawn & Garden', 'lawn-garden']",US,13.77,3.86,1.1,5.36,0.15,2301.0,95.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0126MRCCS; parent B0CNGLYM67; brand Maxpower,https://www.amazon.com/dp/B0126MRCCS,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,1.38,0.1005,3185.73,87.3,58.3,6.2,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Belts,B0FC6DDX3M,B0FF4PRFQX,954-05022A Mower Deck Belt for Cub Cadet XT1 LT46 XT2 LX46 954-05022 Craftsman T240 MTD Troy Bilt Super Bronco XP 46 490-501-C063 490-501-M063 / Aramid Cord / 108.3 inches,"['Patio, Lawn & Garden', 'lawn-garden']",US,25.28,7.08,2.02,5.36,0.15,1413.0,339.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0FC6DDX3M; parent B0FF4PRFQX; brand RTPOWER,https://www.amazon.com/dp/B0FC6DDX3M,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,7.03,0.278,9930.56,87.3,40.8,27.8,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Fuel Lines,B000P7SKKK,B000P7SKKK,"Kohler 24 393 16-S REG PART 2439316S PUMP, FUEL","['Patio, Lawn & Garden', 'lawn-garden']",US,28.18,7.89,2.25,3.94,0.15,567.0,585.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B000P7SKKK; parent B000P7SKKK; brand Kohler,https://www.amazon.com/dp/B000P7SKKK,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,9.87,0.3504,5597.99,87.3,24.3,36.3,22.0,78.0,evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Pulleys,B08LTH2V97,B0GWS77FCT,756-05034A GY20629 Idler Pulley for John Deere 42' 48' D140 Deck | Replaces AUC17621 GY22082 GY20110 756-05034 for John Deere 42' 48' L130 Z225 LA145 D130 L120 LA115 D170 D110 L110 LA105 E140,"['Patio, Lawn & Garden', 'lawn-garden']",US,16.99,4.76,1.36,5.74,0.15,2878.0,184.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B08LTH2V97; parent B0GWS77FCT; brand POSEAGLE,https://www.amazon.com/dp/B08LTH2V97,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,2.58,0.1519,7429.56,87.3,46.8,18.4,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Throttle Controls,B0DHCW5MQT,B0DHCW5MQT,New Upgraded 51“ 746p06891 Throttle Choke Cable for Cub Cadet ZT1-42 ZT1-46 ZT1-50 ZT1-54 ZT2-60 ZTS1-42 ZTS1-46 ZTS1-50 ZTS2-50 ZTS2-54 ZTS2-60 51 inches for KH FAB Lawn Mover Replace 746-06891,"['Patio, Lawn & Garden', 'lawn-garden']",US,30.99,8.68,2.48,5.77,0.15,470.0,180.0,4.2,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0DHCW5MQT; parent B0DHCW5MQT; brand OCEAIR,https://www.amazon.com/dp/B0DHCW5MQT,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,9.41,0.3037,4423.4,82.3,50.8,25.8,22.0,78.0,gross margin below 35%; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Wheels,B0D3QFQJVH,B0BKQH6VSV,"Fourtry 634-04659 Lawn mower Front Wheel Assembly, 8x2 inch Wheel Compatible with Cub Ca det SC100, CSV070, SC100H, SC100HW, SCP100 mower, 2 Pack","['Patio, Lawn & Garden', 'lawn-garden']",US,19.99,5.6,1.6,3.6,0.15,1135.0,8.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0D3QFQJVH; parent B0BKQH6VSV; brand Fourtry,https://www.amazon.com/dp/B0D3QFQJVH,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,6.19,0.3097,7027.35,87.3,70.3,27.6,27.0,73.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Tumblers,B0FLSFGVG1,B0FNG42QXM,"Logo Brands NCAA Miami Hurricanes Step & Repeat 34 oz Stainless Steel Quencher Bottle – All Over Logo Design, No-Spill Lid, Easy Carry Handle - Keeps Drinks Cold For Hours","['Sports & Outdoors', 'sporting-goods']",US,36.18,10.13,2.89,5.35,0.15,203.0,51.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0FLSFGVG1; parent B0FNG42QXM; brand Logo Brands,https://www.amazon.com/dp/B0FLSFGVG1,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,12.38,0.3423,2513.75,37.8,58.3,31.4,22.0,78.0,gross margin below 35%; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Cereal Containers,B0CCTB254W,B0CRVHGB67,"Large Flour Storage Container Bin 25lb, 2Pack Airtight Rice Storage Containers with Wheels Seal Locking Lid, BPA Free with Measuring Cup&Scoop for Flour, Rice, Grain(Green)","['Kitchen & Dining', 'kitchen']",US,62.99,17.64,5.04,16.02,0.15,743.0,304.0,4.2,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0CCTB254W; parent B0CRVHGB67; brand Qiveno,https://www.amazon.com/dp/B0CCTB254W,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,14.84,0.2356,11027.23,87.3,40.8,39.7,27.0,73.0,gross margin below 35%; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
