source_strategy,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,data_source_summary,profit_estimate_status,notes,listing_url,opportunity_score,recommendation,gross_profit_per_unit,gross_margin,monthly_gross_profit,demand_score,competition_score,profitability_score,risk_score,risk_control_score,key_flags,brand_moat_reason,hard_stop_reason,archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_best_recommendation,archive_latest_recommendation,archive_status,archive_last_run_id,research_status,archive_notes
category:Bathroom Shelves,B0GV43R4TJ,B0GV3NGX74,"Bathroom Counter Organizer, Vanity Organizer, Perfume Organizer","['Tools & Home Improvement', 'hi']",US,32.98,9.23,2.64,5.77,0.15,536.0,25.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GV43R4TJ; parent B0GV3NGX74; brand UJQSUN,https://www.amazon.com/dp/B0GV43R4TJ,60.7,Watch or collect more data,10.39,0.3151,5570.65,87.3,59.3,32.5,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Vertical Plate Holders,B0GSZS9TST,B0GSZS9TST,"Invisible Wall Plate Hangers - Clear Adhesive Picture Hanging Strips for Displaying Decorative Plates, Paintings & Photo Frames - Damage-Free, Strong Hold (2.4 Inch)","['Kitchen & Dining', 'kitchen']",US,18.99,5.32,1.52,4.18,0.15,551.0,10.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GSZS9TST; parent B0GSZS9TST; brand LWJTTDFJ,https://www.amazon.com/dp/B0GSZS9TST,60.2,Watch or collect more data,5.12,0.2697,2821.95,87.3,70.3,8.1,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Magazine & Newspaper Baskets,B09QLLLBJ3,B0FGYV777Q,Household Essentials Natural Woven Wicker Storage Basket with Handles,"['Home & Kitchen', 'home-garden']",US,19.99,5.6,1.6,3.6,0.15,693.0,33.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,50.0,20.0,42.5,C,"observed:sales,reviews,rating; estimated:price,fba_fee,search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B09QLLLBJ3; parent B0FGYV777Q; brand Household Essentials,https://www.amazon.com/dp/B09QLLLBJ3,57.7,Watch or collect more data,6.19,0.3097,4290.71,87.3,59.3,19.7,27.0,73.0,supplier quote required; estimated profit is not a rejection gate; evidence confidence below supplier-validation threshold,,,,,,,,,,,,,,
category:Shelf Baskets,B0FY235Z3J,B0GCZNTZP5,"iEGrow Scalloped Wicker Basket, Set of 2 Hand-Woven Natural Rattan Baskets with Built-in Handles, Water Hyacinth Storage Oval Cute Baby Baskets for Nursery, Organizing, Decor and Shelves","['Home & Kitchen', 'home-garden']",US,33.99,9.52,2.72,10.13,0.15,1177.0,55.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FY235Z3J; parent B0GCZNTZP5; brand iEGrow,https://www.amazon.com/dp/B0FY235Z3J,56.3,Watch or collect more data,6.52,0.1919,7675.81,87.3,54.3,22.1,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Storage Boxes,B0FVLJ6845,B0G58RQJM3,"Himake Photo Storage Box 8x10, Decorative Photo Storage Containers With Lid | Acid Free Photo Storage Boxes, Linen Photo Organizers and Storage, Beige Scrapbook Picture Box, Fits 800 Photos","['Home & Kitchen', 'home-garden']",US,22.49,6.3,1.8,7.16,0.15,677.0,66.0,4.2,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FVLJ6845; parent B0G58RQJM3; brand Himake,https://www.amazon.com/dp/B0FVLJ6845,54.5,Watch or collect more data,3.86,0.1715,2610.85,87.3,58.3,4.6,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Shelf Baskets,B0G2XY5J77,B0G2XZFZL3,"Foldable Fabric Storage Basket for Shelves, Linen Decorative Storage Bin with Wooden Handles, Small Organizer Cube for Closet, Rectangle Canvas Box for Organizing, Decor, 15x10.6x6 Inches (Blcak)","['Home & Kitchen', 'home-garden']",US,13.99,3.92,1.12,5.36,0.15,2130.0,83.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0G2XY5J77; parent B0G2XZFZL3; brand Tihaolity,https://www.amazon.com/dp/B0G2XY5J77,53.9,Watch or collect more data,1.49,0.1066,3176.89,87.3,54.3,6.2,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Storage Boxes,B0FZRLDZC2,B0FSDG1HNL,"Aokeyee Photo Storage Box Holds 3400+ 4x6 Pictures | Photo Organizer Box, 8 Dividers, 24 Paperboard, with Blank Label","['Home & Kitchen', 'home-garden']",US,24.99,7.0,2.0,7.99,0.15,621.0,96.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FZRLDZC2; parent B0FSDG1HNL; brand Aokeyee,https://www.amazon.com/dp/B0FZRLDZC2,53.0,Watch or collect more data,4.25,0.1701,2640.18,87.3,54.3,4.7,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Shelf Baskets,B0GTWHX4GC,B0GTWFLKJL,CubesLand Small Wicker Toilet Basket Tray Organizer W/Cut Out Handle,"['Home & Kitchen', 'home-garden']",US,16.99,4.76,1.36,7.21,0.15,919.0,78.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GTWHX4GC; parent B0GTWFLKJL; brand CubesLand,https://www.amazon.com/dp/B0GTWHX4GC,52.7,Watch or collect more data,1.11,0.0654,1021.47,87.3,54.3,0.1,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Lidded Storage Bins,B0DVRGDQ4W,B0DVRGQCLD,Decorative Storage Boxes with Lids - Set of 2 Fluted Photo Organizer Bins,"['Home & Kitchen', 'home-garden']",US,29.99,8.4,2.4,7.22,0.15,1390.0,270.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DVRGDQ4W; parent B0DVRGQCLD; brand ZICOTO,https://www.amazon.com/dp/B0DVRGDQ4W,52.3,Watch or collect more data,7.47,0.2491,10385.38,87.3,40.8,24.9,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Vertical Plate Holders,B0F32HV3WZ,B0FMN7NQDK,"Plate Hangers for The Wall, Suitable for 8-10 Inch Wall Plate Hangers for Display 12 Pack Stainless Steel Invisible with Invisible Nails Plate Hangers for Displaying Plates Decorative(Gold)","['Kitchen & Dining', 'kitchen']",US,13.59,3.81,1.09,4.45,0.15,623.0,101.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0F32HV3WZ; parent B0FMN7NQDK; brand TNsughang,https://www.amazon.com/dp/B0F32HV3WZ,45.0,Reject,2.2,0.162,1371.53,87.3,50.8,1.1,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Vertical Plate Holders,B0DL5R2YBH,B0F8ZYMJKF,2Pcs Paper Plate Dispenser for 6-9.5 In Disposable Plates,"['Kitchen & Dining', 'kitchen']",US,18.99,5.32,1.52,6.37,0.15,601.0,148.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DL5R2YBH; parent B0F8ZYMJKF; brand TOWARDFUN,https://www.amazon.com/dp/B0DL5R2YBH,45.0,Reject,2.93,0.1544,1761.83,87.3,46.8,2.2,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Vertical Plate Holders,B0DQXLP2SV,B0F9PH466C,"MAPVOLUT 14 Pcs Invisible Plate Hangers for The Wall - 4/6/8/10 Inch Stainless Steel Decorative Plate Holers for Display, Artwork & Home Decor (Includes 14 Wall Hooks & 56 Tip Protectors & Guide)","['Kitchen & Dining', 'kitchen']",US,13.59,3.81,1.09,4.17,0.15,293.0,94.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DQXLP2SV; parent B0F9PH466C; brand MAPVOLUT,https://www.amazon.com/dp/B0DQXLP2SV,45.0,Reject,2.48,0.1826,727.08,52.8,54.3,0.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Vertical Plate Holders,B0G19GYRSS,B0GWD38S4B,Tnkcter 40 Pack Premium Invisible Plate Hangers for Walls (Round & Square),"['Kitchen & Dining', 'kitchen']",US,13.99,3.92,1.12,4.87,0.15,205.0,35.0,4.0,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0G19GYRSS; parent B0GWD38S4B; brand Tnkcter,https://www.amazon.com/dp/B0G19GYRSS,45.0,Reject,1.98,0.1416,406.21,38.1,65.3,0.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Lidded Storage Bins,B0GL1TBL8M,B0H5C7K6NW,"Storage Bins with Lids,7Qt Clear Stackable Storage Containers With Lids Buckle Latches.Perfect for LEGO, Crafts, Office Supplies, and Dorm Room Organization,6-Pack (Clear)","['Home & Kitchen', 'home-garden']",US,23.49,6.58,1.88,9.55,0.15,1609.0,244.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GL1TBL8M; parent B0H5C7K6NW; brand AREYZIN,https://www.amazon.com/dp/B0GL1TBL8M,45.0,Reject,1.96,0.0833,3148.01,87.3,40.8,6.1,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Lidded Storage Bins,B0B5MWG2XD,B0GXK1K4XT,"GAMENOTE 6 Quart Stackable Plastic Storage Bins with Lids, 6 Pack, Colorful","['Home & Kitchen', 'home-garden']",US,32.99,9.24,2.64,9.84,0.15,1342.0,392.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0B5MWG2XD; parent B0GXK1K4XT; brand GAMENOTE,https://www.amazon.com/dp/B0B5MWG2XD,45.0,Reject,6.32,0.1916,8483.45,87.3,36.8,22.6,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Lidded Storage Bins,B09RH31X6L,B0GQR3LWGT,"Clear Storage Latch Box/Bin, 2-Pack Plastic Organizing Container with Handle and Lids (7 QT/16QT)","['Home & Kitchen', 'home-garden']",US,23.99,6.72,1.92,9.27,0.15,1089.0,397.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B09RH31X6L; parent B0GQR3LWGT; brand JUJIAJIA,https://www.amazon.com/dp/B09RH31X6L,45.0,Reject,2.48,0.1034,2702.35,87.3,36.8,4.9,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Lidded Storage Bins,B0C58RGN9D,B0D45XV1RL,"ZICOTO Decorative Photo Storage Boxes with Lids - Set of 2 Linen Organizers | Beautiful Boxes Safely Store Your Pictures, Documents, Scrapbooking Supplies, Keepsakes and Other Memories in Style","['Home & Kitchen', 'home-garden']",US,23.51,6.58,1.88,6.75,0.15,1018.0,397.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0C58RGN9D; parent B0D45XV1RL; brand ZICOTO,https://www.amazon.com/dp/B0C58RGN9D,45.0,Reject,4.77,0.203,4859.42,87.3,36.8,11.0,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Lidded Storage Bins,B0FS1V9M3V,B0FS1S8L7Z,Decorative Linen Storage Boxes with Lids - Spacious Set of 2 Organizer Bins,"['Home & Kitchen', 'home-garden']",US,14.21,3.98,1.14,5.35,0.15,970.0,195.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FS1V9M3V; parent B0FS1S8L7Z; brand ZICOTO,https://www.amazon.com/dp/B0FS1V9M3V,45.0,Reject,1.61,0.1132,1560.25,87.3,46.8,1.6,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Lidded Storage Bins,B085WD2D8X,B0H1SFNRJS,"BLACK & YELLOW 5-Gallon Stackable Plastic Storage Bins with Lids, 6 Pack | Small heavy-duty storage totes for garage, closet, classroom & home organization, 8.6H x 12.3W x 16.4D, Black & Yellow","['Home & Kitchen', 'home-garden']",US,50.38,14.11,4.03,9.07,0.15,964.0,1903.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,65.0,20.0,53.8,C,"observed:price,sales,reviews,rating; estimated:fba_fee,search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B085WD2D8X; parent B0H1SFNRJS; brand BLACK & YELLOW,https://www.amazon.com/dp/B085WD2D8X,45.0,Reject,15.61,0.3099,15050.93,87.3,14.3,49.2,22.0,78.0,supplier quote required; estimated profit is not a rejection gate; review count above 600; evidence confidence below supplier-validation threshold,,,,,,,,,,,,,,
category:Open Storage Bins,B0GQSM6463,B0H3THVDN2,"SONGMICS Storage Cubes, Set of 6 Foldable Organizer Boxes with Handles | Fabric Boxes, 10.2 x 10.2 x 11 Inches, Odorless, for Closet Shelves, Cloud White and Summer Sand, TINA Collection URFB426LF02","['Home & Kitchen', 'home-garden']",US,21.94,6.14,1.76,8.03,0.15,1591.0,129.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GQSM6463; parent B0H3THVDN2; brand SONGMICS,https://www.amazon.com/dp/B0GQSM6463,45.0,Reject,2.72,0.1239,4325.93,87.3,46.8,9.5,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Open Storage Bins,B0GQH3939G,B0F1MH4LBB,"StorageWorks Black Storage Bins, Leather Storage Baskets, 4-Pack","['Home & Kitchen', 'home-garden']",US,21.99,6.16,1.76,7.82,0.15,1230.0,369.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GQH3939G; parent B0F1MH4LBB; brand StorageWorks,https://www.amazon.com/dp/B0GQH3939G,45.0,Reject,2.95,0.1342,3630.34,87.3,36.8,7.5,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Shelf Baskets,B0GTQNCZC3,B0DHCMQML2,"Bagnizer 2 Pack Tall Plastic Storage Bins with Bamboo Lids, 10.8qt Stackable Storages Baskets for Organizing Desktop Closet Playroom Classroom Office, 12'L x 8.3'W x 6.1'H, Gray","['Home & Kitchen', 'home-garden']",US,31.34,8.78,2.51,8.88,0.15,4716.0,647.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GTQNCZC3; parent B0DHCMQML2; brand Bagnizer,https://www.amazon.com/dp/B0GTQNCZC3,45.0,Reject,6.47,0.2064,30507.8,87.3,24.3,22.9,27.0,73.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Shelf Baskets,B0GTLCP7LN,B0DQTBQ5C9,"Nonam Wicker Storage Basket with Lid,Seagrass Shelf Basket Set of 2,Coffee","['Home & Kitchen', 'home-garden']",US,25.99,7.28,2.08,8.03,0.15,2139.0,377.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GTLCP7LN; parent B0DQTBQ5C9; brand Nonam,https://www.amazon.com/dp/B0GTLCP7LN,45.0,Reject,4.7,0.1809,10056.51,87.3,40.8,20.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
