seed_rank,seed_asin,seed_listing_url,seed_title,seed_score,seed_recommendation,seed_asins,seed_count,source_category_id,source_category_name,validation_run_id,category_path,category_health_score,category_health_rank,data_quality,product_form,shape_scope,shape_score,shape_recommendation,category_sample_count,category_total_sales,category_top10_sales_share,category_top20_sales_share,category_top50_sales_share,category_review_sales_spearman,category_new_listing_share_12m,category_price_p25,category_price_median,category_price_p75,category_median_reviews,category_top10_median_reviews,category_top_brand,category_top_brand_share,category_low_review_high_sales_count,category_cn_hk_seller_share,category_fba_share,form_count,form_direct_count,form_keyword_count,form_avg_price,form_avg_sales,form_median_sales,form_total_sales,form_sales_share,form_top3_sales_share,form_median_reviews,form_avg_rating,form_low_review_high_sales_count,form_dated_count,form_new_entrant_count,form_new_entrant_success_count,form_new_entrant_success_rate,form_new_entrant_median_sales,form_new_entrant_median_reviews,form_brand_dependent_share,form_excluded_share,form_excluded_reasons,form_price_median,form_reference_asins,form_top_materials,form_top_packs,form_top_styles,validation_flags,opportunity_thesis,next_action,research_page,shape_archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_status,archive_last_run_id,research_status,archive_notes
,,,,,,,0,553582,Tool Holsters,20260902_shape_first_replay,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,76.6,26,category_top100,utility holster pouch,category_form,67.9,Shape opportunity,100,42975.0,0.454,0.58,0.798,0.328,0.152,9.98,14.34,20.49,246.0,856.0,WUBEN,0.1,5,0.48,0.98,39,39,0,20.04,319.0,255.0,12433.0,0.289,0.25,295.0,4.5,1,39,8,6,0.75,242.0,53.0,0.089,0.044,oversize risk:2,15.99,B0FWK59BCY:1254/295; B0FSRHW388:414/129; B0G42J9N26:349/70; B0F7NB1C37:266/49; B0G16724X5:218/30,,,,,utility holster pouch 形态已通过类目 Top100 验证：月销均值 319.0，形态总月销 12433.0，评论中位数 295.0，低评高销样本 1 个。近 18 个月新上架 8 个，其中 6 个已达标（75%）。 参考新进入者：B0FWK59BCY:1254/295; B0FSRHW388:414/129; B0G42J9N26:349/70; B0F7NB1C37:266/49; B0G16724X5:218/30,从参考新进入者 ASIN 里挑 1-2 个做单品研究，再进供应商验证,,shape:tools home improvement storage home organization tool organizers tool holsters|utility holster pouch,2026-09-02 08:16:54,2026-09-02 22:38:21,1,74.6,67.9,active_in_latest_run,20260902_shape_first_replay,needs_supplier_validation,
,,,,,,,0,12118748011,Ball Storage,20260902_shape_first_replay,Sports & Outdoors > Sports > Team Sports > Basketball > Accessories > Ball Storage,96.4,1,category_top100,wall-mounted ball holder,category_form,74.4,Shape opportunity,100,34938.0,0.329,0.493,0.786,0.611,0.343,9.99,28.99,49.99,105.0,344.0,Hoiny,0.1,12,0.91,0.98,31,31,0,19.62,298.0,212.0,9247.0,0.265,0.277,104.0,4.5,4,31,16,8,0.5,195.0,38.0,0.0,0.088,oversize risk:3,19.99,B0F3HQPVBN:522/171; B0DXBJBM18:434/155; B0GXJ1JLLS:409/31; B0FH6LZXTN:319/54; B0F8K47NV4:262/67,,,,,wall-mounted ball holder 形态已通过类目 Top100 验证：月销均值 298.0，形态总月销 9247.0，评论中位数 104.0，低评高销样本 4 个。近 18 个月新上架 16 个，其中 8 个已达标（50%）。 参考新进入者：B0F3HQPVBN:522/171; B0DXBJBM18:434/155; B0GXJ1JLLS:409/31; B0FH6LZXTN:319/54; B0F8K47NV4:262/67,从参考新进入者 ASIN 里挑 1-2 个做单品研究，再进供应商验证,,shape:sports outdoors sports team sports basketball accessories ball storage|wall mounted ball holder,2026-09-02 22:13:26,2026-09-02 22:38:21,1,74.6,74.4,active_in_latest_run,20260902_shape_first_replay,needs_supplier_validation,
,,,,,,,0,322568011,Tool Pouches,20260902_shape_first_replay,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Pouches,62.2,80,category_top100,utility holster pouch,category_form,68.2,Shape opportunity,100,41014.0,0.407,0.526,0.768,0.467,0.152,13.73,19.99,28.25,282.0,1252.0,KLEIN TOOLS,0.2,1,0.44,0.94,69,69,0,25.76,365.0,253.0,25158.0,0.613,0.196,263.0,4.5,1,69,22,17,0.773,250.0,85.0,0.013,0.103,excluded title term: knife:6; oversize risk:2,19.99,B0G2728J1C:504/120; B0FD7L82GP:466/52; B0GWLD1M68:450/59; B0F13C9HZB:404/128; B0F83T4D9C:323/82,,,,,utility holster pouch 形态已通过类目 Top100 验证：月销均值 365.0，形态总月销 25158.0，评论中位数 263.0，低评高销样本 1 个。近 18 个月新上架 22 个，其中 17 个已达标（77%）。 参考新进入者：B0G2728J1C:504/120; B0FD7L82GP:466/52; B0GWLD1M68:450/59; B0F13C9HZB:404/128; B0F83T4D9C:323/82,从参考新进入者 ASIN 里挑 1-2 个做单品研究，再进供应商验证,,shape:tools home improvement storage home organization tool organizers tool pouches|utility holster pouch,2026-09-02 08:16:54,2026-09-02 22:38:21,1,68.2,68.2,active_in_latest_run,20260902_shape_first_replay,needs_supplier_validation,
,,,,,,,0,15709201,Tool Trays,20260902_shape_first_replay,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Trays,83.3,15,category_top100,wrench organizer,category_form,66.4,Shape opportunity,100,67333.0,0.581,0.703,0.873,0.605,0.255,13.77,19.99,29.99,270.0,922.0,SWANLAKE GARDEN TOOLS,0.2,7,0.71,1.0,4,4,0,14.22,436.0,305.0,1745.0,0.026,0.882,260.0,4.1,0,4,2,2,1.0,212.0,108.0,0.0,0.0,,14.95,B0F312FMB1:219/151; B0FJF9MPGN:206/65,,,,,wrench organizer 形态已通过类目 Top100 验证：月销均值 436.0，形态总月销 1745.0，评论中位数 260.0，低评高销样本 0 个。近 18 个月新上架 2 个，其中 2 个已达标（100%）。 参考新进入者：B0F312FMB1:219/151; B0FJF9MPGN:206/65,从参考新进入者 ASIN 里挑 1-2 个做单品研究，再进供应商验证,,shape:tools home improvement storage home organization tool organizers tool trays|wrench organizer,2026-09-02 22:10:29,2026-09-02 22:38:21,1,66.4,66.4,active_in_latest_run,20260902_shape_first_replay,needs_supplier_validation,
7,B0GT8FVMZ4,https://www.amazon.com/dp/B0GT8FVMZ4,"LEGUO Disposable Toilet Brush System, Toilet Bowl Cleaning Wand with Lift-to-Open Refill Case, Blue Refill Heads and Freestanding Holder, 1 Wand and Holder Set with 35 Blue Refills",55.1,Watch or collect more data,,,85975011,Toilet Brushes & Holders,20260901_214146,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Brushes > Toilet Brushes & Holders,,,category_top100,disposable toilet brush refill,seed_form,89.3,Shape opportunity,100,367851.0,0.454,0.655,0.872,0.647,0.263,9.79,15.48,23.27,860.0,6984.0,MR.SIGA,0.2,29,0.81,0.99,11,11,0,19.33,2494.0,1239.0,27434.0,0.075,0.667,296.0,4.5,6,,,,,,,,,,,,,,,top10 review wall,disposable toilet brush refill 形态已通过类目 Top100 验证：月销均值 2494.0，形态总月销 27434.0，评论中位数 296.0，低评高销样本 6 个。,进入单品研究/供应商验证,,shape:home kitchen cleaning supplies household cleaning cleaning tools brushes toilet brushes holders|disposable toilet brush refill,2026-09-01 22:36:37,2026-09-01 22:36:37,1,89.3,89.3,not_in_latest_run,20260901_223637,needs_supplier_validation,
,B0FS1YH17C,https://www.amazon.com/dp/B0FS1YH17C,"Premium Beeswax Bread Bags for Sourdough - 2 Packs XL Reusable Organic Beeswax Linen Cotton Sourdough Bag, Homesteading Essentials Sourdough Bags with Zip to Keep Fresh Bread Bags for Homemade Bread",52.7,Watch or collect more data,,,,,,Reusable Produce Bags / 21579239011 / 9,,,category_top100,beeswax bread bag,seed_form,85.6,Shape opportunity,95,255150.0,,,,,,,,,226.0,1046.0,365 by Whole Foods Market,0.2,22,0.632,0.916,25,16,9,23.23,978.0,,,,,81.0,4.6,9,,,,,,,,,,,,beeswax:25,2:22; 1:2; 9:1,farmhouse/natural:16,,beeswax bread bag 形态已通过类目 Top100 验证：月销均值 978.0，评论中位数 81.0，低评高销样本 9 个。,进入单品研究/供应商验证,web/research/B0FS1YH17C.html,shape:reusable produce bags 21579239011 9|beeswax bread bag,2026-05-23 20:59:52,2026-05-23 22:41:30,6,85.6,85.6,invalidated_by_rule,20260523_224130,needs_supplier_validation,invalidated_by_rule (20260902_shape_first_replay): excluded title term: beeswax bread bag
8,B0FQ47F7Z7,https://www.amazon.com/dp/B0FQ47F7Z7,"BOMATA 0.01g Small Digital Gram Scale, Upgraded 1kg Jewelry Scale",54.8,Watch or collect more data,,,678508011,Digital Scales,20260901_214146,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Measuring Tools & Scales > Kitchen Scales > Digital Scales,,,category_top100,digital scale,seed_form,79.9,Shape opportunity,100,447909.0,0.654,0.768,0.91,0.523,0.212,10.0,19.49,27.01,1892.0,15272.0,Etekcity,0.1,13,0.66,1.0,37,37,0,18.61,5053.0,1118.0,186943.0,0.417,0.574,676.0,4.5,5,,,,,,,,,,,,,,,category review wall; top10 review wall,digital scale 形态已通过类目 Top100 验证：月销均值 5053.0，形态总月销 186943.0，评论中位数 676.0，低评高销样本 5 个。,进入单品研究/供应商验证,,shape:home kitchen kitchen dining kitchen utensils gadgets measuring tools scales kitchen scales digital scales|digital scale,2026-09-01 22:36:37,2026-09-01 22:36:37,1,79.9,79.9,not_in_latest_run,20260901_223637,needs_supplier_validation,
,,,,,,,0,12118748011,Ball Storage,20260902_shape_first_replay,Sports & Outdoors > Sports > Team Sports > Basketball > Accessories > Ball Storage,96.4,1,category_top100,sporting goods,category_form,78.1,Shape opportunity,100,34938.0,0.329,0.493,0.786,0.611,0.343,9.99,28.99,49.99,105.0,344.0,Hoiny,0.1,12,0.91,0.98,23,23,0,47.06,305.0,213.0,7012.0,0.201,0.314,114.0,4.5,5,23,13,7,0.538,229.0,27.0,0.0,0.043,excluded brand: VEVOR:1,32.99,B0FRSJQ8S4:699/139; B0FLDDVY2N:671/64; B0F3HQPVBN:522/171; B0GXJ1JLLS:409/31; B0F8K47NV4:262/67,,,,,sporting goods 形态已通过类目 Top100 验证：月销均值 305.0，形态总月销 7012.0，评论中位数 114.0，低评高销样本 5 个。近 18 个月新上架 13 个，其中 7 个已达标（54%）。 参考新进入者：B0FRSJQ8S4:699/139; B0FLDDVY2N:671/64; B0F3HQPVBN:522/171; B0GXJ1JLLS:409/31; B0F8K47NV4:262/67,从参考新进入者 ASIN 里挑 1-2 个做单品研究，再进供应商验证,,shape:sports outdoors sports team sports basketball accessories ball storage|sporting goods,2026-09-02 08:16:54,2026-09-02 08:20:10,1,78.1,78.1,invalidated_by_rule,20260902_shape_first_replay,needs_supplier_validation,invalidated_by_rule (20260902_shape_first_replay): generic product form
5,B0G34LYYWP,https://www.amazon.com/dp/B0G34LYYWP,"80 Count Duster Refills Compatible with Swiffer Duster, 180° Disposable Multi-Surface Microfiber Cleaning Dusters, Unscented",57.1,Watch or collect more data,,,2245498011,Feather Dusters,20260901_214146,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Dusting > Feather Dusters,,,category_top100,duster refill,seed_form,76.1,Shape opportunity,100,342259.0,0.453,0.62,0.844,0.424,0.23,9.81,14.12,20.09,1085.0,5546.0,Swiffer,0.5,22,0.74,0.97,26,26,0,15.15,4503.0,2170.0,117075.0,0.342,0.501,639.0,4.4,7,,,,,,,,,,,,,,,category review wall; top10 review wall; brand concentration,duster refill 形态已通过类目 Top100 验证：月销均值 4503.0，形态总月销 117075.0，评论中位数 639.0，低评高销样本 7 个。,进入单品研究/供应商验证,,shape:home kitchen cleaning supplies household cleaning cleaning tools dusting feather dusters|duster refill,2026-09-01 22:36:37,2026-09-01 22:36:37,1,76.1,76.1,invalidated_by_rule,20260901_223637,needs_supplier_validation,invalidated_by_rule (20260902_shape_first_replay): brand-dependent accessory
10,B0D3TCVJPK,https://www.amazon.com/dp/B0D3TCVJPK,"Magnetic Socket Holder Organizer Set: 9-Piece Detachable 1/4, 3/8, 1/2 Socket Trays Socket Organizer for Tool Box Drawer Holds 120-Piece Standard Size Sockets for Automotive Garage(Blue Red Green)",54.6,Watch or collect more data,,,15709201,Tool Trays,20260901_214146,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Trays,,,category_top100,socket organizer,seed_form,76.1,Shape opportunity,100,67333.0,0.581,0.703,0.873,0.605,0.255,13.77,19.99,29.99,270.0,922.0,SWANLAKE GARDEN TOOLS,0.2,7,0.71,1.0,39,39,0,25.52,626.0,299.0,24431.0,0.363,0.355,271.0,4.5,3,,,,,,,,,,,,,,,,socket organizer 形态已通过类目 Top100 验证：月销均值 626.0，形态总月销 24431.0，评论中位数 271.0，低评高销样本 3 个。,进入单品研究/供应商验证,,shape:tools home improvement storage home organization tool organizers tool trays|socket organizer,2026-09-01 22:36:37,2026-09-01 22:38:09,2,76.1,76.1,not_in_latest_run,20260901_223809,needs_supplier_validation,
