source_asin,candidate_listing_url,source_parent_asin,product_name,keyword,search_volume,rank,position,show_share,raw_score
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),fan,1025666.0,367.0,,8.47,637293.0
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),dyson,196583.0,2797.0,第1页，第24/48位,5.17,153609.0
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),car accessories,785815.0,245.0,,4.95,1356877.0
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),gifts for women,582321.0,399.0,,4.92,585973.0
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),box fan,186349.0,5660.0,,4.72,106296.0
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),dyson airwrap,220351.0,2021.0,,4.71,273969.0
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),handheld fan,203519.0,3197.0,第2页，第15/48位,4.56,113464.0
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),portable fan,579835.0,742.0,第3页，第29/48位,3.85,295738.0
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),dyson fan,100805.0,15642.0,第1页，第3/50位,3.22,50926.0
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),mini fan,169457.0,5246.0,第2页，第26/48位,3.12,84337.0
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),shark fan,90275.0,16883.0,第1页，第29/48位,2.37,46484.0
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),cooling fan,114420.0,16822.0,第3页，第3/48位,2.26,39903.0
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),personal fan,135534.0,8314.0,第2页，第22/48位,2.19,43539.0
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),hand held fan,140931.0,6340.0,,1.97,59878.0
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),desk fan,277426.0,2717.0,第3页，第33/48位,1.95,136480.0
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),travel fan,98617.0,11942.0,第2页，第41/51位,1.83,45061.0
