source_asin,candidate_listing_url,source_parent_asin,candidate_name,competitor_asin,competitor_listing_url,competitor_type,relevance_score,keyword_evidence_count,evidence_keywords,relevance_reasons,competitor_parent_asin,title,brand,price,monthly_sales,reviews,rating,seller_count,seller_address,is_fba,variation_count,bsr_category
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),B09MKPDJRT,https://www.amazon.com/dp/B09MKPDJRT,noise,29.3,5,fan; dyson fan; cooling fan; fans; bladeless fan,title overlap 14%; reverse overlap 4%; 5 keyword signals,B0GY1V9H6Z,"DREO Tower Fan for Bedroom, 2026 Upgraded DC Motor, 28ft/s High Velocity, 20dB Ultra Quiet Standing Fan, 8 Speeds 4 Modes, 90° Oscillating Bladeless Fan for Indoors, Floor Fans with Remote, Black",DREO,79.98,20000.0,45265.0,4.6,4.0,,True,4.0,Household Tower Fans / 241127011 / 1
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),B07QK9C9KT,https://www.amazon.com/dp/B07QK9C9KT,noise,26.6,6,handheld fan; portable fan; mini fan; personal fan; hand held fan; travel fan,title overlap 29%; reverse overlap 8%; 6 keyword signals,B0B3JDCJ6Q,"JISULIFE 3 IN 1 Handheld Mini Fan - Portable Fan & Power Bank & Flashlight, 19H Max Cooling, USB Rechargeable, Pocket-Sized for Travel, Cruise, Concerts, Makeup, 2026 Summer Gifts for Women(Pink)",JISULIFE,14.39,20000.0,76561.0,4.6,2.0,CN,True,8.0,Personal Fans / 3303867011 / 2
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),B0FVLY9NGB,https://www.amazon.com/dp/B0FVLY9NGB,noise,26.2,5,handheld fan; portable fan; mini fan; personal fan; hand held fan,title overlap 29%; reverse overlap 9%; 5 keyword signals,B0GDFGT2KR,"Aecooly Mighty Portable Fan, Powerful Handheld Fan, USB Rechargeable [10H Max Cooling Time], Mini Personal Battery Powered, Pocket for Travel, Summer, Gifts for Women, Girls -Beige",Aecooly,10.99,7000.0,209.0,4.7,1.0,CN,True,4.0,Personal Fans / 3303867011 / 10
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),B0DLFCN4J5,https://www.amazon.com/dp/B0DLFCN4J5,noise,25.8,6,handheld fan; portable fan; mini fan; personal fan; hand held fan; travel fan,title overlap 29%; reverse overlap 8%; 6 keyword signals,B0F7XDM6N5,"Aecooly Slim Portable Fan, Thin Handheld Fan, USB Rechargeable Mini Personal [24H Max Cooling Time], Battery Powered Small Foldable Pocket for Travel, Summer, Gifts for Women, Girls -Beige",Aecooly,8.49,20000.0,3446.0,4.8,1.0,CN,True,13.0,Personal Fans / 3303867011 / 1
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),B0BVZFQ4DF,https://www.amazon.com/dp/B0BVZFQ4DF,noise,25.5,5,fan; dyson fan; cooling fan; fans; bladeless fan,title overlap 14%; reverse overlap 4%; 5 keyword signals,B0GYFRDZDH,"LEVOIT Tower Fan for Bedroom, 90° Oscillating Standing Fan with 28dB Quiet for Sleep, 25ft/s Velocity, 12H Timer, 5 Speeds 4 Modes, Remoter, Bladeless Room Fan for Home, Office, Indoor, 36 inch, White",LEVOIT,54.96,30000.0,9404.0,4.6,3.0,,True,4.0,Household Tower Fans / 241127011 / 2
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),B0CR475VGQ,https://www.amazon.com/dp/B0CR475VGQ,noise,24.1,4,handheld fan; portable fan; mini fan; hand held fan,title overlap 29%; reverse overlap 10%; 4 keyword signals,B0CW9M3R62,"Gaiatop Portable Mini Fan, 3 Speed Handheld Fans with Power Display Flashlight, USB Rechargeable Battery, Lightweight Personal Cooling for Women Men Indoor Outdoor Travel Black",Gaiatop,8.99,9000.0,2948.0,4.8,1.0,CN,True,6.0,Personal Fans / 3303867011 / 15
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),B09MHFPW6H,https://www.amazon.com/dp/B09MHFPW6H,noise,23.8,4,handheld fan; mini fan; personal fan; hand held fan,title overlap 29%; reverse overlap 9%; 4 keyword signals,B0BGPWXLNQ,"Gaiatop Mini Portable Fan, Small and Powerful, Cute Design 3 Speed Personal Handheld fan and Desktop with Base, Lightweight USB Rechargeable for Travel Lash Makeup Girl Women Summer Gift Pink",Gaiatop,7.99,10000.0,18894.0,4.6,1.0,US,True,7.0,Personal Fans / 3303867011 / 4
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),B0DQDQVTT3,https://www.amazon.com/dp/B0DQDQVTT3,noise,23.7,3,fan; cooling fan; fans,title overlap 14%; reverse overlap 4%; 3 keyword signals,B0F1TJ1FRQ,"DREO Fan for Bedroom, 2026 Upgraded, 90ft Airflow, 20dB Quiet Fan, 90° Oscillating Standing Fan for Whole Room, DC Motor, 8+H Speeds, 3 Modes, 38-42‘‘ Adjustable Height, 8H Timer, 105° Manual Vertical",DREO,69.96,10000.0,3778.0,4.6,5.0,,True,3.0,Pedestal Fans / 3737621 / 1
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),B0GGTPW6Q9,https://www.amazon.com/dp/B0GGTPW6Q9,noise,21.2,2,shark fan; shark chill pill fan,title overlap 14%; reverse overlap 4%; 2 keyword signals,B0GWS8B498,"Shark ChillPill – The Only 3-in-1 Personal Cooling System with Fan, InstaChill Cooling Plate & Dry-Touch Mist – Portable, Handheld, Drops Skin Temp Up to 16°F, 10 Speeds, Carbon, FA022",Shark,149.99,2000.0,231.0,3.9,4.0,,True,7.0,Personal Fans / 3303867011 / 22
B0GN5B7PXR,https://www.amazon.com/dp/B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),B0BKQDPP1Z,https://www.amazon.com/dp/B0BKQDPP1Z,noise,21.0,2,portable fan; stroller fan,title overlap 29%; reverse overlap 9%; 2 keyword signals,B0BXDL9RWL,"Gaiatop Mini Portable Stroller Fan, Battery Operated Small Clip on, Detachable 3 Speed Rechargeable, 360° Rotate Flexible Tripod Better Cooling for Car Seat Crib Treadmill Travel Black",Gaiatop,15.99,30000.0,18134.0,4.6,2.0,,True,6.0,Baby Stroller Cooling Fans / 8446255011 / 1
