product_form,count,direct_count,keyword_count,avg_price,median_price,avg_monthly_sales,median_monthly_sales,total_monthly_sales,sales_share,top3_sales_share,median_reviews,avg_rating,low_review_high_sales_count,top_materials,top_pack_counts,top_styles,price_p25,price_p75,new_listing_share_12m,opportunity_note
combo food storage container,5,1,4,121.95,99.95,40.0,50.0,200.0,0.0889,1.0,148.0,4.7,0,plastic:3; cotton:1,1:5,,99.95,119.95,0,需要供应商和评论验证
combo jar,3,1,2,109.97,109.97,50.0,50.0,150.0,0.0667,1.0,95.0,4.7,0,plastic:2,1:3,,99.96,119.98,0,需要供应商和评论验证
combo cutting board,1,0,1,69.95,69.95,300.0,300.0,300.0,0.1333,1.0,438.0,4.5,0,plastic:1,2:1,,69.95,69.95,0,需要供应商和评论验证
combo spoon rest,1,0,1,59.95,59.95,300.0,300.0,300.0,0.1333,1.0,810.0,4.7,0,plastic:1,1:1,,59.95,59.95,0,需要供应商和评论验证
stovetop kettle,1,0,1,179.95,179.95,200.0,200.0,200.0,0.0889,1.0,1694.0,4.6,0,wood/bamboo:1,1:1,,179.95,179.95,0,需要供应商和评论验证
combo soap dish,1,0,1,49.95,49.95,100.0,100.0,100.0,0.0444,1.0,43.0,4.6,0,plastic:1,1:1,,49.95,49.95,0,需要供应商和评论验证
combo bottle,1,0,1,59.95,59.95,100.0,100.0,100.0,0.0444,1.0,126.0,4.2,0,,1:1,farmhouse/natural:1,59.95,59.95,0,需要供应商和评论验证
item container,1,0,1,99.95,99.95,100.0,100.0,100.0,0.0444,1.0,809.0,4.8,0,stainless steel:1,1:1,,99.95,99.95,0,需要供应商和评论验证
combo drinking cup,1,0,1,49.95,49.95,50.0,50.0,50.0,0.0222,1.0,9.0,4.4,0,,4:1,,49.95,49.95,0,需要供应商和评论验证
baking pan,1,0,1,39.99,39.99,50.0,50.0,50.0,0.0222,1.0,16.0,4.3,0,,1:1,,39.99,39.99,0,需要供应商和评论验证
combo tray,1,0,1,59.95,59.95,50.0,50.0,50.0,0.0222,1.0,25.0,4.7,0,,1:1,,59.95,59.95,0,需要供应商和评论验证
caddy,1,0,1,109.95,109.95,50.0,50.0,50.0,0.0222,1.0,36.0,4.6,0,stainless steel:1,1:1,,109.95,109.95,0,需要供应商和评论验证
combo food shaker,2,0,2,59.95,59.95,50.0,50.0,100.0,0.0444,1.0,40.0,4.8,0,plastic:1,1:2,farmhouse/natural:1,59.95,59.95,0,需要供应商和评论验证
lamp,1,0,1,149.95,149.95,50.0,50.0,50.0,0.0222,1.0,48.0,3.9,0,brass:1,1:1,,149.95,149.95,0,需要供应商和评论验证
combo 686,1,0,1,319.95,319.95,50.0,50.0,50.0,0.0222,1.0,80.0,4.7,0,silicone:1,1:1,,319.95,319.95,0,需要供应商和评论验证
figurine,1,0,1,99.95,99.95,50.0,50.0,50.0,0.0222,1.0,84.0,4.7,0,,1:1,patterned:1,99.95,99.95,0,需要供应商和评论验证
combo hanging ornament,1,0,1,99.95,99.95,50.0,50.0,50.0,0.0222,1.0,114.0,4.6,0,,2:1,,99.95,99.95,0,需要供应商和评论验证
dishware bowl,1,0,1,119.95,119.95,50.0,50.0,50.0,0.0222,1.0,257.0,4.7,0,stainless steel:1,1:1,,119.95,119.95,0,需要供应商和评论验证
food storage container,3,0,3,92.3,109.95,50.0,50.0,150.0,0.0667,1.0,371.0,4.8,0,cotton:2; silicone:1,1:3,,73.47,119.95,0,需要供应商和评论验证
vase,4,0,4,119.71,119.95,25.0,25.0,100.0,0.0444,1.0,38.0,4.8,0,stainless steel:2,1:4,,97.21,142.45,0,需要供应商和评论验证
670,1,0,1,99.95,99.95,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,1:1,,99.95,99.95,0,需要供应商和评论验证
mackenzie childs glass,1,0,1,49.95,49.95,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,1:1,,49.95,49.95,0,需要供应商和评论验证
combo 231,1,0,1,34.9,34.9,0.0,0.0,0.0,0.0,0,4.0,5.0,0,,1:1,,34.9,34.9,0,需要供应商和评论验证
bouquet holder,2,0,2,104.97,104.97,0.0,0.0,0.0,0.0,0,8.0,5.0,0,,1:2,,92.48,117.46,0,需要供应商和评论验证
combo caddy,1,0,1,191.96,191.96,0.0,0.0,0.0,0.0,0,9.0,4.4,0,silicone:1,1:1,,191.96,191.96,0,需要供应商和评论验证
jar,2,0,2,88.47,88.47,0.0,0.0,0.0,0.0,0,28.0,4.6,0,plastic:1,1:2,,62.73,114.21,0,需要供应商和评论验证
394,1,0,1,37.99,37.99,0.0,0.0,0.0,0.0,0,30.0,5.0,0,,1:1,,37.99,37.99,0,需要供应商和评论验证
2681,1,0,1,109.95,109.95,0.0,0.0,0.0,0.0,0,32.0,4.8,0,linen:1,1:1,farmhouse/natural:1,109.95,109.95,0,需要供应商和评论验证
butter dish,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,119.0,4.7,0,,1:1,,0.0,0.0,0,需要供应商和评论验证
cake stand,1,0,1,99.95,99.95,0.0,0.0,0.0,0.0,0,423.0,4.6,0,,1:1,,99.95,99.95,0,需要供应商和评论验证
