source_asin,source,listing_url,product_type,relevance_score,competitor_type,product_form,material,material_evidence,detail_material,detail_evidence,pack_count,closure,style,use_case,feature_tags,asin,parent_asin,title,brand,price,monthly_sales,reviews,rating,seller_address,is_fba,variation_count,listing_date,bsr_category,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
B0CV7H2DLQ,seed,https://www.amazon.com/dp/B0CV7H2DLQ,FOOD STORAGE CONTAINER,100,seed,combo food storage container,plastic,detail:opp,plastic,detail:opp,1,lid,unknown,unknown,eco,B0CV7H2DLQ,B0GYNJ1MWB,"MACKENZIE-CHILDS Glass Sweets Jar with Lid, Pink-and-White Rosy Check | Hand-painted design, decorative kitchen jar with enamel lid, ideal for storing treats, 5“ W x 6.5“ H, 0.5-gallon capacity",MACKENZIE-CHILDS,69.95,0.0,151.0,4.5,US,True,7.0,,Cookie Jars / 13880461 / 88,https://m.media-amazon.com/images/I/61WHXAYZRCL.jpg,research/B0CV7H2DLQ/images/01_B0CV7H2DLQ.jpg,,,,,,
B0CV7H2DLQ,keyword,https://www.amazon.com/dp/B07G1DLLHC,JAR,85.8,direct,combo jar,plastic,detail:opp,plastic,detail:opp,1,lid,unknown,unknown,eco,B07G1DLLHC,B0DD4HNCHY,"MACKENZIE-CHILDS Glass Cookie Jar with Lid, Black-and-White Courtly Check | Hand-painted design, decorative kitchen jar with enamel lid, ideal for storing treats, 6“ W x 8“ H, 1-gallon capacity",MACKENZIE-CHILDS,89.95,100.0,304.0,4.4,US,True,6.0,,Cookie Jars / 13880461 / 34,https://m.media-amazon.com/images/I/81TkH1bKvqL.jpg,research/B0CV7H2DLQ/images/02_B07G1DLLHC.jpg,,,,,,
B0CV7H2DLQ,keyword,https://www.amazon.com/dp/B01M1FBYWK,SPOON REST,57.3,keyword,combo spoon rest,plastic,detail:plastic,plastic,detail:plastic,1,unknown,unknown,unknown,,B01M1FBYWK,B0DGGM3K9S,"MACKENZIE-CHILDS Enamel Spoon Rest, Black-and-White Courtly Check | Hand-painted design, made from enameled steel, utensil rest and spoon holder for stovetop and kitchen counter use, 8.5“ L",MACKENZIE-CHILDS,59.95,300.0,810.0,4.7,US,True,6.0,,Spoon Rests / 289770 / 32,https://m.media-amazon.com/images/I/71b6Ip-lnwL.jpg,research/B0CV7H2DLQ/images/03_B01M1FBYWK.jpg,,,,,,
B0CV7H2DLQ,keyword,https://www.amazon.com/dp/B0D6M6NJN9,VASE,56.0,keyword,vase,stainless steel,detail:stainless steel,stainless steel,detail:stainless steel,1,unknown,unknown,unknown,eco,B0D6M6NJN9,B0CVQYCHMD,"MACKENZIE-CHILDS Enamel Tall Vase, Pink-and-White Rosy Check | Hand-painted design, decorative flower vase and bouquet holder, made from enameled steel, 6' dia. x 10' H",MACKENZIE-CHILDS,139.95,50.0,198.0,4.8,US,True,10.0,,Vases / 3745451 / 212,https://m.media-amazon.com/images/I/31Wrcnb+ZqL._AC_.jpg,research/B0CV7H2DLQ/images/04_B0D6M6NJN9.jpg,,,,,,
B0CV7H2DLQ,keyword,https://www.amazon.com/dp/B0DS1KQGDT,FOOD STORAGE CONTAINER,53.7,keyword,combo food storage container,plastic,detail:opp,plastic,detail:opp,1,unknown,unknown,general kitchen storage,,B0DS1KQGDT,B0CW6LT3S7,"MACKENZIE-CHILDS Enamel Canister, Demi, Brown-and-White Mocha Check | Hand-painted design, versatile kitchen storage container for flour and sugar, 24-ounce capacity",MACKENZIE-CHILDS,99.95,100.0,113.0,4.7,US,True,6.0,,Food Jars & Canisters / 9833720011 / 620,https://m.media-amazon.com/images/I/41GVyMVp+VL._AC_.jpg,research/B0CV7H2DLQ/images/05_B0DS1KQGDT.jpg,,,,,,
B0CV7H2DLQ,keyword,https://www.amazon.com/dp/B0DS1Q6G16,FOOD SHAKER,52.1,keyword,combo food shaker,unknown,,unknown,,1,unknown,unknown,unknown,,B0DS1Q6G16,B0DS1Q6G16,"MACKENZIE-CHILDS Teapot Salt & Pepper Set, Pink-and-White Rosy Check | Hand-painted design, made from ceramic, kitchen table spice shaker set, 3.25' dia. x 3.25' H (each)",MACKENZIE-CHILDS,59.95,0.0,24.0,4.8,US,True,0.0,,Salt & Pepper Shaker Sets / 15850301 / 515,https://m.media-amazon.com/images/I/61Z8v9WnqHL._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/06_B0DS1Q6G16.jpg,,,,,,
B0CV7H2DLQ,keyword,https://www.amazon.com/dp/B07VNGZRM2,FOOD STORAGE CONTAINER,49.9,keyword,food storage container,cotton,detail:cotton,cotton,detail:cotton,1,unknown,unknown,unknown,,B07VNGZRM2,B0CW6LCQMM,"MACKENZIE-CHILDS Enamel Canister, Small, Black-and-White Courtly Check",MACKENZIE-CHILDS,109.95,50.0,371.0,4.8,US,True,8.0,,Food Jars & Canisters / 9833720011 / 421,https://m.media-amazon.com/images/I/71lUR9w5I5L._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/07_B07VNGZRM2.jpg,,,,,,
B0CV7H2DLQ,keyword,https://www.amazon.com/dp/B0CV62THBC,,49.0,keyword,670,unknown,,unknown,,1,unknown,unknown,unknown,,B0CV62THBC,B0CXFFGJX1,"MACKENZIE-CHILDS Enamel Squashed Pot, Pink-and-White Rosy Check",MACKENZIE-CHILDS,99.95,0.0,0.0,0.0,,False,8.0,,Food Jars & Canisters / 9833720011 / 670,https://m.media-amazon.com/images/I/71TVMvhUZnL.jpg,research/B0CV7H2DLQ/images/08_B0CV62THBC.jpg,,,,,,
B0CV7H2DLQ,keyword,https://www.amazon.com/dp/B07QMTNWHV,ITEM CONTAINER,48.9,keyword,item container,stainless steel,detail:stainless steel,stainless steel,detail:stainless steel,1,unknown,unknown,unknown,,B07QMTNWHV,B0FNWZ4WBF,"MACKENZIE-CHILDS Enamel Utensil Holder, Blue-and-White Royal Check",MACKENZIE-CHILDS,99.95,100.0,809.0,4.8,US,True,12.0,,Utensil Crocks / 16188247011 / 19,https://m.media-amazon.com/images/I/71iwEr-yGQL._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/09_B07QMTNWHV.jpg,,,,,,
B0CV7H2DLQ,keyword,https://www.amazon.com/dp/B07QM72ZXL,FOOD STORAGE CONTAINER,48.4,keyword,food storage container,cotton,detail:cotton,cotton,detail:cotton,1,unknown,unknown,unknown,extra large,B07QM72ZXL,B0CW6LWP3V,"MACKENZIE-CHILDS Enamel Canister, Large, Black-and-White Courtly Check",MACKENZIE-CHILDS,129.95,100.0,411.0,4.8,US,True,8.0,,Food Jars & Canisters / 9833720011 / 357,https://m.media-amazon.com/images/I/71VALFP6gKL.jpg,research/B0CV7H2DLQ/images/10_B07QM72ZXL.jpg,,,,,,
