review_target_asin,asin,listing_url,rating,review_title,review_text,review_date,pain_point_tags,review_link,verified_purchase,asin_property,helpful
B0DRN24XD6,B0DRN24XD6,https://www.amazon.com/dp/B0DRN24XD6,5.0,Convenient holder,Nice tape strength.  Holding up. Convient,20251009,,https://www.amazon.com/gp/customer-reviews/R3JE0TMN20OLB3,True,"[{""name"":""Color"",""detail"":""White""}]",0
B0DRN24XD6,B0DRNP5ZJX,https://www.amazon.com/dp/B0DRNP5ZJX,1.0,Not good,Not good,20250829,,https://www.amazon.com/gp/customer-reviews/RDPHAUJ4XOJK4,True,"[{""name"":""Color"",""detail"":""1Grey""}]",0
B0DRN24XD6,B0DRN24XD6,https://www.amazon.com/dp/B0DRN24XD6,5.0,Does its job!,Been awesome to keep track of our remote!,20250525,,https://www.amazon.com/gp/customer-reviews/R2BDA1VR5DU7F9,False,"[{""name"":""Color"",""detail"":""White""}]",0
B0DRN24XD6,B0DRN9KQLR,https://www.amazon.com/dp/B0DRN9KQLR,5.0,Worked perfectly!,Worked perfect for my remote and my cell phone in my bedroom. I attached two of them on my nightstand and now I can fin both items easily!,20250505,,https://www.amazon.com/gp/customer-reviews/R2VX06Y1IQETKP,True,"[{""name"":""Color"",""detail"":""1Blue""}]",1
B0DRN24XD6,B0DRNP5ZJX,https://www.amazon.com/dp/B0DRNP5ZJX,4.0,Remote holder,Super convient and really handy,20250408,,https://www.amazon.com/gp/customer-reviews/R3T88PA5N6OPAF,False,"[{""name"":""Color"",""detail"":""1Grey""}]",1
B0DDPQNDWR,B0DDPQNDWR,https://www.amazon.com/dp/B0DDPQNDWR,5.0,❤️What you need to know before buying,"     I wanted to get the cheapest one, but I was not sure if it came with those separations and the holes on the bottom as I have seen in more expensive ones.
It does! Also it is very firm if you decide to stick it without nailing your forniture.
This was everything I wanted. I learned that those holes are for charging your phone if you decide to put it there.",20260515,value_or_quantity,https://www.amazon.com/gp/customer-reviews/R20Y3BF5LFHSRR,False,"[{""name"":""Color"",""detail"":""Black""}]",0
B0DDPQNDWR,B0DDPQNDWR,https://www.amazon.com/dp/B0DDPQNDWR,5.0,👍,👍,20260430,,https://www.amazon.com/gp/customer-reviews/R2LAFSLSL3KJGV,False,"[{""name"":""Color"",""detail"":""Black""}]",0
B0DDPQNDWR,B0DDPQNDWR,https://www.amazon.com/dp/B0DDPQNDWR,5.0,n/a,n/a,20260428,,https://www.amazon.com/gp/customer-reviews/R28INXKMPJDL1L,False,"[{""name"":""Color"",""detail"":""Black""}]",0
B0DDPQNDWR,B0DDPQNDWR,https://www.amazon.com/dp/B0DDPQNDWR,5.0,Nice remote holder,"It was exactly what I needed, easy to use",20260420,,https://www.amazon.com/gp/customer-reviews/RXDIOVRWDG0TJ,False,"[{""name"":""Color"",""detail"":""Black""}]",0
B0DDPQNDWR,B0DDPQNDWR,https://www.amazon.com/dp/B0DDPQNDWR,5.0,Perfect,"Housing the AC remote, TV remote, & a vape(keep losing it)",20260416,,https://www.amazon.com/gp/customer-reviews/R1AW88G7AVK4Q,False,"[{""name"":""Color"",""detail"":""Black""}]",0
