product_form,count,direct_count,keyword_count,avg_price,median_price,avg_monthly_sales,median_monthly_sales,total_monthly_sales,sales_share,top3_sales_share,median_reviews,avg_rating,low_review_high_sales_count,top_materials,top_pack_counts,top_styles,price_p25,price_p75,new_listing_share_12m,opportunity_note
3-way hose splitter,7,7,0,27.36,31.99,457.0,100.0,3200.0,0.025,0.9062,91.0,4.5,2,stainless steel:3; plastic:1,1:7,,19.48,32.79,0,需要供应商和评论验证
garden hose splitter,45,24,21,19.65,19.99,1751.0,200.0,78800.0,0.6156,0.4188,209.0,4.6,7,plastic:13; stainless steel:12; silicone:1,1:42; 2:2; 6:1,giftable:1,9.99,25.19,0,评论门槛低
2-way hose splitter,9,4,5,22.38,19.99,1400.0,200.0,12600.0,0.0984,0.873,212.0,4.5,0,stainless steel:2; silicone:2; plastic:1,1:7; 2:1; 4:1,,14.98,25.99,0,评论门槛低
hose splitter manifold,1,1,0,28.49,28.49,800.0,800.0,800.0,0.0063,1.0,473.0,4.6,0,,1:1,,28.49,28.49,0,供给少但需求可见
4-way hose splitter,1,1,0,44.98,44.98,0.0,0.0,0.0,0.0,0,19.0,4.9,0,plastic:1,1:1,,44.98,44.98,0,需要供应商和评论验证
electric timer,1,0,1,29.99,29.99,10000.0,10000.0,10000.0,0.0781,1.0,36816.0,4.2,0,plastic:1,1:1,,29.99,29.99,0,供给少但需求可见；评分改良空间
manual timer,4,0,4,24.97,24.49,5350.0,5500.0,21400.0,0.1672,0.9813,1089.0,4.4,0,plastic:4,1:4,,20.72,28.74,0,供给少但需求可见
hose pipe fitting,1,0,1,14.99,14.99,900.0,900.0,900.0,0.007,1.0,18724.0,4.6,0,,1:1,,14.99,14.99,0,供给少但需求可见
outdoor living,1,0,1,12.99,12.99,200.0,200.0,200.0,0.0016,1.0,27.0,4.9,0,,1:1,,12.99,12.99,0,需要供应商和评论验证
hose connector/adapter,1,0,1,12.99,12.99,100.0,100.0,100.0,0.0008,1.0,149.0,4.7,0,,1:1,,12.99,12.99,0,需要供应商和评论验证
