keyword,search_volume,rank,show_share,clicks_90d,top3_asins,image_asin_count
large storage bins with lids,79266.0,33017.0,10.7,-1.0,B0FDWLX8QP; B0BRDVLPKB; B0H3KSXC25,10
storage totes,99167.0,19188.0,4.98,21774.0,B0H3KSXC25; B0GH9325VG; B0BVQ69QJD,10
clear storage bins with lids,103679.0,17723.0,4.64,36925.0,B0BC8VSWC7; B0BRDVLPKB; B0FDWLX8QP,10
plastic totes with lids for storage,37197.0,49753.0,4.47,-1.0,B0BVQ69QJD; B09V5KXQ1J; B0BRDVLPKB,10
large plastic storage bins,32752.0,76878.0,4.15,-1.0,B0BRDVLPKB; B0FDWLX8QP; B07PQ6GWQQ,10
storage bins with wheels,26868.0,94950.0,4.08,-1.0,B0FBG5W85J; B0FN8HSZHC; B0GQZLQ63M,10
large clear storage bins,22253.0,146311.0,3.2,-1.0,B0FDWLX8QP; B0BRDVLPKB; B0D6W4QPZP,10
storage tote,32617.0,69427.0,2.62,-1.0,B0BVQ69QJD; B0GH9325VG; B0H3KSXC25,10
rolling tote,25565.0,105864.0,2.58,13754.0,B0F9XWGVYF; B0CQ13HQJP; B0FF9VDPGS,10
totes for storage,39391.0,58156.0,2.44,19165.0,B0H3KSXC25; B0GYF91BXB; B0GH9325VG,10
extra large storage bins,15859.0,169997.0,2.34,-1.0,B0FDWLX8QP; B0FPRFFNH6; B0F89YTY4W,10
large storage bins,36593.0,54085.0,2.26,-1.0,B0FDWLX8QP; B0BRDVLPKB; B0H8SRZB8N,10
storage totes with lids clearance,24915.0,97604.0,2.15,-1.0,B0BVQ69QJD; B0H3KSXC25; B0H2N91953,10
clear totes for storage with lids,16086.0,185356.0,2.1,-1.0,B09V5KXQ1J; B0FDWLX8QP; B0BRDVLPKB,10
tote with wheels,13678.0,206678.0,1.97,5043.0,B0D2S74GXR; B0DHRHL3XD; B09NB4H8YX,10
heavy duty storage bins,19901.0,177392.0,1.94,-1.0,B0H3KSXC25; B0B7CR1PN1; B0FDWLX8QP,10
plastic storage bins with lids,45530.0,46456.0,1.9,18663.0,B0BRDVLPKB; B0F6FT397Y; B09V5L93P3,10
storage with wheels,13221.0,223786.0,1.9,-1.0,B0CHRNM2YF; B0DNF65DK1; B07Q4FHWV9,10
large plastic storage bins with lids,13540.0,240845.0,1.83,-1.0,B0BRDVLPKB; B082PJN8BD; B09V5KXQ1J,10
heavy duty storage totes with lids,18055.0,226543.0,1.7,-1.0,B0GH9325VG; B0H3KSXC25; B0D9325NSK,10
