image_index,asin,listing_url,title,product_form,material,pack_count,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
1,B0FN8HSZHC,https://www.amazon.com/dp/B0FN8HSZHC,"CNEIESD 2 Count 160 Quart Wheeled Stacker, Extra Large Durable Clear Bin, Box with Latch Lid and Pull Handle | Extra Large, Durable Clear Bin, Latch Lid, Pull Handle",extra-large storage box,plastic,2,https://m.media-amazon.com/images/I/41eImyLS7WL.jpg,,,,,,,
2,B001RCUNJ8,https://www.amazon.com/dp/B001RCUNJ8,"Sterilite 70 Qt Ultra™ Latch Box, Durable Clear Storage Bin w/ Lid, 6 Pack",combo storage box,plastic,6,https://m.media-amazon.com/images/I/61qM-CBSuwL.jpg,research/B0FN8HSZHC/images/02_B001RCUNJ8.jpg,,,,,,
3,B0H9QRQZ7X,https://www.amazon.com/dp/B0H9QRQZ7X,"160 Quart Extra-Large Wheeled Storage Bin, Clear Storage Container with Latch Lid and Pull Handle, Durable, Dark Gray",extra-large laundry hamper,plastic,1,https://m.media-amazon.com/images/I/616McWNWT+L.jpg,research/B0FN8HSZHC/images/03_B0H9QRQZ7X.jpg,,,,,,
4,B0FPRFFNH6,https://www.amazon.com/dp/B0FPRFFNH6,"COKELARIA Extra Large Storage Bin, 40 Gallon Wheeled Plastic Storage Container with Handle, Green, Pack of 2 (GREEN)",extra-large storage box,plastic,1,https://m.media-amazon.com/images/I/61HccajUUiL.jpg,research/B0FN8HSZHC/images/04_B0FPRFFNH6.jpg,,,,,,
5,B0H2DG29N4,https://www.amazon.com/dp/B0H2DG29N4,"Extra Large Clear Wheeled Storage Bin, 40 Gallon, Plastic Container with Latch Lid and Pull Handle for Closet, Garage, Office",combo storage box,plastic,1,https://m.media-amazon.com/images/I/61IHJA-LIjL.jpg,research/B0FN8HSZHC/images/05_B0H2DG29N4.jpg,,,,,,
6,B0GPS742LV,https://www.amazon.com/dp/B0GPS742LV,"IRIS USA 6-Pack 32.5 Quart Clip Box with Latching Lid | Latching lid secures office and household supplies. Stackable, nestable design maximizes storage space",storage box,plastic,6,https://m.media-amazon.com/images/I/71intD+ZG8L.jpg,research/B0FN8HSZHC/images/06_B0GPS742LV.jpg,,,,,,
7,B0BVQ69QJD,https://www.amazon.com/dp/B0BVQ69QJD,"WYT Clear Storage Latch Bins, 6-Pack Storage Organizer Box with Handle and Lids, 5-Litre",storage box,plastic,6,https://m.media-amazon.com/images/I/61LKoDxQahL.jpg,research/B0FN8HSZHC/images/07_B0BVQ69QJD.jpg,,,,,,
8,B0H9NNYQQ4,https://www.amazon.com/dp/B0H9NNYQQ4,"105 Quart Latch Box, Clear Plastic Storage Bin with Clear Lid, Blue",storage box,plastic,1,https://m.media-amazon.com/images/I/81nda5JyNKL.jpg,research/B0FN8HSZHC/images/08_B0H9NNYQQ4.jpg,,,,,,
9,B002BA5F4I,https://www.amazon.com/dp/B002BA5F4I,"Sterilite Storage Box, Stackable Clear Plastic Bins, 41 Quart, 6-Pack",storage box,plastic,6,https://m.media-amazon.com/images/I/61havBdWyGL.jpg,,,,,,,
10,B0H842VW5P,https://www.amazon.com/dp/B0H842VW5P,"40-Gallon Wheeled Storage Box, Extra Large Durable Clear Plastic Bin(1Pack)",extra-large storage box,plastic,1,https://m.media-amazon.com/images/I/71FbBQlXktL._AC_SL1500_.jpg,research/B0FN8HSZHC/images/10_B0H842VW5P.jpg,,,,,,
11,B0BRDVLPKB,https://www.amazon.com/dp/B0BRDVLPKB,"IRIS USA 4-Pack 72 Quart Storage Bins with Lids, Clear",storage box,plastic,4,https://m.media-amazon.com/images/I/71UFK58DPHL.jpg,research/B0FN8HSZHC/images/11_B0BRDVLPKB.jpg,,,,,,
12,B0HB916F4Y,https://www.amazon.com/dp/B0HB916F4Y,"66QT Large Clear Plastic Storage Bin with Latching Lid, Stackable",storage box,plastic,1,https://m.media-amazon.com/images/I/61jG88TsYFL._AC_SL1500_.jpg,research/B0FN8HSZHC/images/12_B0HB916F4Y.jpg,,,,,,
13,B0GL4S4BQM,https://www.amazon.com/dp/B0GL4S4BQM,"Sterilite Latching Box with Lids for Home and Office, 64 Quart, 4-Pack | Heavy-Duty and Stackable Plastic Containers with Latches for Closet, Cabinet, Bedroom, Bathroom and Dorm Room Organization",combo storage box,plastic,4,https://m.media-amazon.com/images/I/514g9WlzRfL.jpg,research/B0FN8HSZHC/images/13_B0GL4S4BQM.jpg,,,,,,
14,B09V5KXQ1J,https://www.amazon.com/dp/B09V5KXQ1J,"Amazon Basics Plastic Storage Containers with Secure Latching Lids, Stackable Organization Bins, Clear/Grey, 32 Quart, Set of 6",combo storage box,plastic,6,https://m.media-amazon.com/images/I/61VlqdjFu5L.jpg,research/B0FN8HSZHC/images/14_B09V5KXQ1J.jpg,,,,,,
15,B0HC38616N,https://www.amazon.com/dp/B0HC38616N,66 Quart Large Clear Plastic Latching Storage Bin with Latch Lid,storage box,plastic,1,https://m.media-amazon.com/images/I/51BygnnwRRL.jpg,research/B0FN8HSZHC/images/15_B0HC38616N.jpg,,,,,,
16,B0H5X28X7W,https://www.amazon.com/dp/B0H5X28X7W,"BLOISECX Heavy-Duty Wheeled Storage Tote, 40-Gallon, BPA-Free Plastic, Stackable, with Rotating Pull Handle and Secure Latching Lid, 36.75x21.375x18 Inch",storage box,plastic,1,https://m.media-amazon.com/images/I/61GbPSP3TXL.jpg,research/B0FN8HSZHC/images/16_B0H5X28X7W.jpg,,,,,,
17,B0BXLBDN2H,https://www.amazon.com/dp/B0BXLBDN2H,"Modern Plastic & Metal 40 Gallon Lidded Home Storage Bins, Stackable Industrial Storage Containers Tote, Organizing Tote Tub Box with Wheeled, Moving Boxes, Set of 4, Black",combo storage box,plastic,4,https://m.media-amazon.com/images/I/51j6tbG9uEL.jpg,research/B0FN8HSZHC/images/17_B0BXLBDN2H.jpg,,,,,,
18,B0HC23SP26,https://www.amazon.com/dp/B0HC23SP26,"X-Large Black Heavy Duty Stackable Tote with Latching Lid 40 gal 160 quarts | Weather-Resistant, Impact Resistant, Lockable Lid, Dust Free, Tie-Down Grooves",storage box,plastic,1,https://m.media-amazon.com/images/I/41jNQyJR9UL._AC_SL1481_.jpg,research/B0FN8HSZHC/images/18_B0HC23SP26.jpg,,,,,,
19,B0GH9325VG,https://www.amazon.com/dp/B0GH9325VG,"Sterilite Industrial Storage Tote with Lids for Garage, 27 Gallon, 4-Pack | Heavy-Duty and Stackable Utility Box Containers for Home, Office, and Basement Organization, Black/Yellow",storage box,plastic,4,https://m.media-amazon.com/images/I/61YizaQfy6L.jpg,research/B0FN8HSZHC/images/19_B0GH9325VG.jpg,,,,,,
20,B00KL7VQ7S,https://www.amazon.com/dp/B00KL7VQ7S,"Sterilite 32 Qt Gasket Box, Stackable Storage Bin with Latching Lid and Tight Seal, Plastic Container to Organize Basement, Clear Base and Lid, 4-Pack | Heavy-Duty, Stackable, and Organizing Containers for Bathroom, Cabinet, Closet, and Garage, Clear and Blue Aquarium Latches",combo storage box,plastic,4,https://m.media-amazon.com/images/I/61T3KqAMOrL.jpg,research/B0FN8HSZHC/images/20_B00KL7VQ7S.jpg,,,,,,
21,B082PJN8BD,https://www.amazon.com/dp/B082PJN8BD,"Rubbermaid Cleverstore Clear 32 Qt, 6 Pack Stackable Plastic Storage Bins with Lids, Great for Closet and Laundry Storage, Organizing in the Home",combo storage box,plastic,6,https://m.media-amazon.com/images/I/81x5IBUFgTL.jpg,research/B0FN8HSZHC/images/21_B082PJN8BD.jpg,,,,,,
22,B0H5CG5KC2,https://www.amazon.com/dp/B0H5CG5KC2,"Gisafai 100 Pcs Bead Storage Containers Small Clear Plastic Hinged Lid Box | Square Craft Supplies Organizer Case for Jewelry Screws Hardware Cards, Tiny Clear Boxes Bulk, 4.13 x 2.95 x 1.26 Inch",lid box,plastic,100,https://m.media-amazon.com/images/I/8115XqTHknL._AC_SL1500_.jpg,research/B0FN8HSZHC/images/22_B0H5CG5KC2.jpg,,,,,,
23,B0G3P827CZ,https://www.amazon.com/dp/B0G3P827CZ,"Large Storage Bin (2-Pack) 27 Gallon Plastic Storage Container with Secure Snap-On Lid, Heavy-Duty Stackable Totes for Industrial, Garage, and Home Organization, Black and Red",storage box,plastic,2,https://m.media-amazon.com/images/I/61WH8LsrSoL.jpg,research/B0FN8HSZHC/images/23_B0G3P827CZ.jpg,,,,,,
24,B0FT7PQ1B2,https://www.amazon.com/dp/B0FT7PQ1B2,"YHNNH Industrial Storage Tote with Wheels, Black, 40 Gallon, Heavy Duty Plastic Container, Handle and Latches, 36.75x21.38x18 Inch, Set of 2",combo storage box,plastic,2,https://m.media-amazon.com/images/I/71FJNnAC2XL.jpg,,,,,,,
25,B0H2N91953,https://www.amazon.com/dp/B0H2N91953,"POMILER 27 Gallon Durable Plastic Storage Tote with Snap-On Lid, Black and Yellow, Heavy-Duty, Secure-Grip Handles, 6 Pack",storage box,plastic,6,https://m.media-amazon.com/images/I/61LvaZ-AgVL.jpg,,,,,,,
26,B0FDWLX8QP,https://www.amazon.com/dp/B0FDWLX8QP,"8 Pack Extra Large Clothes Storage Bins with Lids, Moving Bags, Clear",extra-large storage bag,plastic,8,https://m.media-amazon.com/images/I/71DThUXi5xL.jpg,research/B0FN8HSZHC/images/26_B0FDWLX8QP.jpg,,,,,,
27,B0D6W4QPZP,https://www.amazon.com/dp/B0D6W4QPZP,"Vtopmart 4 Pack Extra Large Clear Storage Bins, 11x11 Cube Organizer | Acrylic Cube Storage Bins, Plastic Containers with Handle for Pantry, Kitchen, Closet, Laundry Room, Bathroom, Under Sink",combo item container,plastic,4,https://m.media-amazon.com/images/I/71M04VGGtuL.jpg,research/B0FN8HSZHC/images/27_B0D6W4QPZP.jpg,,,,,,
28,B0H9XP5GJY,https://www.amazon.com/dp/B0H9XP5GJY,Large Storage Bin 18 Gallon Plastic Container with Lid Pink,plastic container,plastic,1,https://m.media-amazon.com/images/I/41KLBHuR+DL.jpg,research/B0FN8HSZHC/images/28_B0H9XP5GJY.jpg,,,,,,
29,B0H5XWQSGR,https://www.amazon.com/dp/B0H5XWQSGR,"AYCXDESB 27 Gallon Heavy-Duty Plastic Storage Bin, Black and Red, Pack of 4",storage box,plastic,1,https://m.media-amazon.com/images/I/71pEy1S5+PL.jpg,research/B0FN8HSZHC/images/29_B0H5XWQSGR.jpg,,,,,,
30,B0H4YT9WN3,https://www.amazon.com/dp/B0H4YT9WN3,"Foldable Wheeled Tote Bag,Large Capacity Heavy Duty Grocery Cart, Detachable Bottom Plate for Groceries,Laundry",reusable utility cart wagon,plastic,1,https://m.media-amazon.com/images/I/619rxdA9UmL.jpg,research/B0FN8HSZHC/images/30_B0H4YT9WN3.jpg,,,,,,
