image_index,asin,listing_url,title,product_form,material,pack_count,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
1,B0G34LYYWP,https://www.amazon.com/dp/B0G34LYYWP,"80 Count Duster Refills Compatible with Swiffer Duster, 180° Disposable Multi-Surface Microfiber Cleaning Dusters, Unscented",compatible disposable refill,microfiber,80,https://m.media-amazon.com/images/I/71MynNcfz8L.jpg,research/B0G34LYYWP/images/01_B0G34LYYWP.jpg,,,,,,
2,B0D2DBWVGJ,https://www.amazon.com/dp/B0D2DBWVGJ,"REKOPI Heavy Duty Duster Refills Compatible with Swiffer Duster, 20 Count",compatible disposable refill,unknown,20,https://m.media-amazon.com/images/I/51vepqwEPZL.jpg,research/B0G34LYYWP/images/02_B0D2DBWVGJ.jpg,,,,,,
3,B0DKFGYJ2Z,https://www.amazon.com/dp/B0DKFGYJ2Z,"Heavy Duty Duster Refills, Unscented Disposable Dusters Kit for Cleaning Dusting Furniture Blind Ceiling Fan, Multi Surface 360 Feather Duster(25) (Pack of 2)",compatible disposable refill,unknown,1,https://m.media-amazon.com/images/I/71HJLVQz5BL.jpg,research/B0G34LYYWP/images/03_B0DKFGYJ2Z.jpg,,,,,,
4,B0CC1GQZ6Y,https://www.amazon.com/dp/B0CC1GQZ6Y,"Duster Refills,Static Dust Removal Compatible with Swiffer for Dusting 18ct",compatible disposable refill,unknown,18,https://m.media-amazon.com/images/I/61DTu3W-zYL.jpg,research/B0G34LYYWP/images/04_B0CC1GQZ6Y.jpg,,,,,,
5,B0GX5PCF2H,https://www.amazon.com/dp/B0GX5PCF2H,"Duster Refill for Swiffer Duster, One-Sided Disposable Dusters Refills with 4X Microfibers (24 Count)",compatible disposable refill,microfiber,24,https://m.media-amazon.com/images/I/71dRcVlX6gL.jpg,research/B0G34LYYWP/images/05_B0GX5PCF2H.jpg,,,,,,
6,B076DDVRPG,https://www.amazon.com/dp/B076DDVRPG,"Swiffer Dusters Heavy Duty Multi-Surface Duster Refills for Cleaning, Unscented, 11 Count",brand duster refill,unknown,11,https://m.media-amazon.com/images/I/915XTLclR4L.jpg,research/B0G34LYYWP/images/06_B076DDVRPG.jpg,,,,,,
7,B01HK7N23M,https://www.amazon.com/dp/B01HK7N23M,"Swiffer Dusters Multi-Surface Duster Refills, Lavender Scent, 10 ct",brand duster refill,unknown,10,,,,,,,,
8,B0C1RNZGKG,https://www.amazon.com/dp/B0C1RNZGKG,"Swiffer Dusters Heavy Duty Multi-Surface Duster Refills for Cleaning, Lavender, 11 Count",brand duster refill,unknown,11,,,,,,,,
9,B001TQ6IHS,https://www.amazon.com/dp/B001TQ6IHS,"Swiffer Duster Kit with 3 ft Extendable Handle | Includes 1 Duster Extendable Handle (3 ft). 3 Heavy Duty Duster Refills. For Ceiling Fans, Vents, and Hard to Reach Places",duster refill kit,unknown,1,https://m.media-amazon.com/images/I/81oU2sYYfmL.jpg,research/B0G34LYYWP/images/09_B001TQ6IHS.jpg,,,,,,
10,B0C68WLNKW,https://www.amazon.com/dp/B0C68WLNKW,"Duster Refills for Swiffer Duster, 30 Count with 1 Secure-Grip Handle",duster refill kit,unknown,30,,,,,,,,
11,B0DKFDHHGD,https://www.amazon.com/dp/B0DKFDHHGD,"Heavy Duty Duster Refills, Disposable Dusters Kit for Cleaning Dusting Furniture Blind Ceiling Fan, Multi Surface 360 Feather Duster(60)+3FT Extended Handle +1 Handle",duster refill kit,unknown,1,,,,,,,,
12,B0GH7H6Z1T,https://www.amazon.com/dp/B0GH7H6Z1T,"20 Pack Heavy Duty Duster Refills for Swiffer, Multi-Surface 360° Disposable Dusters Kit for Cleaning Dusting Electronics Furniture Blind Ceiling Fan (Handle is Not Included)",duster refill kit,unknown,20,,,,,,,,
13,B0DRDNGFWK,https://www.amazon.com/dp/B0DRDNGFWK,O-Cedar Flex & Catch Heavy Duty Dusting Kit with 3 Disposable Duster Refills | New & Improved Model | Extendable 3 Ft Handle with Stay-On Duster Hook | Traps 3X More Dust Than Feather Dusters,duster refill kit,unknown,1,,,,,,,,
14,B0FZBWLQBF,https://www.amazon.com/dp/B0FZBWLQBF,SetSail Heavy Duty Duster Refills for Swiffer Duster with 1 Handle，30 Count,duster refill kit,unknown,30,,,,,,,,
15,B0DYNKW8FJ,https://www.amazon.com/dp/B0DYNKW8FJ,"REKOPI Heavy Duty Duster Refills Compatible with Swiffer Duster, 20 Count | 3 ft Extension Pole, 4X Microfibers Multisurface Dusters, For Cleaning Home, Celling Fan, Blinds, Vent & Shelves",duster refill kit,microfiber,20,,,,,,,,
16,B07DJNKG5J,https://www.amazon.com/dp/B07DJNKG5J,Swiffer Duster Refill + 1 Handle (28 Ct.) Great,duster refill kit,unknown,28,,,,,,,,
17,B0GHWZHQXP,https://www.amazon.com/dp/B0GHWZHQXP,"Alotiki Duster Refills, 80 Count 360° Dusters for Cleaning with 2 Handle | Heavy Duty Duster Refill for Dust Cleaning, 360° Double-Sided Disposable Duster for Blinds, Electronics, Furniture",duster refill kit,unknown,80,,,,,,,,
